PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1629048,172,Goga Bitadze,1610612753,ORL,51,22.8,3.5,5.6,0.62,0.0,0.4,0.091,1.2,1.9,0.636,2.6,5.0,7.6,2.1,0.8,1.6,1.2,8.2,16.2
1642273,173,Kyshawn George,1610612764,WAS,54,26.7,2.8,7.8,0.354,1.6,5.2,0.311,1.0,1.3,0.754,0.8,3.3,4.1,2.4,0.9,0.7,1.5,8.1,9.5
1629634,174,Brandon Clarke,1610612763,MEM,56,18.8,3.6,5.9,0.617,0.0,0.3,0.059,0.8,1.3,0.671,2.0,3.1,5.0,1.0,0.8,0.5,0.6,8.1,12.2
201143,175,Al Horford,1610612738,BOS,48,26.9,3.0,7.1,0.414,1.8,4.9,0.36,0.4,0.5,0.909,1.2,4.5,5.6,1.8,0.6,0.8,0.7,8.1,12.0
1631212,176,Peyton Watson,1610612743,DEN,48,24.1,2.9,6.2,0.471,0.7,2.0,0.34,1.6,2.1,0.752,0.8,2.6,3.4,1.5,0.9,1.2,0.9,8.1,10.4
1631213,177,Tyrese Martin,1610612751,BKN,42,20.9,2.9,7.2,0.395,1.5,4.4,0.339,0.8,1.0,0.773,1.1,2.6,3.7,1.6,0.5,0.1,1.2,8.0,8.1
201144,178,Mike Conley,1610612750,MIN,53,24.9,2.5,6.7,0.375,1.8,4.5,0.392,1.2,1.3,0.915,0.5,2.0,2.5,4.5,1.2,0.2,1.0,8.0,11.1
1631165,179,Keon Ellis,1610612758,SAC,58,22.6,2.7,5.6,0.481,1.7,3.9,0.438,0.9,1.1,0.855,0.8,1.8,2.5,1.2,1.4,0.8,0.8,8.0,10.1
1630702,180,Jaden Hardy,1610612742,DAL,46,15.2,2.9,6.8,0.428,1.3,3.3,0.384,0.9,1.3,0.672,0.2,1.4,1.5,1.4,0.5,0.1,1.4,8.0,5.8
1627752,181,Taurean Prince,1610612749,MIL,58,26.2,2.8,6.2,0.457,1.9,4.1,0.454,0.4,0.5,0.839,0.5,3.3,3.8,2.0,0.8,0.1,1.0,8.0,10.3
1641717,182,Cason Wallace,1610612760,OKC,53,27.6,3.2,7.1,0.452,1.1,3.2,0.337,0.4,0.5,0.833,1.1,2.4,3.5,2.5,1.8,0.5,0.8,7.9,11.3
1641783,183,Tristan da Silva,1610612753,ORL,58,23.5,2.9,6.8,0.423,1.1,3.4,0.332,0.8,0.9,0.852,1.1,2.4,3.6,1.6,0.5,0.3,0.8,7.7,8.7
1631260,184,AJ Green,1610612749,MIL,52,22.6,2.6,6.0,0.427,2.2,5.2,0.422,0.4,0.4,0.905,0.3,2.0,2.3,1.3,0.5,0.1,0.5,7.7,7.9
1629726,185,Garrison Mathews,1610612737,ATL,44,17.6,2.2,5.5,0.397,1.8,4.7,0.39,1.4,1.8,0.818,0.3,1.5,1.8,1.3,0.6,0.3,0.7,7.6,7.3
1642271,186,Kyle Filipowski,1610612762,UTA,51,18.9,2.8,5.5,0.513,0.9,2.3,0.391,1.1,1.7,0.618,1.2,3.9,5.2,2.0,0.5,0.1,1.3,7.6,10.7
1630182,187,Josh Green,1610612766,CHA,55,28.6,2.7,6.2,0.433,1.5,3.6,0.4,0.7,1.1,0.667,0.9,1.8,2.7,1.5,1.1,0.2,0.9,7.6,8.3
1630573,188,Sam Hauser,1610612738,BOS,52,20.4,2.7,6.0,0.446,2.1,5.1,0.406,0.1,0.1,1.0,0.7,2.4,3.0,1.0,0.6,0.2,0.4,7.5,8.6
1630548,189,Johnny Juzang,1610612762,UTA,44,17.7,2.5,6.2,0.41,1.6,4.4,0.369,0.7,0.8,0.833,0.7,2.0,2.6,0.9,0.5,0.1,0.5,7.4,7.3
1631218,190,Trayce Jackson-Davis,1610612744,GSW,51,17.9,3.2,5.5,0.573,0.0,0.0,0.0,1.0,1.7,0.605,2.2,3.5,5.7,1.9,0.4,0.7,0.8,7.3,12.2
1642268,191,Isaiah Collier,1610612762,UTA,53,24.4,2.9,7.1,0.404,0.5,2.3,0.236,1.0,1.5,0.646,0.4,2.7,3.1,6.1,0.8,0.2,2.8,7.2,9.9
1630643,192,Jay Huff,1610612763,MEM,48,12.1,2.5,4.8,0.522,1.3,3.2,0.418,0.8,1.0,0.771,0.5,1.6,2.0,0.6,0.2,0.9,0.6,7.1,7.8
1626166,193,Cameron Payne,1610612752,NYK,54,14.4,2.5,6.0,0.418,1.3,3.5,0.372,0.8,0.9,0.891,0.2,1.2,1.4,2.7,0.6,0.2,0.6,7.1,7.7
1630241,194,Sam Merrill,1610612739,CLE,51,19.3,2.3,6.0,0.391,1.8,5.2,0.355,0.5,0.5,0.964,0.5,1.5,2.0,1.5,0.7,0.2,0.5,7.0,7.3
1630558,195,Davion Mitchell,1610612748,MIA,53,26.0,2.7,5.8,0.456,1.1,2.8,0.383,0.6,0.9,0.674,0.4,1.5,1.9,4.5,0.8,0.2,1.8,7.0,9.3
1641824,196,Matas Buzelis,1610612741,CHI,59,16.1,2.5,5.8,0.435,0.9,2.8,0.339,0.9,1.1,0.823,0.6,2.3,3.0,0.7,0.3,0.8,0.7,6.9,7.5
1628418,197,Thomas Bryant,1610612754,IND,43,15.0,2.7,5.0,0.53,0.8,2.1,0.359,0.8,0.9,0.825,1.5,2.6,4.1,1.1,0.4,0.6,0.5,6.9,10.1
1631222,198,Jake LaRavia,1610612758,SAC,56,20.0,2.3,4.9,0.467,0.8,1.9,0.413,1.2,1.8,0.676,1.4,2.6,4.1,2.6,0.9,0.4,1.4,6.6,9.9
1629312,199,Haywood Highsmith,1610612748,MIA,53,24.2,2.4,5.1,0.478,1.2,3.0,0.41,0.4,0.6,0.719,0.8,2.3,3.1,1.3,0.9,0.6,0.7,6.5,9.0
1629611,200,Terance Mann,1610612737,ATL,46,20.3,2.5,5.3,0.469,0.8,2.1,0.396,0.6,1.0,0.63,1.0,1.9,2.9,1.7,0.7,0.3,0.7,6.5,8.2
1627739,201,Kris Dunn,1610612746,LAC,53,23.5,2.6,6.0,0.434,0.9,3.0,0.316,0.2,0.3,0.563,0.9,2.8,3.6,3.0,1.8,0.3,1.1,6.3,10.4
1641842,202,Ronald Holland II,1610612765,DET,62,15.7,2.4,5.2,0.456,0.5,2.0,0.234,1.1,1.4,0.791,0.5,2.2,2.7,0.9,0.6,0.1,0.8,6.3,6.7
