PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF,teamName,playerName,position,updated,injury,injuryStatus
1631170,164,Jaime Jaquez Jr.,1610612748,MIA,54,21.5,3.2,7.1,0.448,0.6,1.9,0.31,1.8,2.4,0.756,1.2,3.3,4.4,2.5,1.0,0.2,1.5,8.7,10.8,,,,,,
201143,166,Al Horford,1610612738,BOS,52,27.4,3.1,7.3,0.419,1.8,5.0,0.363,0.5,0.6,0.9,1.2,4.7,5.9,2.0,0.6,0.9,0.8,8.5,12.9,,,,,,
1631213,166,Tyrese Martin,1610612751,BKN,48,21.1,3.1,7.6,0.407,1.6,4.6,0.355,0.7,0.9,0.773,1.0,2.6,3.6,1.7,0.5,0.2,1.2,8.5,8.6,,,,,,
1642273,168,Kyshawn George,1610612764,WAS,59,27.1,2.9,7.9,0.362,1.7,5.3,0.319,1.0,1.3,0.769,0.7,3.4,4.2,2.4,1.0,0.8,1.5,8.5,10.0,,,,,,
1642276,169,Kel'el Ware,1610612748,MIA,48,20.4,3.5,6.6,0.54,0.6,1.8,0.321,0.8,1.0,0.72,1.6,4.9,6.5,0.9,0.6,1.1,0.9,8.4,13.3,,,,,,
1642271,170,Kyle Filipowski,1610612762,UTA,56,19.3,3.1,6.0,0.516,0.9,2.4,0.382,1.2,1.9,0.629,1.4,4.0,5.4,1.9,0.6,0.2,1.3,8.3,11.5,,,,,,
1629634,171,Brandon Clarke,1610612763,MEM,61,19.1,3.7,6.0,0.615,0.0,0.3,0.059,1.0,1.4,0.69,2.0,3.2,5.2,1.0,0.8,0.6,0.6,8.3,12.6,,,,,,
201144,172,Mike Conley,1610612750,MIN,58,24.7,2.6,6.7,0.393,1.8,4.5,0.408,1.2,1.3,0.92,0.5,2.1,2.6,4.5,1.2,0.2,1.1,8.3,11.5,,,,,,
1630188,173,Jalen Smith,1610612741,CHI,56,15.3,3.0,6.4,0.466,1.2,3.6,0.34,1.2,1.4,0.823,1.4,4.2,5.6,1.0,0.3,0.7,0.6,8.3,11.6,,,,,,
1631165,174,Keon Ellis,1610612758,SAC,63,23.1,2.8,5.9,0.481,1.7,4.0,0.429,0.9,1.0,0.848,0.8,1.8,2.5,1.3,1.4,0.8,0.8,8.3,10.4,,,,,,
