,NAME,RBI,SEASON,TM,G,AB,R,H,2B,3B,HR,BB,HBP,SO,SB,CS,PA,TB,XBH,SH,SF,IBB,GIDP,AVG,OBP,SLG,OPS,WRC,WRAA,WOBA,WRC+,BRAA,_game_idx,_stat,_teams,_page_id,_sport
,Sam HaggertyS. Haggerty,12,2025,TEX,54,139,29,36,6,3,2,14,2,29,11,2,156,54,11,1,0,1,1,.259,.335,.388,.724,19,0.5,.318,103,0.5,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Oswaldo CabreraO. Cabrera,11,2025,NYY,34,107,17,26,4,0,1,11,2,25,0,1,122,33,5,1,1,0,1,.243,.322,.308,.631,12,-2.6,.287,82,-2.6,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,J.C. Escarra,10,2025,NYY,39,83,5,17,5,0,2,11,1,14,1,0,97,28,7,0,2,0,1,.205,.299,.337,.636,9,-2.3,.284,80,-2.3,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,RBI,"['Yankees', 'Rangers']",24471b1c-663e-8033-a835-f16ec8455321,MLB
,Riley GreeneR. Greene,84,2025,DET,109,424,59,115,23,1,26,28,2,145,1,1,456,218,50,0,2,1,9,.271,.318,.514,.832,68,15.1,.355,129,15.6,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Spencer TorkelsonS. Torkelson,63,2025,DET,106,384,60,90,23,0,23,46,9,110,2,1,444,182,46,0,5,5,10,.234,.327,.474,.801,62,9.9,.341,120,10.4,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Byron BuxtonB. Buxton,59,2025,MIN,85,326,68,92,14,4,23,29,4,97,17,0,364,183,41,0,5,2,0,.282,.343,.561,.905,62,19.7,.381,146,19.6,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Gleyber TorresG. Torres,54,2025,DET,99,358,57,99,17,0,13,55,4,58,4,1,422,155,30,0,5,0,8,.277,.374,.433,.807,64,14.2,.355,130,14.7,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Trevor LarnachT. Larnach,46,2025,MIN,102,363,47,88,15,1,13,38,3,90,2,3,408,144,29,0,4,1,13,.242,.316,.397,.713,47,-0.5,.312,99,-0.5,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Javier BáezJ. Báez,45,2025,DET,91,307,45,82,14,2,11,9,5,78,4,1,322,133,27,0,1,0,4,.267,.298,.433,.731,38,0.7,.316,103,1,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Ty FranceT. France,44,2025,MIN,101,350,41,88,19,0,6,19,17,63,1,0,387,125,25,0,1,0,8,.251,.320,.357,.678,42,-3.3,.303,93,-3.3,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Brooks LeeB. Lee,43,2025,MIN,92,320,28,79,10,0,10,16,3,66,2,1,342,119,20,0,3,0,8,.247,.287,.372,.658,33,-7.1,.288,82,-7.1,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Dillon DinglerD. Dingler,42,2025,DET,83,287,32,79,14,1,9,11,7,72,0,0,306,122,24,0,1,0,3,.275,.317,.425,.742,38,2.4,.323,108,2.7,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Harrison BaderH. Bader,38,2025,MIN,96,271,31,70,13,0,12,27,7,81,10,4,307,119,25,0,2,0,3,.258,.339,.439,.778,43,6.6,.340,118,6.6,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Zach McKinstryZ. McKinstry,37,2025,DET,100,328,53,87,16,8,9,39,4,81,17,3,376,146,33,1,4,1,3,.265,.347,.445,.792,53,8.9,.343,121,9.3,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Kerry CarpenterK. Carpenter,36,2025,DET,83,280,44,74,13,3,18,8,4,64,1,1,293,147,34,0,1,0,2,.264,.294,.525,.819,42,8,.347,124,8.3,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Ryan JeffersR. Jeffers,34,2025,MIN,88,295,34,75,19,0,7,34,5,62,0,0,334,115,26,0,0,1,8,.254,.341,.390,.731,42,2.9,.324,107,2.9,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Colt KeithC. Keith,33,2025,DET,100,298,46,77,16,2,9,37,1,68,0,1,339,124,27,0,3,0,6,.258,.339,.416,.755,45,4.8,.331,113,5.2,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Kody ClemensK. Clemens,32,2025,MIN,66,184,26,42,7,3,12,17,4,49,1,1,208,91,22,1,2,0,2,.228,.304,.495,.799,29,4.5,.341,119,4.5,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Carlos CorreaC. Correa,31,2025,MIN,93,337,40,90,19,0,7,26,0,68,0,0,364,130,26,0,1,0,12,.267,.319,.386,.704,42,-1.1,.310,97,-1.1,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Willi CastroW. Castro,27,2025,MIN,86,302,48,74,15,2,10,32,9,84,9,3,344,123,27,1,0,1,9,.245,.335,.407,.743,44,3.9,.328,110,3.9,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Trey SweeneyT. Sweeney,27,2025,DET,85,231,28,48,5,1,5,23,0,68,3,1,258,70,11,0,4,0,2,.208,.275,.303,.578,19,-11.4,.259,63,-11.1,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Matt WallnerM. Wallner,25,2025,MIN,70,219,29,47,10,3,14,31,3,74,0,2,255,105,27,0,2,0,1,.215,.318,.479,.797,36,5.9,.343,120,5.9,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Wenceel PérezW. Pérez,23,2025,DET,52,178,31,47,9,3,8,11,2,38,5,1,192,86,20,0,1,0,2,.264,.313,.483,.796,27,4.2,.341,120,4.4,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Royce LewisR. Lewis,22,2025,MIN,56,193,21,48,12,0,5,15,0,29,1,0,209,75,17,0,1,0,4,.249,.301,.389,.690,23,-2,.302,92,-2,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Andy IbáñezA. Ibáñez,17,2025,DET,50,105,16,25,6,0,3,7,4,16,3,0,117,40,9,0,1,0,5,.238,.308,.381,.689,13,-0.9,.304,94,-0.8,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Justyn-Henry MalloyJ. Malloy,16,2025,DET,46,96,13,20,4,0,1,19,1,31,0,0,118,27,5,0,2,0,1,.208,.339,.281,.620,12,-2.2,.290,85,-2.1,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Christian VázquezC. Vázquez,13,2025,MIN,60,175,12,31,7,0,2,15,3,33,0,1,195,44,9,0,2,0,3,.177,.251,.251,.503,10,-13.1,.230,43,-13.1,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,Jake RogersJ. Rogers,13,2025,DET,30,80,11,15,2,1,3,12,0,25,0,0,94,28,6,1,1,0,0,.188,.290,.350,.640,9,-2.2,.285,81,-2.1,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,RBI,"['Twins', 'Tigers']",24471b1c-663e-8047-a9fa-d655c770d257,MLB
