PLAYERPLAYER,TEAMTEAM,WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.,LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.,ERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IPERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IP,GGamesGames in which the pitcher threw at least one pitch.GGamesGames in which the pitcher threw at least one pitch.,"GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.",CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.,SHOShutoutsWhen a pitcher throws a complete game and allows no runs.SHOShutoutsWhen a pitcher throws a complete game and allows no runs.,"SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.",SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.,"IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.",HHitsHits allowed by a pitcher.HHitsHits allowed by a pitcher.,RRunsRuns allowed by a pitcher.RRunsRuns allowed by a pitcher.,EREarned RunsEarned runs allowed by a pitcher.EREarned RunsEarned runs allowed by a pitcher.,HRHome RunsHome runs allowed by a pitcher.HRHome RunsHome runs allowed by a pitcher.,HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.,BBWalksWalks allowed by a pitcher.BBWalksWalks allowed by a pitcher.,caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.,WHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IPWHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IP,AVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/ABAVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/AB
1TarikT SkubalSkubalP1‌‌‌,DET,18,4,2.39,31,31,0,0,0,0,192.0,142,54,51,15,9,35,228,0.92,.201
2ChrisC SaleSaleP2‌‌‌,ATL,18,3,2.38,29,29,0,0,0,0,177.2,141,48,47,9,8,39,225,1.01,.216
3DylanD CeaseCeaseP3‌‌‌,SD,14,11,3.47,33,33,1,1,0,0,189.1,137,80,73,18,2,65,224,1.07,.200
3ZackZ WheelerWheelerP3‌‌‌,PHI,16,7,2.57,32,32,0,0,0,0,200.0,139,62,57,20,8,52,224,0.96,.192
5ColeC RagansRagansP5‌‌‌,KC,11,9,3.14,32,32,1,0,0,0,186.1,146,71,65,15,6,67,223,1.14,.213
6LoganL GilbertGilbertP6‌‌‌,SEA,9,12,3.23,33,33,1,0,0,0,208.2,148,83,75,26,4,37,220,0.89,.196
7GarrettG CrochetCrochetP7‌‌‌,CWS,6,12,3.58,32,32,0,0,0,0,146.0,123,61,58,18,5,33,209,1.07,.222
8YuseiY KikuchiKikuchiP8‌‌‌,HOU,9,10,4.05,32,32,0,0,0,0,175.2,167,85,79,25,2,44,206,1.20,.245
9SonnyS GrayGrayP9‌‌‌,STL,13,9,3.84,28,28,0,0,0,0,166.1,142,79,71,21,3,39,203,1.09,.228
10MichaelM KingKingP10‌‌‌,SD,13,9,2.95,31,30,0,0,0,0,173.2,144,71,57,17,7,63,201,1.19,.221
11FreddyF PeraltaPeraltaP11‌‌‌,MIL,11,9,3.68,32,32,0,0,0,0,173.2,143,74,71,26,10,68,200,1.21,.224
12PabloP LópezLópezP12‌‌‌,MIN,15,10,4.08,32,32,0,0,0,0,185.1,180,90,84,26,8,41,198,1.19,.252
13AaronA NolaNolaP13‌‌‌,PHI,14,8,3.57,33,33,1,1,0,0,199.1,189,84,79,30,3,50,197,1.20,.247
14CarlosC RodónRodónP14‌‌‌,NYY,16,9,3.96,32,32,0,0,0,0,175.0,157,81,77,31,10,57,195,1.22,.235
15JackJ FlahertyFlahertyP15‌‌‌,LAD,13,7,3.17,28,28,0,0,0,0,162.0,135,61,57,24,4,38,194,1.07,.223
16BaileyB OberOberP16‌‌‌,MIN,12,9,3.98,31,31,1,0,0,0,178.2,136,81,79,27,6,43,191,1.00,.208
17TannerT BibeeBibeeP17‌‌‌,CLE,12,8,3.47,31,31,0,0,0,0,173.2,150,70,67,22,8,44,187,1.12,.230
18BrandonB PfaadtPfaadtP18‌‌‌,AZ,11,10,4.71,32,32,0,0,0,0,181.2,183,103,95,24,4,42,185,1.24,.259
19SeanS ManaeaManaeaP19‌‌‌,NYM,12,6,3.47,32,32,0,0,0,0,181.2,134,75,70,21,9,63,184,1.08,.202
20CorbinC BurnesBurnesP20‌‌‌,BAL,15,9,2.92,32,32,0,0,0,0,194.1,165,76,63,22,2,48,181,1.10,.226
20MacKenzieM GoreGoreP20‌‌‌,WSH,10,12,3.90,32,32,0,0,0,0,166.1,171,93,72,15,11,65,181,1.42,.263
20SethS LugoLugoP20‌‌‌,KC,16,9,3.00,33,33,1,0,0,0,206.2,177,75,69,16,9,48,181,1.09,.229
23HunterH BrownBrownP23‌‌‌,HOU,11,9,3.49,31,30,0,0,0,0,170.0,156,71,66,18,5,60,179,1.27,.242
23GeorgeG KirbyKirbyP23‌‌‌,SEA,14,11,3.53,33,33,0,0,0,0,191.0,181,82,75,22,7,23,179,1.07,.245
25LuisL CastilloCastilloP25‌‌‌,SEA,11,12,3.64,30,30,0,0,0,0,175.1,158,73,71,25,5,47,175,1.17,.238
25KutterK CrawfordCrawfordP25‌‌‌,BOS,9,16,4.36,33,33,0,0,0,0,183.2,155,97,89,34,9,51,175,1.12,.223
27ShotaS ImanagaImanagaP27‌‌‌,CHC,15,3,2.91,29,29,0,0,0,0,173.1,149,66,56,27,3,28,174,1.02,.225
28NickN PivettaPivettaP28‌‌‌,BOS,6,12,4.14,27,26,0,0,0,0,145.2,128,70,67,28,1,36,172,1.13,.231
28LoganL WebbWebbP28‌‌‌,SF,13,10,3.47,33,33,1,1,0,0,204.2,202,83,79,11,2,50,172,1.23,.258
30SpencerS ArrighettiArrighettiP30‌‌‌,HOU,7,13,4.53,29,28,0,0,0,0,145.0,139,80,73,21,7,65,171,1.41,.250
30LuisL GilGilP30‌‌‌,NYY,15,7,3.50,29,29,0,0,0,0,151.2,104,60,59,18,8,77,171,1.19,.189
30BryceB MillerMillerP30‌‌‌,SEA,12,8,2.94,31,31,0,0,0,0,180.1,131,62,59,21,3,45,171,0.98,.200
33BradyB SingerSingerP33‌‌‌,KC,9,13,3.71,32,32,0,0,0,0,179.2,175,77,74,22,10,54,170,1.27,.253
33PaulP SkenesSkenesP33‌‌‌,PIT,11,3,1.96,23,23,0,0,0,0,133.0,94,31,29,10,6,32,170,0.95,.198
