PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF,teamName,playerName,position,updated,injury,injuryStatus
203486,232,Mason Plumlee,1610612756,PHX,65,18.1,1.8,2.9,0.618,0.0,0.0,0.0,1.1,1.7,0.646,1.6,4.7,6.4,1.8,0.4,0.7,0.8,4.7,11.5,,,,,,
1641763,233,Julian Phillips,1610612741,CHI,64,13.9,1.6,3.6,0.443,0.6,1.9,0.328,0.8,1.0,0.761,0.9,1.2,2.1,0.5,0.4,0.3,0.4,4.6,5.3,,,,,,
1641724,234,Jett Howard,1610612753,ORL,54,11.4,1.5,4.2,0.355,0.9,3.1,0.297,0.3,0.4,0.75,0.4,0.8,1.2,0.8,0.2,0.2,0.5,4.2,3.3,,,,,,
1631200,235,Kris Murray,1610612757,POR,55,13.8,1.7,3.7,0.45,0.4,1.5,0.256,0.3,0.8,0.409,1.0,1.2,2.3,0.8,0.5,0.2,0.5,4.0,4.8,,,,,,
1631207,236,Dalen Terry,1610612741,CHI,59,12.4,1.4,3.2,0.452,0.4,1.2,0.319,0.7,1.0,0.678,0.5,0.9,1.4,1.2,0.5,0.2,0.6,3.9,4.5,,,,,,
201587,238,Nicolas Batum,1610612746,LAC,64,18.0,1.3,3.1,0.406,1.0,2.6,0.401,0.2,0.3,0.833,0.6,2.1,2.8,1.1,0.7,0.5,0.4,3.8,6.5,,,,,,
1641737,239,Adem Bona,1610612755,PHI,46,12.0,1.4,2.1,0.688,0.0,0.0,0.0,0.8,1.3,0.661,1.2,2.0,3.2,0.3,0.3,0.9,0.7,3.7,6.6,,,,,,
1641748,240,Andre Jackson Jr.,1610612749,MIL,57,15.8,1.5,3.2,0.467,0.5,1.3,0.397,0.2,0.3,0.556,1.0,1.9,2.9,1.3,0.5,0.2,0.9,3.7,6.0,,,,,,
203500,241,Steven Adams,1610612745,HOU,47,12.7,1.4,2.8,0.523,0.0,0.0,0.0,0.7,1.6,0.446,2.7,2.6,5.3,1.2,0.3,0.4,0.9,3.6,7.8,,,,,,
1630579,242,Jericho Sims,1610612749,MIL,51,11.9,0.9,1.4,0.652,0.0,0.0,0.0,0.2,0.3,0.615,1.3,2.4,3.8,0.6,0.2,0.4,0.6,1.9,5.6,,,,,,
