,Player,Season,Team,S/C,Pos,GP,G,A,P,+/-,PIM,P/GP,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,S,S%,TOI/GP,FOW%
69,Anze Kopitar,2024-25,LAK,L,C,57,13,33,46,+7,2,0.81,10,31,3,14,0,1,0,5,72,18.1,19:17,56.7
70,Drake Batherson,2024-25,OTT,R,R,58,16,30,46,-13,14,0.79,7,22,9,24,0,0,0,2,128,12.5,18:28,47.4
71,Tomas Hertl,2024-25,VGK,L,C,59,23,23,46,-12,18,0.78,12,27,11,19,0,0,0,3,146,15.8,17:11,56.8
72,J.T. Miller,2024-25,"VAN, NYR",L,C,49,14,31,45,-4,37,0.92,11,27,3,18,0,0,1,2,98,14.3,17:56,58.8
73,Troy Terry,2024-25,ANA,R,R,53,17,28,45,+5,16,0.85,13,35,4,10,0,0,1,3,125,13.6,19:00,28.0
74,Alex Tuch,2024-25,BUF,R,R,57,21,24,45,+14,31,0.79,17,35,1,6,3,4,0,2,137,15.3,19:19,41.8
75,Anthony Cirelli,2024-25,TBL,L,C,57,20,25,45,+22,20,0.79,13,34,3,5,4,6,0,1,117,17.1,18:55,50.0
76,Jonathan Marchessault,2024-25,NSH,R,R,59,18,27,45,-20,31,0.76,14,28,4,17,0,0,1,3,173,10.4,18:18,25.5
77,Tom Wilson,2024-25,WSH,R,R,59,26,19,45,+14,54,0.76,15,28,10,15,1,2,1,3,133,19.6,18:45,25.0
78,Evan Bouchard,2024-25,EDM,R,D,59,9,36,45,+15,22,0.76,9,28,0,17,0,0,0,1,174,5.2,23:36,--
79,Connor McMichael,2024-25,WSH,L,C,60,21,24,45,+19,28,0.75,17,34,4,10,0,1,0,4,132,15.9,17:12,45.5
80,Dylan Guenther,2024-25,UTA,R,R,48,22,22,44,+4,20,0.92,12,23,10,21,0,0,3,7,131,16.8,16:43,41.2
81,Jason Zucker,2024-25,BUF,L,L,54,18,26,44,+4,53,0.81,9,28,9,16,0,0,0,3,99,18.2,16:02,41.3
82,JJ Peterka,2024-25,BUF,L,R,55,17,27,44,-1,10,0.80,14,34,3,10,0,0,0,3,122,13.9,18:00,33.3
83,Brady Tkachuk,2024-25,OTT,L,L,56,21,23,44,-2,101,0.79,10,26,11,18,0,0,3,4,234,9.0,18:37,50.2
84,Matvei Michkov,2024-25,PHI,L,R,58,19,25,44,-9,38,0.76,12,29,7,15,0,0,3,3,131,14.5,16:00,46.2
85,Lane Hutson,2024-25,MTL,L,D,59,4,40,44,-16,32,0.75,3,25,1,19,0,0,0,0,68,5.9,22:27,--
86,Carter Verhaeghe,2024-25,FLA,L,C,61,16,28,44,-13,36,0.72,11,28,5,16,0,0,0,5,185,8.7,18:11,32.3
87,Roope Hintz,2024-25,DAL,L,C,55,23,20,43,+9,16,0.78,17,30,5,11,1,2,0,5,125,18.4,16:40,54.7
88,Andrei Svechnikov,2024-25,CAR,L,R,58,18,25,43,-7,38,0.74,9,26,9,17,0,0,0,2,159,11.3,17:34,25.0
89,Nazem Kadri,2024-25,CGY,L,C,59,20,23,43,-17,61,0.73,16,28,4,15,0,0,0,2,197,10.2,18:59,47.1
90,Jonathan Huberdeau,2024-25,CGY,L,L,59,22,21,43,-8,28,0.73,13,26,7,14,2,3,1,5,112,19.6,19:05,25.9
91,Teuvo Teravainen,2024-25,CHI,L,C,59,13,30,43,-15,8,0.73,7,23,6,19,0,1,0,0,89,14.6,16:49,41.7
92,Jared McCann,2024-25,SEA,L,L,60,15,28,43,+5,14,0.72,13,32,2,10,0,1,1,2,142,10.6,17:22,45.8
93,Dylan Holloway,2024-25,STL,L,L,60,18,25,43,+11,10,0.72,15,34,3,9,0,0,1,5,136,13.2,16:35,42.8
94,Erik Karlsson,2024-25,PIT,R,D,61,8,35,43,-19,18,0.70,7,32,1,11,0,0,0,0,152,5.3,23:07,--
95,Macklin Celebrini,2024-25,SJS,L,C,48,18,24,42,-21,22,0.88,12,28,6,14,0,0,1,4,163,11.0,19:45,48.6
96,Bryan Rust,2024-25,PIT,R,R,50,20,22,42,-23,16,0.84,17,32,3,10,0,0,2,4,124,16.1,19:34,66.7
97,William Eklund,2024-25,SJS,L,L,55,12,30,42,-5,22,0.76,6,27,6,13,0,2,1,1,99,12.1,19:36,31.0
98,Bo Horvat,2024-25,NYI,L,C,58,20,22,42,+8,6,0.72,16,36,3,5,1,1,2,5,172,11.6,20:01,60.0
99,Anders Lee,2024-25,NYI,L,L,59,23,19,42,+15,20,0.71,19,36,4,6,0,0,0,2,168,13.7,17:17,38.9
100,Mika Zibanejad,2024-25,NYR,R,C,59,13,29,42,-21,20,0.71,9,24,4,15,0,3,0,0,131,9.9,18:26,52.7
101,Sean Monahan,2024-25,CBJ,L,C,41,14,27,41,+17,14,1.00,10,30,4,9,0,2,0,2,106,13.2,19:27,51.5
102,Kent Johnson,2024-25,CBJ,L,C,45,20,21,41,+1,10,0.91,16,28,3,11,1,2,0,4,89,22.5,17:27,0.0
103,Evgeni Malkin,2024-25,PIT,L,C,51,12,29,41,-17,26,0.80,10,30,2,11,0,0,1,3,86,14.0,17:52,42.6
104,Pavel Buchnevich,2024-25,STL,L,L,58,12,29,41,+5,19,0.71,10,31,2,9,0,1,0,0,111,10.8,18:56,36.7
105,Brock Nelson,2024-25,NYI,L,C,59,19,22,41,+4,14,0.69,15,35,1,3,3,3,1,6,161,11.8,19:18,52.8
106,Ryan Donato,2024-25,CHI,L,C,57,19,21,40,-11,30,0.70,17,30,2,10,0,0,0,2,129,14.7,15:19,45.4
107,Kyle Palmieri,2024-25,NYI,R,C,59,19,21,40,-3,14,0.68,16,32,3,7,0,1,0,2,114,16.7,18:11,39.3
108,Chandler Stephenson,2024-25,SEA,L,C,59,10,30,40,-13,22,0.68,8,22,1,17,1,1,0,1,59,17.0,19:38,52.0
