PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PTS,EFF
1628998,183,Cody Martin,1610612756,PHX,39,24.8,3.0,6.9,0.433,1.0,3.2,0.323,0.9,1.3,0.694,1.0,3.5,4.5,2.3,1.1,0.7,1.1,7.8,11.1
1628989,184,Kevin Huerter,1610612741,CHI,48,21.0,2.9,7.4,0.397,1.5,4.9,0.3,0.5,0.7,0.688,0.5,2.3,2.8,1.8,0.9,0.3,0.9,7.8,8.0
1630182,185,Josh Green,1610612766,CHA,50,28.6,2.8,6.3,0.439,1.5,3.6,0.403,0.7,1.0,0.706,0.9,1.8,2.8,1.5,1.1,0.2,1.0,7.7,8.4
1631260,186,AJ Green,1610612749,MIL,49,22.6,2.6,6.1,0.425,2.2,5.2,0.417,0.3,0.4,0.889,0.2,2.0,2.3,1.3,0.5,0.1,0.5,7.7,7.8
1630573,187,Sam Hauser,1610612738,BOS,48,19.9,2.7,6.1,0.44,2.1,5.3,0.401,0.1,0.1,1.0,0.6,2.4,3.0,1.0,0.6,0.2,0.3,7.6,8.6
1629726,188,Garrison Mathews,1610612737,ATL,43,17.7,2.1,5.5,0.39,1.8,4.7,0.385,1.5,1.8,0.829,0.3,1.5,1.8,1.3,0.6,0.3,0.7,7.5,7.2
1631218,189,Trayce Jackson-Davis,1610612744,GSW,50,18.2,3.2,5.6,0.573,0.0,0.0,0.0,1.0,1.7,0.605,2.2,3.6,5.8,1.9,0.4,0.7,0.8,7.5,12.5
1641717,190,Cason Wallace,1610612760,OKC,48,27.1,3.0,6.7,0.446,1.0,3.0,0.336,0.3,0.4,0.789,1.1,2.3,3.4,2.4,1.7,0.5,0.7,7.3,10.9
1630643,191,Jay Huff,1610612763,MEM,47,12.2,2.6,4.9,0.522,1.4,3.3,0.418,0.8,1.0,0.771,0.5,1.6,2.1,0.6,0.2,0.9,0.6,7.3,7.9
1626166,192,Cameron Payne,1610612752,NYK,51,14.6,2.5,6.1,0.419,1.4,3.6,0.373,0.8,0.9,0.891,0.2,1.2,1.4,2.7,0.5,0.2,0.6,7.3,7.8
1630241,193,Sam Merrill,1610612739,CLE,48,19.3,2.4,6.1,0.39,1.9,5.3,0.352,0.5,0.5,0.962,0.5,1.5,2.0,1.5,0.7,0.2,0.5,7.1,7.3
1642268,194,Isaiah Collier,1610612762,UTA,48,24.0,2.8,6.9,0.408,0.5,2.3,0.236,0.8,1.3,0.633,0.4,2.7,3.1,6.0,0.8,0.2,2.9,7.0,9.8
1628418,195,Thomas Bryant,1610612754,IND,39,15.1,2.6,4.9,0.536,0.8,2.1,0.366,0.8,0.9,0.861,1.5,2.7,4.2,1.2,0.4,0.6,0.4,6.8,10.4
1631222,196,Jake LaRavia,1610612758,SAC,52,20.1,2.4,4.9,0.479,0.8,1.9,0.424,1.3,1.9,0.67,1.4,2.7,4.2,2.6,0.9,0.4,1.4,6.8,10.3
