PLAYER,TEAM,Pos,G,MP,G.1,GS,MP.1,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Jewell Loyd,LVA,G,20,599,20,20,30.0,3.7,9.8,.379,2.0,5.4,.374,1.7,4.4,.386,1.5,1.7,.853,1.4,4.3,2.2,0.9,0.1,1.4,1.9,10.9
Natasha Mack,PHO,F,10,157,10,2,15.7,1.3,2.7,.481,0.0,0.2,.000,1.3,2.5,.520,0.5,1.0,.500,2.3,5.1,0.8,1.1,1.2,0.7,1.9,3.1
Ezi Magbegor,SEA,F-C,21,573,21,21,27.3,3.3,6.6,.496,0.1,1.0,.100,3.2,5.7,.563,1.2,2.0,.581,2.1,6.3,2.4,0.7,2.0,0.9,2.9,7.9
Dominique Malonga,SEA,C,21,190,21,0,9.0,2.0,4.0,.506,0.0,0.3,.000,2.0,3.7,.551,0.4,0.6,.692,0.7,2.8,0.7,0.2,0.1,1.0,1.3,4.5
Rayah Marshall,CON,C-F,8,49,8,0,6.1,0.5,1.6,.308,0.0,0.1,.000,0.5,1.5,.333,0.4,0.8,.500,0.6,2.1,0.4,0.0,0.1,0.6,0.5,1.4
Kate Martin,GSV,G,18,315,18,2,17.5,2.4,6.7,.355,1.4,4.1,.342,1.0,2.7,.375,1.1,1.4,.760,0.2,2.6,0.7,0.4,0.1,1.0,1.2,7.2
Kayla McBride,MIN,G,17,537,17,17,31.6,4.2,10.4,.409,2.5,6.6,.375,1.8,3.8,.469,2.8,3.0,.941,0.1,2.2,3.2,1.1,0.1,1.6,1.4,13.8
Megan McConnell,PHO,G,1,13,1,0,13.0,1.0,4.0,.250,1.0,2.0,.500,0.0,2.0,.000,0.0,0.0,,1.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0
Teaira McCowan,DAL,C,12,174,12,0,14.5,2.3,4.1,.551,0.1,0.2,.500,2.2,3.9,.553,1.1,1.4,.765,1.8,4.8,0.5,0.3,0.8,1.0,1.7,5.7
Aari McDonald,IND,G,9,243,9,4,27.0,3.1,7.6,.412,0.9,4.0,.222,2.2,3.6,.625,2.3,3.2,.724,0.3,2.0,4.2,1.1,0.2,1.4,2.7,9.4
Jade Melbourne,WAS,G,19,442,19,4,23.3,2.3,5.8,.396,0.8,2.6,.327,1.5,3.3,.452,0.9,1.8,.500,0.4,2.1,2.7,0.5,0.1,1.8,2.5,6.4
Diamond Miller,MIN,F,18,175,18,0,9.7,1.2,2.4,.477,0.6,1.1,.550,0.6,1.3,.417,1.0,1.2,.857,0.1,0.9,0.8,0.3,0.2,0.8,1.8,3.9
Kelsey Mitchell,IND,G,20,625,20,20,31.3,7.0,15.4,.451,2.3,6.2,.374,4.7,9.3,.503,3.0,4.1,.741,0.3,1.7,2.8,0.9,0.3,1.5,2.2,19.2
Aneesah Morrow,CON,F,17,246,17,2,14.5,2.4,6.0,.392,0.4,1.4,.261,2.0,4.6,.430,1.9,2.5,.767,1.4,4.2,0.6,0.8,0.4,1.1,2.2,7.0
Murjanatu Musa,PHO,C,12,122,12,0,10.2,1.3,2.9,.457,0.1,0.2,.500,1.3,2.8,.455,0.6,0.9,.636,1.5,2.6,0.6,0.3,0.2,0.6,1.4,3.3
Olivia Nelson-Ododa,CON,C,19,447,19,17,23.5,3.2,6.3,.500,0.0,0.1,.000,3.2,6.3,.504,2.6,3.5,.742,1.8,6.3,0.9,0.7,1.4,1.2,2.4,8.9
Kia Nurse,CHI,G,19,412,19,11,21.7,2.5,6.5,.382,1.6,4.5,.360,0.8,1.9,.432,0.7,0.9,.778,0.3,2.0,1.2,0.3,0.1,1.3,2.0,7.3
Aaliyah Nye,LVA,G-F,20,354,20,0,17.7,1.7,4.3,.395,1.1,3.0,.373,0.6,1.4,.444,0.5,0.7,.769,0.3,1.4,0.6,0.3,0.2,0.6,1.9,5.0
Nneka Ogwumike,SEA,F,21,660,21,21,31.4,7.0,13.4,.521,1.1,3.2,.358,5.9,10.2,.572,1.8,2.2,.826,1.5,7.8,2.4,1.4,0.7,2.0,2.1,17.0
Lucy Olsen,WAS,G,18,186,18,0,10.3,1.3,3.1,.436,0.5,1.3,.391,0.8,1.8,.469,0.4,0.5,.889,0.2,1.1,0.9,0.1,0.1,0.3,0.9,3.6
Michaela Onyenwere,CHI,F,19,254,19,4,13.4,1.7,4.1,.410,0.4,1.2,.318,1.3,2.9,.446,0.8,0.9,.882,0.3,1.6,1.2,0.4,0.1,1.0,1.9,4.5
Te-Hina PaoPao,ATL,G,19,233,19,4,12.3,1.8,3.8,.486,1.1,2.3,.465,0.8,1.5,.517,0.3,0.5,.667,0.3,1.3,1.7,0.2,0.1,0.8,1.3,5.1
Robyn Parks,CON,F,6,63,6,0,10.5,0.2,0.8,.200,0.0,0.7,.000,0.2,0.2,1.000,0.0,0.0,,0.2,1.5,0.3,0.3,0.0,0.2,1.2,0.3
Shey Peddy,LAS,G,6,138,6,5,23.0,1.7,4.0,.417,0.8,2.2,.385,0.8,1.8,.455,0.8,1.0,.833,1.0,3.0,2.7,0.3,0.0,0.7,2.2,5.0
Haley Peters,CON,F-G,19,278,19,2,14.6,1.1,3.0,.351,0.2,1.2,.174,0.8,1.8,.471,0.4,0.6,.727,0.9,2.6,1.0,0.5,0.2,0.8,1.8,2.7
Alissa Pili,MIN,F,14,82,14,0,5.9,0.7,1.6,.455,0.3,0.8,.364,0.4,0.8,.545,0.2,0.3,.750,0.3,1.2,0.2,0.1,0.0,0.5,0.8,1.9
Kelsey Plum,LAS,G,19,679,19,19,35.7,5.8,15.2,.382,2.5,7.2,.346,3.3,8.0,.414,5.9,6.5,.911,0.2,3.2,5.9,1.4,0.2,3.3,3.1,19.9
Aerial Powers,GSV,G,2,7,2,0,3.5,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,1.0,1.0,1.000,0.5,1.0,0.5,0.5,0.0,0.0,0.0,1.0
Alexis Prince,PHO,F,1,22,1,0,22.0,1.0,3.0,.333,0.0,1.0,.000,1.0,2.0,.500,0.0,0.0,,0.0,8.0,1.0,0.0,0.0,3.0,1.0,2.0
JJ Quinerly,DAL,G,19,241,19,4,12.7,2.2,4.9,.447,0.5,1.3,.417,1.7,3.7,.457,1.2,1.3,.920,0.4,1.4,2.0,0.6,0.2,1.2,2.1,6.2
Angel Reese,CHI,F,19,595,19,19,31.3,4.6,10.8,.424,0.2,0.9,.235,4.4,9.9,.441,3.9,4.9,.787,4.1,12.8,3.8,1.5,0.6,3.6,3.3,13.3
Saniya Rivers,CON,G,18,493,18,15,27.4,2.9,8.2,.351,0.6,2.8,.220,2.3,5.4,.418,1.2,1.7,.710,0.8,2.9,3.1,1.7,1.0,1.7,1.7,7.6
Mercedes Russell,LAS,C,20,163,20,0,8.2,0.6,1.4,.444,0.0,0.0,,0.6,1.4,.444,0.5,0.7,.714,0.5,1.2,0.6,0.3,0.2,0.4,0.9,1.7
Nyara Sabally,NYL,C,13,246,13,8,18.9,2.4,4.8,.492,0.0,0.4,.000,2.4,4.5,.534,1.3,1.9,.680,1.8,4.7,0.6,0.7,0.7,0.8,2.2,6.1
Janelle Salaün,GSV,F,11,265,11,8,24.1,3.3,9.3,.353,1.5,4.3,.340,1.8,5.0,.364,0.9,1.0,.909,1.0,5.0,1.1,0.4,0.1,1.7,2.2,8.9
Jacy Sheldon,CON,G,20,497,20,15,24.9,3.0,6.0,.504,1.3,3.0,.433,1.7,3.0,.576,0.7,0.7,.929,0.8,1.9,2.1,0.9,0.2,1.4,2.6,8.0
