Player,Team,PPG,APG,RPG,3PM,Games
Geoff Sprouse,AMER,10.0,2.0,1.5,2.0,2
Greg Jones,AMER,11.5,3.5,7.0,0.5,2
Julen Iturbe,AMER,11.0,2.5,4.5,1.5,2
Kade Sebastian,AMER,2.0,1.0,4.5,0.0,2
Madden Collins,AMER,15.0,1.0,3.0,1.5,2
Matt Mayock,AMER,4.5,0.5,4.5,0.5,2
Wyatt Nausadis,AMER,13.5,0.5,1.0,2.5,2
Alonzo Dodd,APP,9.333333,4.3333335,4.6666665,1.3333334,3
Andrin Njock,APP,6.6666665,0.0,6.6666665,0.0,3
Cameron O'Kelley,APP,3.0,0.0,0.0,0.0,1
Chad Moodie,APP,4.3333335,0.0,5.0,0.0,3
Eren Banks,APP,9.0,1.6666666,2.6666667,2.0,3
Grant Clayton,APP,2.0,0.0,5.0,0.0,1
Jacari Brim,APP,1.5,0.5,1.0,0.5,2
Jalen Tot,APP,7.0,1.3333334,0.6666667,1.6666666,3
Jason Clarke Jr.,APP,5.0,3.0,2.3333333,0.33333334,3
Kasen Jennings,APP,18.666666,3.0,3.0,2.0,3
Luke Ledford,APP,0.0,0.0,1.0,0.0,1
Luke Wilson,APP,9.666667,1.0,5.3333335,0.33333334,3
Michael Marcus Jr.,APP,5.6666665,0.0,4.3333335,0.33333334,3
Anton Brookshire,APSU,15.0,2.5,1.5,4.0,2
Collin Parker,APSU,6.5,2.0,3.0,0.0,2
Creighton Morisch,APSU,5.0,1.5,5.0,0.0,2
Hansel Enmanuel,APSU,3.5,0.0,4.5,0.0,2
Ja'Corey Robinson,APSU,7.5,2.0,3.0,0.0,2
Matt Enright,APSU,6.5,5.0,1.5,1.0,2
Quan Lax,APSU,5.5,1.0,0.0,0.5,2
Rashaud Marshall,APSU,5.5,0.5,3.0,0.0,2
Tate McCubbin,APSU,18.0,5.0,5.0,3.5,2
Terrell Gaines,APSU,3.5,0.0,0.5,0.5,2
Travis Torain,APSU,4.5,0.0,5.0,0.5,2
Tyler Wagner,APSU,7.5,0.5,0.5,2.0,2
Zyree Collins,APSU,12.5,4.0,1.5,1.5,2
Addison Arnold,ARIZ,2.0,0.0,1.0,0.0,1
Anthony Dell'Orso,ARIZ,13.0,3.0,2.5,1.5,2
Brayden Burries,ARIZ,10.5,2.5,1.5,1.5,2
Dwayne Aristode,ARIZ,3.5,0.5,1.5,0.5,2
Evan Nelson,ARIZ,0.0,1.0,0.0,0.0,1
Ivan Kharchenkov,ARIZ,7.0,1.5,5.5,1.0,2
Jaden Bradley,ARIZ,17.5,5.5,2.5,0.0,2
Koa Peat,ARIZ,24.0,4.0,5.0,0.0,2
Motiejus Krivas,ARIZ,6.0,1.5,6.0,0.0,2
Sidi Gueye,ARIZ,2.0,0.0,2.0,0.0,1
Sven Djopmo,ARIZ,0.0,1.0,0.0,0.0,1
Tobe Awaka,ARIZ,9.5,0.0,11.5,0.0,2
Amere Brown,ARK,0.0,0.0,0.0,0.0,1
Ayden Kelley,ARK,0.0,0.0,0.0,0.0,1
Billy Richmond III,ARK,7.0,0.5,4.5,0.5,2
D.J. Wagner,ARK,10.5,5.0,3.0,2.0,2
Darius Acuff Jr.,ARK,19.0,5.0,2.0,2.5,2
Elmir Džafić,ARK,1.0,0.0,0.0,0.0,1
Isaiah Sealy,ARK,6.0,1.0,1.5,0.0,2
Jaden Karuletwa,ARK,0.0,1.0,1.0,0.0,1
Karter Knox,ARK,0.0,4.0,4.0,0.0,1
Malique Ewin,ARK,5.0,0.0,3.0,0.0,2
Meleek Thomas,ARK,18.5,4.5,6.0,3.0,2
Nick Pringle,ARK,7.0,0.5,7.5,0.0,2
Trevon Brazile,ARK,14.0,0.5,6.5,0.5,2
Alex Engro,ARMY,0.0,0.5,3.0,0.0,2
Brendon O'Keefe,ARMY,0.0,1.0,0.0,0.0,1
Dayon Polk,ARMY,1.0,1.5,2.5,0.0,2
Dillon Watt,ARMY,0.0,1.5,1.5,0.0,2
Dylan Benner,ARMY,1.0,0.0,1.0,0.0,2
Jacen Holloway,ARMY,14.5,1.5,3.5,0.5,2
Jackson Furman,ARMY,16.0,0.5,2.5,3.5,2
Jackson Mayo,ARMY,3.0,0.0,0.5,1.0,2
Jahaan Green,ARMY,2.0,0.0,0.0,0.0,1
Jorn Everson,ARMY,12.5,3.0,6.5,1.0,2
Joshua Eli,ARMY,0.0,0.0,0.0,0.0,1
Kevin McCarthy,ARMY,16.0,0.0,2.0,4.0,2
Nnaemeka Ikechi,ARMY,0.0,1.0,2.5,0.0,2
Ryan Curry,ARMY,10.0,7.0,6.0,2.0,1
Tate Laczkowski,ARMY,4.5,2.5,8.5,0.0,2
Aly Tounkara,ARST,2.5,0.0,4.0,0.0,2
Chandler Jackson,ARST,11.5,3.5,4.5,0.5,2
Christian Harmon,ARST,4.0,2.5,2.5,0.5,2
Chudi Dioramma,ARST,4.5,0.0,4.5,0.0,2
Fredy-Salam Sylla,ARST,0.0,0.0,0.0,0.0,1
Jalen Hampton,ARST,8.0,1.0,4.0,0.5,2
Jaxon Ellingsworth,ARST,9.0,0.0,6.0,1.0,2
Joey Chammaa,ARST,19.0,0.5,2.0,3.0,2
Matt Hayman,ARST,7.0,3.5,1.0,0.5,2
Royal Blue Smith,ARST,4.5,0.5,0.0,0.5,2
TJ Caldwell,ARST,7.0,0.0,2.0,1.0,2
Allen Mukeba,ASU,10.5,1.5,4.5,0.5,2
Andrija Grbović,ASU,6.5,0.0,4.5,0.5,2
Anthony Johnson,ASU,12.0,3.5,3.0,1.0,2
Bryce Ford,ASU,8.5,1.5,3.0,2.5,2
Kash Polk,ASU,0.0,0.0,0.0,0.0,2
Marcus Adams Jr.,ASU,4.0,0.0,2.5,0.5,2
Maurice Odum,ASU,11.5,7.0,5.0,2.5,2
Mor Massamba Diop,ASU,16.0,1.5,5.5,1.0,2
Quentin McCoy,ASU,0.0,0.0,0.0,0.0,2
Santiago Trouet,ASU,8.5,2.0,6.5,0.5,2
Trevor Best,ASU,3.5,1.0,2.0,0.0,2
Abdul Bashir,AUB,5.0,0.5,0.5,1.0,2
Blake Muschalek,AUB,0.0,0.0,1.0,0.0,1
CJ Williams,AUB,0.0,0.0,0.0,0.0,1
Drake Cardwell,AUB,0.0,0.0,0.0,0.0,1
Elyjah Freeman,AUB,6.5,1.0,6.5,0.0,2
Emeka Opurum,AUB,11.0,0.0,4.0,0.0,1
Filip Jović,AUB,5.5,0.5,6.0,0.0,2
Kaden Magwood,AUB,1.5,1.5,1.5,0.5,2
KeShawn Murphy,AUB,17.0,4.0,8.0,1.0,1
Kevin Overton,AUB,9.5,0.5,3.5,0.5,2
Keyshawn Hall,AUB,26.5,1.5,11.0,1.5,2
Reed Trapp,AUB,0.0,0.0,0.0,0.0,1
