Player,Team,PPG,APG,RPG,3PM,Games
Jac Mani,FRES,8.0,0.33333334,2.0,1.0,3
Jake Heidbreder,FRES,18.333334,2.3333333,2.6666667,2.6666667,3
Makhan Diouf,FRES,1.0,0.33333334,3.0,0.0,3
Matteo Porto,FRES,1.0,0.0,0.5,0.0,2
Troy Jenkins,FRES,0.0,0.0,0.0,0.0,1
Wilson Jacques,FRES,7.3333335,1.3333334,9.333333,0.0,3
Zaon Collins,FRES,13.0,4.6666665,5.3333335,0.0,3
AJ Swinton,FSU,0.0,0.0,3.0,0.0,1
Alex Steen,FSU,10.5,0.5,7.0,0.0,2
Alier Maluk,FSU,3.5,1.0,3.5,0.0,2
Cam Miles,FSU,7.5,1.5,1.5,0.5,2
Chauncey Wiggins,FSU,17.0,2.0,5.0,2.5,2
Jalen Crawford,FSU,3.0,0.0,0.0,1.0,2
Kobe MaGee,FSU,12.5,2.0,4.0,3.5,2
Lajae Jones,FSU,19.0,1.0,6.5,3.0,2
Martin Somerville,FSU,11.5,1.5,1.0,3.5,2
Robert McCray V,FSU,12.0,11.0,5.0,0.5,2
Shah Muhammad,FSU,0.0,0.5,1.5,0.0,2
Thomas Bassong,FSU,8.0,2.0,4.0,1.0,2
Abijah Franklin,FUR,6.6666665,1.6666666,1.6666666,0.33333334,3
Alex Wilkins,FUR,17.666666,4.0,2.0,2.0,3
Asa Thomas,FUR,10.0,1.0,3.6666667,2.3333333,3
Ben Vander Wal,FUR,6.3333335,2.0,4.3333335,0.0,3
Charles Johnston,FUR,10.333333,1.3333334,10.666667,1.3333334,3
Collin O'Neal,FUR,0.6666667,0.33333334,2.0,0.0,3
Cooper Bowser,FUR,9.0,1.6666666,8.0,0.0,3
Eddrin Bronson,FUR,5.6666665,0.6666667,1.6666666,1.6666666,3
Gunnar Lewis,FUR,3.0,0.0,0.0,1.0,1
Mason Smith,FUR,3.0,1.0,3.0,0.0,1
Owen Ritger,FUR,0.0,0.0,0.33333334,0.0,3
Thomas Tillman,FUR,0.0,0.0,0.0,0.0,1
Tom House,FUR,5.3333335,2.0,4.0,1.0,3
Alden Applewhite,GASO,15.5,1.5,4.5,1.0,2
Andres Burney,GASO,4.0,0.5,7.0,0.0,2
Dwayne Williams Jr,GASO,2.5,0.0,2.5,0.5,2
Jefferson Koulibaly,GASO,4.0,1.0,3.5,0.0,2
Khayri Dunn,GASO,8.5,0.5,2.0,1.0,2
Nakavieon White,GASO,12.0,4.0,2.5,1.0,2
Shainen Carter,GASO,6.5,0.0,5.5,0.0,2
Spudd Webb,GASO,20.5,1.5,3.0,1.0,2
Tsvet Sotirov,GASO,3.0,0.0,1.0,1.0,2
Tyren Moore,GASO,14.5,2.0,1.0,2.5,2
Anthony Enoh,GAST,6.0,1.0,5.6666665,1.0,3
Ayouba Berthe,GAST,3.3333333,2.0,2.0,0.6666667,3
Chris Jones,GAST,1.6666666,0.33333334,0.6666667,0.33333334,3
Christian Beam,GAST,2.6666667,0.33333334,5.3333335,0.0,3
Isaiah Sherrard,GAST,4.0,0.6666667,1.3333334,1.0,3
Jakai Newton,GAST,4.0,0.0,1.0,0.0,1
James Cooper,GAST,0.6666667,0.0,1.3333334,0.0,3
Jelani Hamilton,GAST,14.666667,2.0,2.6666667,1.6666666,3
Joah Chappelle,GAST,13.0,0.6666667,7.3333335,0.6666667,3
Malachi Brown,GAST,3.3333333,2.3333333,1.3333334,0.0,3
Micah Tucker,GAST,6.6666665,2.0,1.0,1.0,3
Trey Scott III,GAST,2.0,1.0,3.0,0.0,1
Brady Fitzgerald,GB,0.0,0.0,0.0,0.0,1
C.J. O'Hara,GB,10.666667,0.0,3.6666667,0.0,3
Caden Wilkins,GB,10.666667,1.3333334,3.0,2.6666667,3
Dontrell Hewlett,GB,5.0,2.0,2.0,0.33333334,3
Josh Hines,GB,5.0,2.0,0.0,1.0,1
Justin Allen,GB,3.5,0.0,0.0,1.0,2
LeBron Thomas,GB,1.0,1.0,1.0,0.33333334,3
Mac Wrecke,GB,7.0,1.0,2.0,1.0,3
Marcus Hall,GB,18.0,4.3333335,6.3333335,1.3333334,3
Maruan Cicic,GB,3.3333333,0.33333334,1.6666666,0.0,3
Preston Ruedinger,GB,4.6666665,3.3333333,3.0,1.3333334,3
Ramel Bethea,GB,0.6666667,0.33333334,1.6666666,0.0,3
Rob Stroud,GB,3.5,0.0,1.5,0.0,2
Vukasin Todorovic,GB,2.6666667,1.0,1.6666666,0.0,3
Brian Moore Jr.,GCU,12.0,2.5,3.5,0.5,2
Caleb Shaw,GCU,9.333333,0.33333334,3.0,1.3333334,3
Cole Pepe,GCU,0.0,0.0,1.0,0.0,1
Dennis Evans,GCU,6.0,0.0,0.0,0.0,1
Dusty Stromer,GCU,6.6666665,2.0,3.6666667,1.0,3
Efe Demirel,GCU,5.6666665,0.6666667,5.0,0.0,3
Evan Boisdur,GCU,3.0,3.0,2.0,0.0,1
Jaden Henley,GCU,16.666666,2.0,5.3333335,1.0,3
Kaleb Smith,GCU,2.0,0.33333334,1.3333334,0.0,3
Makaih Williams,GCU,11.333333,2.0,1.3333334,2.3333333,3
Nana Owusu-Anane,GCU,15.333333,5.0,10.666667,1.0,3
Wilhelm Breidenbach,GCU,8.333333,2.3333333,4.6666665,0.6666667,3
Brayden O'Connor,GMU,4.0,1.0,3.0,0.0,1
Devin Booker,GMU,3.5,0.0,0.0,0.5,2
Dola Adebayo,GMU,8.0,0.5,6.0,2.0,2
Emmanuel Kanga,GMU,3.5,0.5,6.5,0.0,2
Jahari Long,GMU,14.0,3.0,6.5,1.5,2
Kory Mincy,GMU,23.5,4.0,2.5,4.0,2
Malik Presley,GMU,7.0,1.5,4.5,0.0,2
Masai Troutman,GMU,10.0,0.0,6.0,0.0,1
Nick Ellington,GMU,6.0,0.5,5.0,0.0,2
Riley Allenspach,GMU,10.5,1.0,3.5,0.5,2
Stas Sivka,GMU,0.0,0.0,0.0,0.0,2
Adam Miller,GONZ,10.5,1.0,1.5,2.5,2
Braden Huff,GONZ,13.5,1.5,7.0,0.0,2
Braeden Smith,GONZ,2.5,3.5,2.0,0.5,2
Cade Orness,GONZ,0.0,0.0,0.0,0.0,1
Davis Fogle,GONZ,11.0,1.0,5.0,1.0,1
Emmanuel Innocenti,GONZ,4.0,1.5,2.5,1.0,2
Graham Ike,GONZ,16.0,4.0,11.0,0.0,2
Ismaila Diagne,GONZ,1.0,0.0,3.5,0.0,2
Jalen Warley,GONZ,10.5,3.0,6.0,0.0,2
Joaquim ArauzMoore,GONZ,0.0,0.0,1.0,0.0,1
Mario Saint-Supry,GONZ,8.0,4.5,3.0,1.0,2
Noah Haaland,GONZ,0.0,0.0,1.0,0.0,1
Steele Venters,GONZ,4.5,0.5,0.5,0.5,2
Tyon Grant-Foster,GONZ,14.5,0.5,6.0,0.5,2
Antonio Munoz,GRAM,13.0,3.6666667,2.6666667,0.0,3
Chancellor Perkins,GRAM,0.0,0.0,0.5,0.0,2
Derrius Ward,GRAM,8.666667,1.0,2.3333333,0.6666667,3
Devyn Franklin,GRAM,4.3333335,0.33333334,6.3333335,0.0,3
Jamil Muttilib,GRAM,12.666667,0.0,1.6666666,3.0,3
Jimel Lane,GRAM,12.666667,0.6666667,3.6666667,1.3333334,3
Mekhi Fitts,GRAM,2.0,0.0,3.0,0.0,2
Nazar Mahmoud,GRAM,5.0,1.5,2.0,0.0,2
Randarius Jones,GRAM,4.0,0.0,2.3333333,0.0,3
Richard Amaefule,GRAM,5.0,0.0,1.0,0.0,2
Rickey Ballard,GRAM,5.3333335,0.33333334,1.3333334,0.33333334,3
Roderick Coffee III,GRAM,6.6666665,4.0,4.6666665,1.0,3
Akai Fleming,GT,9.333333,0.33333334,1.6666666,1.0,3
Baye Ndongo,GT,9.0,3.0,7.5,0.5,2
Brandon Stores Jr.,GT,0.0,0.0,1.0,0.0,1
Chas Kelley III,GT,1.6666666,1.0,1.3333334,0.33333334,3
Cole Kirouac,GT,0.0,0.5,1.0,0.0,2
Davi Remagen,GT,1.0,0.5,1.0,0.0,2
Eric Chatfield Jr.,GT,2.3333333,1.0,0.6666667,0.33333334,3
Jaeden Mustaf,GT,6.0,2.3333333,4.3333335,0.6666667,3
Kam Craft,GT,5.3333335,1.0,0.6666667,1.3333334,3
Kowacie Reeves Jr.,GT,14.0,2.3333333,3.0,2.0,3
Lamar Washington,GT,13.0,3.0,6.0,2.0,1
Mouhamed Sylla,GT,13.333333,1.0,12.0,0.0,3
Peyton Marshall,GT,5.5,3.0,6.0,0.0,2
Austin Montgomery,GTWN,0.0,0.0,0.0,0.0,1
Caleb Williams,GTWN,11.5,1.0,5.5,0.5,2
DeShawn Harris-Smith,GTWN,6.5,0.5,1.5,0.0,2
Isaiah Abraham,GTWN,6.5,0.0,2.5,0.5,2
Jayden Fort,GTWN,4.5,0.0,4.0,0.0,2
Jeremiah Williams,GTWN,4.5,2.5,1.0,0.5,2
Julius Halaifonua,GTWN,3.0,2.5,4.5,0.0,2
KJ Lewis,GTWN,15.0,2.0,7.0,0.5,2
Kayvaun Mulready,GTWN,3.0,1.0,1.0,0.5,2
Langston Love,GTWN,0.0,0.0,1.0,0.0,1
Malik Mack,GTWN,15.0,2.5,5.0,2.0,2
Mason Moses,GTWN,0.0,0.0,0.0,0.0,1
Michael Van Raaphorst,GTWN,0.0,0.0,0.0,0.0,1
Seal Diouf,GTWN,2.0,0.0,1.0,0.0,1
Vince Iwuchukwu,GTWN,8.0,1.0,3.0,0.0,2
Bubu Benjamin,GW,11.0,0.0,3.5,1.0,2
Christian Jones,GW,11.0,1.5,4.0,0.0,2
Jean Aranguren,GW,3.5,2.5,3.5,0.5,2
Luke Hunger,GW,10.5,2.0,5.0,0.0,2
Rafael Castro,GW,10.5,1.5,5.0,0.0,2
Tre Dinkins,GW,12.5,2.5,3.0,2.5,2
Trey Autry,GW,11.0,1.0,7.0,1.0,2
Ty Bevins,GW,0.0,0.0,2.0,0.0,1
Tyrone Marshall Jr.,GW,13.0,3.0,7.5,0.5,2
Ace Talbert,GWEB,7.6666665,2.0,1.6666666,1.0,3
Colin Hawkins,GWEB,5.6666665,1.0,0.33333334,0.33333334,3
Curtis Williams III,GWEB,0.33333334,0.0,1.0,0.0,3
DJ Jefferson,GWEB,2.6666667,0.33333334,1.3333334,0.0,3
Jacob Hogarth,GWEB,8.333333,0.6666667,6.0,0.0,3
Jacob Hudson,GWEB,12.666667,2.0,7.3333335,0.6666667,3
Jamias Ferere,GWEB,2.0,1.0,0.5,0.0,2
Julius Clark,GWEB,12.333333,0.6666667,2.6666667,0.6666667,3
NaVuan Peterson,GWEB,2.3333333,1.3333334,2.3333333,0.33333334,3
Riek Riek,GWEB,2.3333333,0.6666667,2.3333333,0.33333334,3
Spence Sims,GWEB,11.0,0.33333334,1.0,3.0,3
AJ Staton-McCray,HALL,9.0,1.3333334,3.6666667,1.6666666,3
Adam Clark,HALL,9.333333,3.6666667,1.3333334,0.6666667,3
Assane Mbaye,HALL,0.0,0.0,0.0,0.0,2
David Gabriel,HALL,0.0,0.0,0.0,0.0,2
Elijah Fisher,HALL,13.0,1.6666666,4.6666665,0.6666667,3
Jacob Dar,HALL,5.3333335,1.0,2.6666667,0.0,3
Jahseem Felton,HALL,1.6666666,0.33333334,1.3333334,0.0,3
Mike Williams,HALL,5.6666665,1.3333334,3.3333333,0.6666667,3
Najai Hines,HALL,8.0,0.6666667,6.6666665,0.0,3
Stephon Payne,HALL,8.666667,0.6666667,5.3333335,0.0,3
Tajuan Simpkins,HALL,11.333333,1.0,3.6666667,1.3333334,3
Trey Parker,HALL,3.6666667,1.3333334,3.3333333,0.33333334,3
Aidan Haskins,HAMP,8.0,1.0,2.0,2.0,2
Christian Watson,HAMP,8.5,1.5,4.0,1.0,2
Daniel Johnson,HAMP,12.0,1.5,6.5,1.5,2
Elijah Kennedy,HAMP,2.0,1.5,1.5,0.0,2
Etienne Strothers,HAMP,5.0,2.5,3.0,1.0,2
Eunique Rink,HAMP,6.0,0.0,0.0,0.0,2
Hamza Asadallah,HAMP,3.0,1.0,0.0,1.0,1
Jalyke Gaines-Wyatt,HAMP,14.5,5.0,1.5,0.5,2
Josh Ogundele,HAMP,2.0,0.0,5.0,0.0,2
Kellan Lewis,HAMP,6.0,2.0,2.0,2.0,1
Kody Williams,HAMP,4.5,1.0,1.5,1.5,2
Michael Eley,HAMP,7.0,1.5,6.5,0.5,2
Peter Oduro,HAMP,3.0,0.5,2.0,0.0,2
Quintin Cooper,HAMP,9.5,2.5,4.5,1.0,2
Xzavier Long,HAMP,16.0,8.0,17.0,2.0,1
Austin Hunt,HARV,10.5,1.5,5.0,1.0,2
Avner Dror,HARV,0.0,0.0,0.0,0.0,1
Ben Eisendrath,HARV,0.0,1.0,0.0,0.0,1
Chandler Pigge,HARV,18.0,5.5,3.5,1.0,2
Dutch Dowdell,HARV,0.0,0.0,0.0,0.0,1
Frankie Mannino,HARV,1.0,0.5,2.0,0.0,2
Greg Cooper,HARV,3.0,0.0,0.0,1.0,1
Joseph Quartey,HARV,0.0,1.0,1.0,0.0,1
Kenan Parrish,HARV,4.5,0.5,4.0,0.0,2
Luca Ace-Nasteski,HARV,0.0,0.0,1.0,0.0,1
Payton Pitts,HARV,0.0,0.0,1.0,0.0,1
Robert Hinton,HARV,15.5,1.5,4.0,0.0,2
Ryan Sullivan,HARV,3.5,0.0,2.0,0.0,2
Tey Barbour,HARV,13.0,0.5,6.0,4.0,2
Thomas Batties III,HARV,14.5,1.5,4.5,1.5,2
Xavier Nesbitt,HARV,0.5,0.0,0.5,0.0,2
AJ Economou,HAW,2.0,0.0,0.0,0.0,1
Aaron Hunkin-Claytor,HAW,2.0,2.5,0.5,0.0,2
Dre Bullock,HAW,11.0,2.0,7.0,1.0,2
Gytis Nemeiksa,HAW,11.0,1.0,4.0,1.0,2
Harry Rouhliadeff,HAW,10.0,1.5,3.5,0.5,2
Hunter Carter,HAW,1.0,0.0,1.0,0.0,1
Hunter Erickson,HAW,10.5,3.0,2.0,1.5,2
Isaac Finlinson,HAW,10.5,0.5,3.0,1.5,2
Isaac Johnson,HAW,13.0,0.5,9.5,0.5,2
Isaiah Kerr,HAW,5.0,0.5,2.0,0.0,2
Jalen Myers,HAW,1.5,0.0,0.5,0.0,2
Yacine Toumi,HAW,3.5,0.5,3.0,0.0,2
Aidan Richard,HC,9.333333,1.0,5.3333335,2.0,3
Aiden Disu,HC,8.666667,1.3333334,5.6666665,0.33333334,3
Austin Mejia,HC,0.0,0.0,0.0,0.0,1
Chuck Hare,HC,1.5,0.0,1.5,0.0,2
DeAndre Williams,HC,9.333333,2.3333333,4.0,1.3333334,3
Declan Ryan,HC,2.3333333,0.0,1.0,0.0,3
Ethan Clark,HC,0.0,0.0,0.0,0.0,1
Gabe Warren,HC,6.6666665,1.0,2.3333333,0.33333334,3
Jaden Kirkwood,HC,1.3333334,0.0,0.33333334,0.0,3
Joe Nugent,HC,11.0,0.33333334,3.0,2.3333333,3
John St. Germain III,HC,1.3333334,1.3333334,0.6666667,0.0,3
Jude Haigh,HC,0.0,0.0,0.0,0.0,2
Tyler Boston,HC,15.333333,3.6666667,3.6666667,1.3333334,3
Will Aljancic,HC,1.0,0.0,3.0,0.0,2
Ahjany Lee,HCU,3.5,0.0,1.0,0.0,2
Bryson Monroe,HCU,0.0,0.0,1.0,0.0,1
Caleb Gaston,HCU,0.0,0.5,2.0,0.0,2
D'Aundre Samuels,HCU,9.0,0.5,2.0,2.0,2
Demarco Bethea,HCU,6.0,0.5,3.0,0.0,2
Demari Williams,HCU,3.5,0.5,2.5,0.0,2
Kylin Green,HCU,13.0,5.0,4.5,0.5,2
Mambourou Mara,HCU,7.0,2.0,5.5,0.5,2
Nehikhare Igiehon,HCU,8.5,1.0,2.5,0.0,2
Obadiah Curtis,HCU,4.5,0.0,2.5,1.0,2
Ryan Bartley,HCU,4.5,1.5,4.0,0.5,2
Trent Johnson,HCU,7.5,3.0,4.0,1.5,2
A.J. Wills,HOF,3.6666667,1.0,0.33333334,0.33333334,3
Alex Tsynkevich,HOF,0.0,0.0,2.0,0.0,1
Amir Williams,HOF,0.0,0.0,1.0,0.0,1
Biggie Patterson,HOF,10.0,0.6666667,5.0,1.6666666,3
Cruz Davis,HOF,18.0,5.0,6.0,2.0,3
German Plotnikov,HOF,10.0,0.6666667,2.6666667,1.6666666,3
Jaeden Roberts,HOF,2.0,0.0,0.0,0.0,1
Joshua Aaron Reaves,HOF,1.6666666,0.33333334,5.0,0.33333334,3
Joshua DeCady,HOF,5.0,1.0,4.0,0.0,3
Preston Edmead,HOF,15.333333,6.0,0.6666667,2.0,3
Silas Sunday,HOF,7.3333335,1.6666666,4.3333335,0.0,3
Victory Onuetu,HOF,10.333333,0.33333334,8.333333,0.0,3
Cedric Lath,HOU,0.0,0.0,0.0,0.0,1
Chase McCarty,HOU,3.5,0.5,2.5,0.5,2
Chris Cenac Jr.,HOU,7.0,1.0,11.5,1.0,2
Emanuel Sharp,HOU,16.5,0.5,5.0,1.5,2
Isiah Harwell,HOU,3.0,2.0,1.0,1.0,1
Joseph Tugler,HOU,13.0,1.5,5.0,0.5,2
Kalifa Sakho,HOU,0.5,0.0,0.5,0.0,2
Kingston Flemings,HOU,14.0,2.5,2.0,1.0,2
Kordel Jefferson,HOU,0.0,1.0,1.0,0.0,1
Mercy Miller,HOU,2.5,0.5,0.0,0.5,2
Milos Uzan,HOU,11.5,5.5,4.0,2.0,2
Ramon Walker Jr.,HOU,0.0,0.5,2.0,0.0,2
Alex Cotton,HOW,15.333333,1.6666666,1.6666666,4.0,3
BJ Powell,HOW,1.0,0.0,0.0,0.0,2
Bryce Harris,HOW,20.666666,4.3333335,6.0,2.6666667,3
Calvin Robins Jr.,HOW,0.6666667,0.0,0.33333334,0.0,3
Cam Gillus,HOW,12.333333,5.0,3.3333333,1.6666666,3
Danas Kazakevicius,HOW,7.6666665,3.6666667,3.3333333,0.33333334,3
Ed Holland III,HOW,6.0,1.0,4.3333335,0.33333334,3
Isaiah Brown,HOW,3.0,2.5,1.0,0.0,2
Jeremiah Johnson,HOW,1.5,0.0,2.0,0.5,2
Julian Johnson,HOW,1.0,0.0,2.0,0.0,2
Ose Okojie,HOW,6.0,0.33333334,1.6666666,0.0,3
River Smith,HOW,0.0,0.5,0.0,0.0,2
Shane Frazier,HOW,1.0,0.0,0.0,0.0,2
Stefan Isailovic,HOW,1.0,0.0,0.5,0.0,2
Travelle Bryson,HOW,5.6666665,0.33333334,3.0,0.33333334,3
Babacar Diallo,HPU,4.5,0.0,2.5,0.0,2
Birgir Irving,HPU,0.0,0.0,0.0,0.0,1
Braden Hausen,HPU,3.0,2.5,3.0,1.0,2
Caden Miller,HPU,3.0,1.0,1.5,0.0,2
Cam'Ron Fletcher,HPU,18.0,1.5,9.5,0.0,2
Chase Johnston,HPU,7.5,1.0,0.0,2.5,2
Conrad Martinez,HPU,14.0,5.5,1.0,2.0,2
David Fonville,HPU,5.0,1.0,0.0,0.0,1
Josh Ibukunoluwa,HPU,2.0,0.5,2.0,0.0,2
Owen Aquino,HPU,11.5,2.0,4.5,0.0,2
Rob Martin,HPU,15.5,3.0,1.5,2.0,2
Scotty Washington,HPU,8.5,1.5,3.5,0.0,2
Terry Anderson,HPU,14.0,2.0,3.5,0.0,2
Vincent Brady II,HPU,6.0,2.0,1.0,2.0,1
Youssouf Singare,HPU,5.0,0.0,0.5,0.0,2
Aidan Sevilla,IDHO,2.0,2.0,1.0,0.0,1
Biko Johnson,IDHO,8.5,3.5,4.5,0.5,2
Brody Rowbury,IDHO,11.5,1.5,4.5,0.0,2
Ewan Steele,IDHO,2.0,1.0,6.0,0.0,1
Isaiah Brickner,IDHO,13.0,4.0,5.0,3.0,1
Jack Payne,IDHO,7.0,1.0,9.0,2.0,2
Jackson Rasmussen,IDHO,15.5,1.5,3.0,1.5,2
Kolton Mitchell,IDHO,12.0,5.0,4.0,1.0,2
Kristian Gonzalez,IDHO,18.0,0.0,1.0,3.0,1
Miles Klapper,IDHO,12.0,2.0,0.0,4.0,1
Seth Joba,IDHO,10.5,2.0,9.0,1.5,2
Trevon Blassingame,IDHO,0.0,0.5,1.0,0.0,2
Blake Daberkow,IDST,3.6666667,0.0,1.3333334,0.0,3
Caleb Van De Griend,IDST,12.333333,0.6666667,6.3333335,0.0,3
Cheikh Sow,IDST,4.0,0.0,2.6666667,0.0,3
Connor Hollenbeck,IDST,17.666666,2.3333333,7.0,3.0,3
Evan Otten,IDST,3.3333333,0.33333334,3.3333333,0.0,3
Gus Etchison,IDST,8.333333,1.3333334,2.6666667,1.0,3
Jaedyn Brown,IDST,0.6666667,0.33333334,0.33333334,0.0,3
Jamison Guerra,IDST,6.0,4.3333335,2.0,1.0,3
Kasen Carpenter,IDST,0.0,0.0,0.0,0.0,1
Lachlan Brewer,IDST,5.3333335,2.0,2.3333333,0.6666667,3
Landen Birley,IDST,0.0,0.0,0.0,0.0,1
Louis Bond,IDST,0.0,0.0,0.0,0.0,1
Martin Kheil,IDST,0.0,2.0,2.0,0.0,1
Quin Patterson,IDST,8.333333,0.33333334,1.6666666,2.0,3
AJ Redd,ILL,2.5,0.0,0.5,0.0,2
Andrej Stojakovic,ILL,9.0,3.0,5.0,1.0,1
Ben Humrichous,ILL,15.0,2.0,5.0,3.0,2
Blake Fagbemi,ILL,1.0,1.5,2.0,0.0,2
David Mirkovic,ILL,18.0,2.5,12.5,1.0,2
Jake Davis,ILL,8.0,2.0,3.0,2.0,2
Jason Jakstys,ILL,3.0,1.0,5.0,0.0,2
Keaton Wagler,ILL,20.0,3.5,6.5,1.5,2
Kylan Boswell,ILL,20.5,4.0,7.5,3.0,2
Tomislav Ivisic,ILL,21.0,0.0,4.0,3.0,1
Zvonimir Ivisic,ILL,10.0,1.0,9.0,1.5,2
Boden Skunberg,ILST,12.5,1.5,5.5,2.5,2
Brandon Lieb,ILST,5.0,0.5,7.5,0.0,2
Cameron Barnes,ILST,0.0,0.5,0.5,0.0,2
Chase Walker,ILST,10.0,2.0,4.0,0.5,2
Jack Daugherty,ILST,0.0,0.0,0.0,0.0,2
Johnny Kinziger,ILST,13.0,2.5,5.5,1.0,2
Landon Moore,ILST,4.0,1.5,1.0,1.0,2
Landon Wolf,ILST,3.5,0.5,4.5,0.5,2
Mason Klabo,ILST,2.5,0.0,1.0,0.5,2
Ty Pence,ILST,8.0,1.0,4.5,0.5,2
Ty'Reek Coleman,ILST,13.5,1.5,2.0,1.0,2
Bruno Alocen,INST,2.3333333,2.0,2.6666667,0.0,3
Caden Huttenlocker,INST,0.0,0.0,0.0,0.0,1
Camp Wagner,INST,9.333333,1.6666666,3.3333333,2.3333333,3
Cooper Bean,INST,2.6666667,0.33333334,0.6666667,0.6666667,3
Derek Vorst,INST,10.333333,1.3333334,4.6666665,0.0,3
Enel St. Bernard,INST,6.3333335,0.6666667,5.6666665,0.0,3
Ian Scott,INST,14.333333,2.3333333,10.0,0.6666667,3
Jayan Walker,INST,4.6666665,0.6666667,2.3333333,0.0,3
Markus Harding,INST,9.333333,0.33333334,2.3333333,0.33333334,3
Sivert Nordheim,INST,1.5,0.0,1.0,0.0,2
Sterling Young,INST,13.0,0.6666667,1.6666666,2.0,3
Xavier Hall,INST,5.3333335,7.3333335,1.6666666,0.33333334,3
Zyair Greene,INST,2.6666667,0.0,0.33333334,0.33333334,3
Alliou Fall,IONA,2.0,0.0,2.0,0.0,1
CJ Anthony,IONA,24.0,5.0,4.0,4.0,1
Chase Cormier,IONA,0.0,1.0,2.0,0.0,1
Denver Anglin,IONA,6.0,6.0,5.0,1.0,1
Keshawn Williams,IONA,7.0,0.0,2.0,1.0,1
Khalil Badru,IONA,5.0,0.0,5.0,0.0,1
Kosy Akametu,IONA,14.0,0.0,4.0,1.0,1
Lamin Sabally,IONA,11.0,4.0,8.0,0.0,1
Matt Reed,IONA,6.0,0.0,2.0,1.0,1
Toby Harris,IONA,6.0,0.0,0.0,1.0,1
Alvaro Folgueiras,IOWA,12.0,4.0,5.0,2.0,2
Bennett Stirtz,IOWA,21.5,6.5,0.5,3.0,2
Brendan Hausen,IOWA,5.0,0.0,3.0,0.5,2
Cam Manyawu,IOWA,7.0,0.0,2.5,0.0,2
Cooper Koch,IOWA,8.0,1.5,3.0,1.5,2
Isaia Howard,IOWA,9.0,3.0,2.0,0.5,2
Joey Matteoni,IOWA,2.0,0.0,0.0,0.0,1
Kael Combs,IOWA,4.5,3.0,2.0,0.5,2
Tate Sage,IOWA,5.5,1.5,2.0,0.5,2
Tavion Banks,IOWA,10.5,0.5,3.5,0.0,2
Trevin Jirak,IOWA,5.0,1.0,0.5,0.0,2
Anthony Rise,ISU,0.0,0.0,1.0,0.0,2
Blake Buchanan,ISU,8.333333,2.0,5.6666665,0.0,3
Cade Kelderman,ISU,1.5,1.0,0.5,0.5,2
Dominick Nelson,ISU,8.0,1.0,2.0,0.0,3
Dominykas Pleta,ISU,3.3333333,0.33333334,1.6666666,0.0,3
Eric Mulder,ISU,1.6666666,0.33333334,3.6666667,0.0,3
Jamarion Batemon,ISU,6.6666665,0.0,1.6666666,2.0,3
Joshua Jefferson,ISU,17.333334,3.3333333,7.3333335,0.33333334,3
Killyan Toure,ISU,8.666667,1.6666666,2.3333333,0.6666667,3
Milan Momcilovic,ISU,15.0,2.0,3.0,3.6666667,3
Nate Heise,ISU,5.6666665,2.6666667,3.3333333,0.6666667,3
Tamin Lipsey,ISU,17.666666,5.6666665,3.6666667,1.3333334,3
Xzavion Mitchell,ISU,3.0,0.0,0.0,1.0,2
Conor Enright,IU,3.5,4.5,2.5,0.5,2
Drew Snively,IU,1.0,0.0,1.0,0.0,2
Ian Stephens,IU,1.0,0.0,0.0,0.0,2
Jasai Miles,IU,4.5,1.0,3.5,0.5,2
Lamar Wilkerson,IU,21.0,5.0,2.5,5.0,2
Reed Bailey,IU,13.0,1.5,5.0,0.0,2
Sam Alexis,IU,15.0,2.0,6.5,0.5,2
Tayton Conerway,IU,9.0,6.5,1.5,0.0,2
Trent Sisley,IU,8.5,1.5,4.0,0.5,2
Tryce Grensing,IU,0.0,0.0,0.0,0.0,2
Tucker DeVries,IU,22.5,3.0,8.0,5.0,2
Aiden Miller,IUIN,0.0,0.0,0.0,0.0,2
Ajay Holubar,IUIN,0.0,0.0,0.0,0.0,1
Corey Boston,IUIN,2.0,0.0,1.0,0.0,1
Finley Woodward,IUIN,9.333333,6.6666665,4.3333335,0.0,3
Gabe Stewart,IUIN,1.0,0.0,1.3333334,0.33333334,3
Garrett Sever,IUIN,0.0,0.0,0.0,0.0,1
JP Dragas,IUIN,4.6666665,1.0,2.0,1.3333334,3
Jaxon Edwards,IUIN,11.666667,2.0,3.3333333,0.0,3
Kameron Tinsley,IUIN,10.333333,0.6666667,2.6666667,1.0,3
Kyler D'Augustino,IUIN,14.0,3.6666667,4.6666665,1.3333334,3
Lav Cvetkovic,IUIN,0.0,0.0,1.0,0.0,1
Maguire Mitchell,IUIN,11.666667,0.0,1.3333334,3.0,3
Matt Compas,IUIN,18.333334,0.6666667,1.3333334,0.0,3
Micah Davis,IUIN,4.6666665,2.6666667,2.3333333,1.0,3
Reece Hagy,IUIN,4.3333335,1.0,2.6666667,0.33333334,3
Allen Udemadu,JAX,3.0,0.5,3.0,0.0,2
Anakin Brown,JAX,3.5,1.0,3.0,0.5,2
Chris Arias,JAX,11.5,0.5,1.0,3.0,2
Chris Lockett Jr.,JAX,9.0,0.5,4.5,0.5,2
Donovan Rivers,JAX,6.0,0.5,1.5,0.0,2
Enrico Borio,JAX,5.5,1.0,3.0,1.5,2
Evan Sterck,JAX,7.0,3.5,1.5,1.0,2
Hayden Wood,JAX,9.5,1.5,2.5,2.5,2
