teamName,playerName,position,updated,injury,injuryStatus
San Jose,Henry Thrun,D,"Mon, Mar 3",Upper Body,IR. Expected to be out until at least Mar 8
San Jose,Logan Couture,C,"Sat, Mar 1",Groin,IR. Expected to be out until at least Sep 15
San Jose,Jan Rutta,D,"Tue, Feb 18",Lower Body,IR. Expected to be out until at least Mar 8
St. Louis,Colton Parayko,D,"Thu, Mar 6",Knee,Expected to be out until at least Apr 17
St. Louis,Torey Krug,D,"Mon, Jan 27",Ankle,IR. Expected to be out until at least Sep 15
Tampa Bay,Victor Hedman,D,"Thu, Mar 6",Undisclosed,Day-to-Day
Toronto,Christopher Tanev,D,"Fri, Mar 7",Upper Body,IR. Expected to be out until at least Mar 10
Toronto,Max Pacioretty,LW,"Fri, Mar 7",Undisclosed,IR. Expected to be out until at least Mar 15
Toronto,Jani Hakanpaa,D,"Sat, Feb 22",Knee,IR. Expected to be out until at least Mar 8
Utah,Nick Bjugstad,C,"Thu, Mar 6",Upper Body,IR. Expected to be out until at least Mar 12
Utah,Robert Bortuzzo,D,"Thu, Mar 6",Lower Body,IR. Expected to be out until at least Mar 10
Vancouver,Quinn Hughes,D,"Thu, Mar 6",Undisclosed,Day-to-Day
Vancouver,Thatcher Demko,G,"Wed, Mar 5",Lower Body,IR. Expected to be out until at least Mar 9
Vancouver,Noah Juulsen,D,"Thu, Feb 27",Groin,IR. Expected to be out until at least Sep 15
Vegas,Victor Olofsson,RW,"Fri, Mar 7",Lower Body,Expected to be out until at least Mar 9
Vegas,William Karlsson,C,"Thu, Mar 6",Lower Body,IR. Expected to be out until at least Mar 9
Vegas,Raphael Lavoie,C,"Thu, Mar 6",Upper Body,Expected to be out until at least Mar 9
Vegas,Shea Theodore,D,"Sun, Mar 2",Arm,Expected to be out until at least Mar 23
Vegas,Cole Schwindt,RW,"Thu, Feb 27",Lower Body,IR. Expected to be out until at least Mar 7
Vegas,Robin Lehner,G,"Mon, Jan 27",Hip,IR. Expected to be out until at least Sep 15
Washington,Sonny Milano,LW,"Fri, Mar 7",Upper Body,IR. Expected to be out until at least Apr 1
Washington,Nicklas Backstrom,C,"Mon, Jan 27",Hip,IR. Expected to be out until at least Jul 1
Washington,T.J. Oshie,RW,"Mon, Jan 27",Back,IR. Expected to be out until at least Sep 15
Winnipeg,Rasmus Kupari,C,"Thu, Mar 6",Concussion,Expected to be out until at least Mar 11
