teamName,playerName,position,updated,injury,injuryStatus
Chi. White Sox,K. BushKy Bush,SP,"Wed, Apr 16",Elbow,Out for the season
Chi. White Sox,D. ThorpeDrew Thorpe,SP,"Thu, Mar 27",Elbow,Out for the season
Cincinnati,T. AntoneTejay Antone,RP,"Sat, Aug 16",Elbow,Expected to be out until at least Aug 16
Cincinnati,W. MileyWade Miley,SP,"Sat, Aug 16",Forearm,Expected to be out until at least Sep 1
Cincinnati,C. BurnsChase Burns,SP,"Fri, Aug 15",Elbow,Expected to be out until at least Aug 27
Cincinnati,I. GibautIan Gibaut,RP,"Mon, Aug 11",Shoulder,Expected to be out until at least Aug 25
Cincinnati,B. WilliamsonBrandon Williamson,SP,"Sun, Aug 10",Elbow,Out for the season
Cincinnati,N. LodoloNick Lodolo,SP,"Sat, Aug 9",Finger,Expected to be out until at least Aug 22
Cincinnati,R. LowderRhett Lowder,SP,"Thu, Jul 31",Oblique,Out for the season
Cincinnati,T. CallihanTyler Callihan,LF,"Mon, Jul 28",Wrist,Out for the season
Cincinnati,C. SpiersCarson Spiers,SP,"Mon, Jul 28",Elbow,Out for the season
Cincinnati,A. YoungAlex Young,RP,"Fri, Jul 25",Elbow,Out for the season
Cincinnati,J. AguiarJulian Aguiar,SP,"Wed, Jul 23",Elbow,Out for the season
Cincinnati,J. StaumontJosh Staumont,RP,"Wed, Apr 23",Undisclosed,Out for the season
Cleveland,W. BrennanWill Brennan,RF,"Fri, Aug 15",Elbow,Out for the season
Cleveland,L. ThomasLane Thomas,CF,"Wed, Aug 13",Foot,Expected to be out until at least Sep 8
Cleveland,T. BurnsTanner Burns,RP,"Mon, Aug 11",Oblique,Expected to be out until at least Aug 19
Cleveland,W. AntunezWuilfredo Antunez,RF,"Sun, Aug 10",Undisclosed,Expected to be out until at least Aug 16
Cleveland,J. BoydJustin Boyd,OF,"Sun, Aug 10",Undisclosed,Expected to be out until at least Aug 19
Cleveland,E. ClaseEmmanuel Clase,RP,"Sun, Aug 3",Personal,Out for the season
Cleveland,A. WaltersAndrew Walters,RP,"Sat, Aug 2",Lat,Out for the season
Cleveland,B. LivelyBen Lively,SP,"Wed, Jul 16",Elbow,Out for the season
Cleveland,J. MeansJohn Means,SP,"Tue, Apr 8",Elbow,Expected to be out until at least Sep 1
Cleveland,S. HentgesSam Hentges,RP,"Mon, Feb 17",Shoulder,Out for the season
Colorado,R. PintRiley Pint,RP,"Sat, Aug 16",Undisclosed,Expected to be out until at least Aug 16
Colorado,O. ArciaOrlando Arcia,3B,"Sat, Aug 16",Elbow,Expected to be out until at least Aug 16
Colorado,K. BryantKris Bryant,DH,"Thu, Aug 14",Back,Out for the season
Colorado,G. MarquezGerman Marquez,SP,"Wed, Aug 13",Biceps,Expected to be out until at least Aug 26
Colorado,Z. AgnosZach Agnos,RP,"Mon, Aug 11",Elbow,Expected to be out until at least Aug 18
Colorado,T. BlachTy Blach,SP,"Sun, Aug 10",Undisclosed,Expected to be out until at least Sep 11
Colorado,T. EstradaThairo Estrada,2B,"Fri, Aug 8",Hamstring,Out for the season
Colorado,S. HalvorsenSeth Halvorsen,RP,"Mon, Aug 4",Elbow,Expected to be out until at least Aug 25
