PLAYERPLAYER,TEAMTEAM,GGames PlayedGames in which a player has appeared.GGames PlayedGames in which a player has appeared.,"ABAt BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.ABAt BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.",RRunsWhen a baserunner safely reaches home plate and scores.RRunsWhen a baserunner safely reaches home plate and scores.,HHitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.HHitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.,2BDoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.2BDoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.,3BTriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.3BTriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.,"HRHome RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.HRHome RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.","caret-upcaret-downRBIRuns Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.caret-upcaret-downRBIRuns Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.",BBWalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.BBWalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.,SOStrikeoutsWhen the umpire calls three strikes on the batter.SOStrikeoutsWhen the umpire calls three strikes on the batter.,"SBStolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.SBStolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.",CSCaught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.CSCaught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.,AVGBatting AverageThe rate of hits per at bat.H/ABAVGBatting AverageThe rate of hits per at bat.H/AB,OBPOn-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF)OBPOn-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF),SLGSlugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/ABSLGSlugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/AB,OPSOn-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLGOPSOn-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLG
1AaronA JudgeJudgeCF1‌‌‌,NYY,158,559,122,180,36,1,58,144,133,171,10,0,.322,.458,.701,1.159
2ShoheiS OhtaniOhtaniDH2‌‌‌,LAD,159,636,134,197,38,7,54,130,81,162,59,4,.310,.390,.646,1.036
3JoséJ RamírezRamírez3B3‌‌‌,CLE,158,620,114,173,39,2,39,118,54,82,41,7,.279,.335,.537,.872
4WillyW AdamesAdamesSS4‌‌‌,MIL,161,610,93,153,33,0,32,112,74,173,21,4,.251,.331,.462,.793
4BrentB RookerRookerDH4‌‌‌,OAK,145,546,82,160,26,2,39,112,59,177,11,3,.293,.365,.562,.927
6JuanJ SotoSotoRF6‌‌‌,NYY,157,576,128,166,31,4,41,109,129,119,7,4,.288,.419,.569,.988
6BobbyB Witt Jr.WittSS6‌‌‌,KC,161,636,125,211,45,11,32,109,57,106,31,12,.332,.389,.588,.977
8JoshJ NaylorNaylor1B8‌‌‌,CLE,152,563,84,137,27,0,31,108,58,105,6,2,.243,.320,.456,.776
9MannyM MachadoMachado3B9‌‌‌,SD,152,593,77,163,30,0,29,105,45,124,11,2,.275,.325,.472,.797
10MarcellM OzunaOzunaDH10‌‌‌,ATL,162,606,96,183,31,0,39,104,74,170,1,0,.302,.378,.546,.924
10SalvadorS PerezPerezC10‌‌‌,KC,158,590,58,160,28,0,27,104,44,129,0,0,.271,.330,.456,.786
10KyleK SchwarberSchwarberDH10‌‌‌,PHI,150,573,110,142,22,0,38,104,106,197,5,3,.248,.366,.485,.851
13VladimirV Guerrero Jr.Guerrero1B13‌‌‌,TOR,159,616,98,199,44,1,30,103,72,96,2,2,.323,.396,.544,.940
14AnthonyA SantanderSantanderRF14‌‌‌,BAL,155,595,91,140,25,2,44,102,58,129,2,0,.235,.308,.506,.814
15EugenioE SuárezSuárez3B15‌‌‌,AZ,158,571,90,146,28,2,30,101,49,176,2,1,.256,.319,.469,.788
16CalC RaleighRaleighC16‌‌‌,SEA,153,546,73,120,16,0,34,100,70,176,6,1,.220,.312,.436,.748
17TeoscarT HernándezHernándezLF17‌‌‌,LAD,154,589,84,160,32,2,33,99,53,188,12,3,.272,.339,.501,.840
18MattM OlsonOlson1B18‌‌‌,ATL,162,600,78,148,37,1,29,98,71,170,0,0,.247,.333,.457,.790
19AlecA BohmBohm3B19‌‌‌,PHI,143,554,62,155,44,2,15,97,40,86,5,2,.280,.332,.448,.780
19VinnieV PasquantinoPasquantino1B19‌‌‌,KC,131,496,64,130,30,2,19,97,40,71,1,0,.262,.315,.446,.761
21KetelK MarteMarte2B21‌‌‌,AZ,136,504,93,147,23,2,36,95,65,106,7,1,.292,.372,.560,.932
22WilliamW ContrerasContrerasC22‌‌‌,MIL,155,595,99,167,37,2,23,92,78,139,9,2,.281,.365,.466,.831
22GunnarG HendersonHendersonSS22‌‌‌,BAL,159,630,118,177,31,7,37,92,78,159,21,4,.281,.364,.529,.893
