PLAYERPLAYER,TEAMTEAM,WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.,LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.,ERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IPERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IP,GGamesGames in which the pitcher threw at least one pitch.GGamesGames in which the pitcher threw at least one pitch.,"GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.",CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.,SHOShutoutsWhen a pitcher throws a complete game and allows no runs.SHOShutoutsWhen a pitcher throws a complete game and allows no runs.,"SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.",SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.,"IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.",HHitsHits allowed by a pitcher.HHitsHits allowed by a pitcher.,RRunsRuns allowed by a pitcher.RRunsRuns allowed by a pitcher.,EREarned RunsEarned runs allowed by a pitcher.EREarned RunsEarned runs allowed by a pitcher.,HRHome RunsHome runs allowed by a pitcher.HRHome RunsHome runs allowed by a pitcher.,HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.,BBWalksWalks allowed by a pitcher.BBWalksWalks allowed by a pitcher.,caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.,WHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IPWHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IP,AVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/ABAVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/AB
67NickN LodoloLodoloP67‌‌‌,CIN,1,0,2.45,4,4,0,0,0,0,14.2,10,4,4,3,0,5,16,1.02,.196
67JesúsJ LuzardoLuzardoP67‌‌‌,PHI,1,1,9.49,4,4,0,0,0,0,12.1,14,14,13,5,1,3,16,1.38,.275
67FreddyF PeraltaPeraltaP67‌‌‌,MIL,1,2,8.56,4,4,0,0,0,0,13.2,17,13,13,4,0,5,16,1.61,.304
67FramberF ValdezValdezP67‌‌‌,HOU,2,0,3.45,5,5,0,0,0,0,15.2,12,8,6,2,1,10,16,1.40,.211
79GrahamG AshcraftAshcraftP79‌‌‌,CIN,0,3,5.51,6,5,0,0,0,0,16.1,16,10,10,1,0,9,15,1.53,.254
79CarlosC CarrascoCarrascoP79‌‌‌,NYY,1,0,1.69,5,4,0,0,0,0,16.0,8,3,3,2,4,7,15,0.94,.154
79BenB JoyceJoyceP79‌‌‌,LAA,1,0,2.25,8,0,0,0,0,1,8.0,5,2,2,0,2,4,15,1.13,.179
79MaxM KranickKranickP79‌‌‌,NYM,0,0,1.46,8,1,0,0,0,0,12.1,9,2,2,0,0,1,15,0.81,.205
79NickN MartinezMartinezP79‌‌‌,CIN,1,1,2.25,4,3,0,0,0,0,12.0,7,4,3,1,0,5,15,1.00,.171
79LuisL.L. OrtizOrtizP79‌‌‌,CLE,0,4,10.13,6,6,0,0,0,0,18.2,23,21,21,3,1,14,15,1.98,.299
79CadeC PovichPovichP79‌‌‌,BAL,2,1,3.07,4,4,0,0,0,0,14.2,9,5,5,1,0,4,15,0.89,.167
79MartínM PérezPérezP79‌‌‌,CWS,2,1,2.25,5,5,0,0,0,0,16.0,15,5,4,2,1,4,15,1.19,.254
79ElvinE RodriguezRodriguezP79‌‌‌,MIL,1,2,7.59,5,3,0,0,0,0,10.2,17,10,9,3,0,2,15,1.78,.370
79JoJoJ RomeroRomeroP79‌‌‌,STL,1,0,0.00,9,0,0,0,0,0,9.0,5,0,0,0,0,3,15,0.89,.167
79ChaseC SilsethSilsethP79‌‌‌,LAA,0,1,10.38,5,2,0,0,0,2,13.0,17,16,15,2,0,10,15,2.08,.309
79TomoyukiT SuganoSuganoP79‌‌‌,BAL,2,1,3.00,5,4,0,0,0,0,15.0,11,5,5,1,0,5,15,1.07,.204
79AlbertA SuárezSuárezP79‌‌‌,BAL,2,1,7.89,6,4,0,0,0,0,21.2,29,19,19,3,0,9,15,1.75,.330
79LoganL VanWeyVanWeyP79‌‌‌,HOU,0,0,1.32,11,1,0,0,1,1,13.2,10,2,2,0,0,5,15,1.10,.196
79RyanR WalkerWalkerP79‌‌‌,SF,0,0,4.15,9,0,0,0,1,2,8.2,10,4,4,0,0,2,15,1.38,.294
79CraigC YohoYohoP79‌‌‌,MIL,1,0,3.12,8,0,0,0,0,1,8.2,6,3,3,0,0,3,15,1.04,.188
95RyanR BoruckiBoruckiP95‌‌‌,PIT,2,0,0.93,10,0,0,0,0,2,9.2,5,2,1,1,0,5,14,1.03,.143
95SeanS BoyleBoyleP95‌‌‌,NYY,1,0,2.92,4,1,0,0,0,0,12.1,13,4,4,1,2,5,14,1.46,.277
95HuascarH BrazobánBrazobánP95‌‌‌,NYM,1,0,1.69,9,0,0,0,0,1,10.2,7,3,2,0,1,6,14,1.22,.184
95AroldisA ChapmanChapmanP95‌‌‌,BOS,1,0,2.45,8,0,0,0,0,0,7.1,3,2,2,0,0,5,14,1.09,.120
95NestorN CortesCortesP95‌‌‌,MIL,0,1,3.27,3,2,0,0,0,0,11.0,14,4,4,2,0,4,14,1.64,.304
95DaneD DunningDunningP95‌‌‌,TEX,1,1,8.18,5,1,0,0,0,0,11.0,17,10,10,4,0,4,14,1.91,.340
95RichardR FittsFittsP95‌‌‌,BOS,1,0,2.45,5,3,0,0,0,0,14.2,13,4,4,1,0,6,14,1.30,.236
95EmersonE HancockHancockP95‌‌‌,SEA,1,2,4.61,5,5,0,0,0,0,13.2,19,7,7,1,0,3,14,1.61,.322
95SeanS HjelleHjelleP95‌‌‌,SF,0,1,6.75,7,0,0,0,0,0,8.0,11,6,6,1,0,2,14,1.63,.324
95BenB LivelyLivelyP95‌‌‌,CLE,2,1,3.38,5,5,0,0,0,0,18.2,17,7,7,2,1,7,14,1.29,.246
95TylerT MahleMahleP95‌‌‌,TEX,3,1,3.71,5,5,0,0,0,0,17.0,14,7,7,3,0,5,14,1.12,.230
95BrandonB PfaadtPfaadtP95‌‌‌,AZ,2,0,4.80,5,4,0,0,0,0,15.0,18,8,8,1,0,5,14,1.53,.305
95TylerT PhillipsPhillipsP95‌‌‌,PHI,1,3,7.59,7,1,0,0,0,1,10.2,10,9,9,1,1,7,14,1.59,.238
95OrlandoO RibaltaRibaltaP95‌‌‌,WSH,0,1,1.88,9,0,0,0,0,1,14.1,8,4,3,1,0,4,14,0.84,.160
95LandenL RouppRouppP95‌‌‌,SF,1,0,3.75,4,4,0,0,0,0,12.0,8,5,5,1,2,1,14,0.75,.186
95JacksonJ RutledgeRutledgeP95‌‌‌,WSH,0,0,3.00,10,2,0,0,0,0,15.0,10,5,5,1,1,10,14,1.33,.189
95EduardoE SalazarSalazarP95‌‌‌,WSH,0,1,2.38,9,0,0,0,1,1,11.1,12,5,3,0,0,3,14,1.32,.267
95JPJ SearsSearsP95‌‌‌,ATH,1,2,3.98,6,6,0,0,0,0,20.1,20,9,9,2,0,9,14,1.43,.260
95JoséJ SuarezSuarezP95‌‌‌,ATL,0,2,6.75,7,2,0,0,0,1,12.0,14,10,9,3,0,6,14,1.67,.275
95HaydenH WesneskiWesneskiP95‌‌‌,HOU,0,0,3.72,4,2,0,0,0,0,9.2,7,5,4,1,0,7,14,1.45,.200
95YoshinobuY YamamotoYamamotoP95‌‌‌,LAD,1,0,4.15,4,4,0,0,0,0,13.0,15,6,6,2,0,3,14,1.38,.288
116ValenteV BellozoBellozoP116‌‌‌,MIA,0,2,9.45,5,2,0,0,0,0,13.1,19,14,14,5,0,5,13,1.80,.333
116SpencerS BivensBivensP116‌‌‌,SF,1,0,2.70,8,0,0,0,0,0,13.1,16,4,4,1,2,2,13,1.35,.291
116BenB BrownBrownP116‌‌‌,CHC,1,1,5.84,4,3,0,0,0,1,12.1,19,8,8,2,0,2,13,1.70,.345
116HunterH BrownBrownP116‌‌‌,HOU,1,1,5.25,4,4,0,0,0,0,12.0,13,7,7,0,1,8,13,1.75,.277
116EibersonE CastellanoCastellanoP116‌‌‌,MIN,0,0,7.59,7,0,0,0,1,2,10.2,9,10,9,2,1,10,13,1.78,.220
116AngelA ChivilliChivilliP116‌‌‌,COL,0,0,6.52,11,0,0,0,1,1,9.2,10,7,7,3,0,1,13,1.14,.250
116LuisL ContrerasContrerasP116‌‌‌,HOU,0,0,0.00,9,0,0,0,1,1,9.2,7,0,0,0,0,4,13,1.14,.194
116DeiviD GarcíaGarcíaP116‌‌‌,MIL,0,0,4.91,5,0,0,0,0,1,11.0,13,6,6,3,0,5,13,1.64,.289
116HoganH HarrisHarrisP116‌‌‌,ATH,0,0,0.71,9,1,0,0,0,0,12.2,4,1,1,0,1,12,13,1.26,.105
116DaysbelD HernándezHernándezP116‌‌‌,ATL,1,0,3.72,9,0,0,0,0,0,9.2,11,4,4,0,1,5,13,1.66,.275
116AdrianA HouserHouserP116‌‌‌,TEX,0,1,3.77,6,2,0,0,0,0,14.1,11,6,6,0,0,5,13,1.12,.216
116ShotaS ImanagaImanagaP116‌‌‌,CHC,1,0,5.73,3,3,0,0,0,0,11.0,9,7,7,3,2,2,13,1.00,.225
116BryceB JarvisJarvisP116‌‌‌,AZ,0,0,1.93,8,0,0,0,1,1,9.1,7,2,2,0,1,6,13,1.39,.206
116JacksonJ JobeJobeP116‌‌‌,DET,1,1,3.86,5,5,0,0,0,0,16.1,10,8,7,5,0,6,13,0.98,.175
116BradB KellerKellerP116‌‌‌,CHC,1,1,3.86,7,1,0,0,0,0,11.2,10,5,5,2,0,2,13,1.03,.233
116MitchM KellerKellerP116‌‌‌,PIT,1,1,2.40,5,5,0,0,0,0,15.0,11,5,4,1,0,7,13,1.20,.204
116MichaelM KingKingP116‌‌‌,SD,1,1,3.95,4,4,0,0,0,0,13.2,7,6,6,2,1,7,13,1.02,.152
116KyleK LeahyLeahyP116‌‌‌,STL,1,0,0.00,7,0,0,0,1,1,11.0,7,0,0,0,2,1,13,0.73,.179
116JustinJ MartinezMartinezP116‌‌‌,AZ,1,1,6.23,10,0,0,0,0,0,8.2,7,6,6,0,1,3,13,1.15,.226
