PLAYERPLAYER,TEAMTEAM,WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.,LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.,ERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IPERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IP,GGamesGames in which the pitcher threw at least one pitch.GGamesGames in which the pitcher threw at least one pitch.,"GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.",CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.,SHOShutoutsWhen a pitcher throws a complete game and allows no runs.SHOShutoutsWhen a pitcher throws a complete game and allows no runs.,"SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.",SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.,"IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.",HHitsHits allowed by a pitcher.HHitsHits allowed by a pitcher.,RRunsRuns allowed by a pitcher.RRunsRuns allowed by a pitcher.,EREarned RunsEarned runs allowed by a pitcher.EREarned RunsEarned runs allowed by a pitcher.,HRHome RunsHome runs allowed by a pitcher.HRHome RunsHome runs allowed by a pitcher.,HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.,BBWalksWalks allowed by a pitcher.BBWalksWalks allowed by a pitcher.,caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.,WHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IPWHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IP,AVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/ABAVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/AB
147FraserF EllardEllardP147‌‌‌,CWS,0,1,4.15,9,0,0,0,0,1,8.2,7,5,4,2,1,7,12,1.62,.219
147LucasL ErcegErcegP147‌‌‌,KC,0,1,6.00,9,0,0,0,0,0,9.0,11,6,6,0,0,5,12,1.78,.289
147BaileyB FalterFalterP147‌‌‌,PIT,0,1,5.25,4,4,0,0,0,0,12.0,12,8,7,0,0,4,12,1.33,.250
147ErickE FeddeFeddeP147‌‌‌,STL,1,2,3.72,6,6,0,0,0,0,19.1,18,9,8,4,0,6,12,1.24,.240
147Jose A.J FerrerFerrerP147‌‌‌,WSH,0,0,0.00,10,0,0,0,0,0,8.1,4,0,0,0,0,2,12,0.72,.129
147MaxM FriedFriedP147‌‌‌,NYY,1,0,3.38,4,4,0,0,0,0,16.0,9,6,6,2,1,4,12,0.81,.161
147MichaelM FulmerFulmerP147‌‌‌,BOS,0,0,0.79,5,0,0,0,0,0,11.1,10,3,1,1,0,3,12,1.15,.233
147IanI GibautGibautP147‌‌‌,CIN,2,0,4.09,11,0,0,0,0,1,11.0,13,5,5,2,1,3,12,1.45,.295
147GeoffG HartliebHartliebP147‌‌‌,NYY,0,0,2.79,9,0,0,0,1,3,9.2,5,3,3,1,0,6,12,1.14,.152
147AndrewA HoffmannHoffmannP147‌‌‌,KC,1,0,5.87,6,0,0,0,0,0,7.2,10,5,5,2,0,1,12,1.43,.313
147GrantG HolmesHolmesP147‌‌‌,ATL,0,1,1.76,4,2,0,0,0,0,15.1,9,3,3,2,2,7,12,1.04,.170
147AlekA JacobJacobP147‌‌‌,SD,0,0,3.00,9,0,0,0,0,1,9.0,6,3,3,1,1,3,12,1.00,.188
147StephenS KolekKolekP147‌‌‌,SD,0,1,2.60,5,3,0,0,0,0,17.1,17,5,5,0,0,6,12,1.33,.258
147ZebbyZ MatthewsMatthewsP147‌‌‌,MIN,0,0,0.00,4,2,0,0,0,0,9.1,4,0,0,0,0,1,12,0.54,.129
147DustinD MayMayP147‌‌‌,LAD,2,0,3.60,4,4,0,0,0,0,10.0,4,5,4,1,3,6,12,1.00,.121
147MichaelM McGreevyMcGreevyP147‌‌‌,STL,0,0,1.08,5,4,0,0,0,0,16.2,10,2,2,2,1,0,12,0.60,.167
147DougD NikhazyNikhazyP147‌‌‌,CLE,1,1,7.27,4,1,0,0,0,0,8.2,5,7,7,1,1,6,12,1.27,.161
147DavidD PetersonPetersonP147‌‌‌,NYM,2,1,0.57,4,3,0,0,0,0,15.2,7,2,1,1,1,7,12,0.89,.130
147AndersonA PilarPilarP147‌‌‌,ATL,0,1,14.29,6,1,0,0,0,0,5.2,10,9,9,1,0,6,12,2.82,.370
147A.J.A PukPukP147‌‌‌,AZ,0,0,1.13,8,0,0,0,0,1,8.0,5,1,1,1,0,3,12,1.00,.172
147TannerT RaineyRaineyP147‌‌‌,PIT,2,0,1.13,8,0,0,0,1,1,8.0,2,1,1,1,0,2,12,0.50,.077
147EricE ReyzelmanReyzelmanP147‌‌‌,NYY,0,0,14.29,7,0,0,0,0,0,5.2,8,9,9,0,0,3,12,1.94,.320
147EduardoE RodriguezRodriguezP147‌‌‌,AZ,0,1,2.70,3,3,0,0,0,0,10.0,7,3,3,0,0,2,12,0.90,.200
147ColeC SandsSandsP147‌‌‌,MIN,0,0,4.05,7,0,0,0,0,0,6.2,5,3,3,0,0,4,12,1.35,.217
147PaulP SewaldSewaldP147‌‌‌,CLE,0,1,4.91,8,0,0,0,1,2,7.1,8,4,4,1,2,3,12,1.50,.286
147JoshJ SimpsonSimpsonP147‌‌‌,MIA,0,0,4.82,6,0,0,0,0,0,9.1,5,5,5,1,1,4,12,0.96,.167
147JamesonJ TaillonTaillonP147‌‌‌,CHC,0,1,6.75,3,3,0,0,0,0,10.2,13,8,8,5,0,2,12,1.41,.289
147CalebC ThielbarThielbarP147‌‌‌,CHC,0,0,5.14,7,0,0,0,0,0,7.0,10,4,4,2,0,3,12,1.86,.323
147JoeyJ WentzWentzP147‌‌‌,PIT,0,0,2.08,8,0,0,0,0,0,8.2,9,5,2,0,0,3,12,1.38,.257
187DanD AltavillaAltavillaP187‌‌‌,CWS,0,1,2.79,10,0,0,0,0,0,9.2,4,3,3,2,2,4,11,0.83,.121
187ShawnS ArmstrongArmstrongP187‌‌‌,TEX,0,0,4.70,6,1,0,0,0,1,7.2,10,6,4,2,0,2,11,1.57,.313
187FélixF BautistaBautistaP187‌‌‌,BAL,0,0,6.75,6,0,0,0,0,0,5.1,6,4,4,1,0,4,11,1.88,.286
187CamC BooserBooserP187‌‌‌,CWS,0,0,0.00,9,0,0,0,1,1,8.0,6,0,0,0,0,4,11,1.25,.200
187JeffJ BrighamBrighamP187‌‌‌,AZ,2,0,5.59,8,1,0,0,0,0,9.2,8,6,6,2,0,6,11,1.45,.229
187WalkerW BuehlerBuehlerP187‌‌‌,BOS,2,0,1.80,3,3,0,0,0,0,10.0,7,3,2,0,2,1,11,0.80,.189
187DiegoD CastilloCastilloP187‌‌‌,COL,0,0,4.50,10,0,0,0,0,0,10.0,7,5,5,1,1,11,11,1.80,.206
187LuisL CastilloCastilloP187‌‌‌,SEA,2,0,3.00,5,5,0,0,0,0,18.0,20,7,6,3,2,5,11,1.39,.290
187EmmanuelE ClaseClaseP187‌‌‌,CLE,1,0,5.68,7,0,0,0,0,1,6.1,10,5,4,0,1,2,11,1.89,.370
187FernandoF CruzCruzP187‌‌‌,NYY,0,2,9.95,7,0,0,0,0,0,6.1,10,9,7,3,1,2,11,1.89,.313
187WillW DionDionP187‌‌‌,CLE,0,0,4.50,3,0,0,0,0,0,6.0,8,3,3,0,0,0,11,1.33,.320
187SeranthonyS DomínguezDomínguezP187‌‌‌,BAL,0,1,19.50,6,0,0,0,0,2,6.0,15,13,13,5,0,5,11,3.33,.455
187JackJ DreyerDreyerP187‌‌‌,LAD,0,0,2.57,7,0,0,0,1,1,7.0,4,2,2,2,0,1,11,0.71,.160
187DavidD FestaFestaP187‌‌‌,MIN,0,1,11.91,4,3,0,0,0,0,11.1,19,15,15,2,0,3,11,1.94,.380
187MasonM FluhartyFluhartyP187‌‌‌,TOR,0,0,1.29,8,0,0,0,0,0,7.0,5,1,1,0,3,1,11,0.86,.217
187JordanJ HicksHicksP187‌‌‌,SF,0,1,5.19,5,5,0,0,0,0,17.1,18,10,10,3,1,5,11,1.33,.261
187JadenK HillHillP187‌‌‌,COL,0,1,5.79,9,0,0,0,1,2,9.1,6,6,6,1,2,4,11,1.07,.188
187ColinC HoldermanHoldermanP187‌‌‌,PIT,0,1,1.17,8,0,0,0,0,0,7.2,6,1,1,0,0,0,11,0.78,.207
187JamesJ KarinchakKarinchakP187‌‌‌,CWS,0,2,9.00,8,0,0,0,0,1,8.0,9,8,8,2,0,9,11,2.25,.281
187JordanJ LeasureLeasureP187‌‌‌,CWS,1,0,4.50,8,1,0,0,0,0,8.0,6,4,4,1,2,1,11,0.88,.200
187JoséJ LeclercLeclercP187‌‌‌,ATH,1,0,6.23,9,0,0,0,0,0,8.2,10,7,6,2,0,4,11,1.62,.286
187RonR MarinaccioMarinaccioP187‌‌‌,SD,0,0,7.59,9,0,0,0,0,1,10.2,14,9,9,2,3,5,11,1.78,.311
187StevenS MatzMatzP187‌‌‌,STL,2,0,2.29,5,5,0,0,0,0,19.2,13,5,5,1,1,6,11,0.97,.188
187ScottS McGoughMcGoughP187‌‌‌,AZ,0,0,7.36,7,0,0,0,0,0,7.1,10,6,6,0,0,3,11,1.77,.323
187TristonT McKenzieMcKenzieP187‌‌‌,CLE,0,1,6.92,6,3,0,0,0,0,13.0,15,10,10,3,1,8,11,1.77,.294
187MaxM MeyerMeyerP187‌‌‌,MIA,1,2,3.21,5,5,0,0,0,0,14.0,13,6,5,1,0,2,11,1.07,.245
187MilesM MikolasMikolasP187‌‌‌,STL,0,1,3.66,5,5,0,0,0,0,19.2,20,8,8,1,1,5,11,1.27,.274
187ShelbyS MillerMillerP187‌‌‌,AZ,0,0,2.57,7,0,0,0,0,0,7.0,6,2,2,0,0,0,11,0.86,.222
187MichelM OtañezOtañezP187‌‌‌,ATH,0,0,3.38,6,0,0,0,0,0,5.1,3,2,2,0,1,6,11,1.69,.167
187YarielY RodríguezRodriguezP187‌‌‌,TOR,1,0,9.31,4,3,0,0,0,1,9.2,13,10,10,4,0,7,11,2.07,.325
187JaredJ ShusterShusterP187‌‌‌,CWS,0,1,9.00,5,1,0,0,0,0,9.0,17,9,9,2,0,3,11,2.22,.425
187ShaneS SmithSmithP187‌‌‌,CWS,1,1,3.38,4,4,0,0,0,0,10.2,5,4,4,0,2,4,11,0.84,.143
187CarsonC SpiersSpiersP187‌‌‌,CIN,1,1,2.57,4,1,0,0,0,0,14.0,9,4,4,2,1,4,11,0.93,.188
187MarcusM StromanStromanP187‌‌‌,NYY,2,1,4.73,5,5,0,0,0,0,13.1,15,7,7,5,2,4,11,1.43,.278
187ColeC SulserSulserP187‌‌‌,TB,0,0,5.63,7,0,0,0,0,0,8.0,8,5,5,1,0,6,11,1.75,.258
187ConnorC ThomasThomasP187‌‌‌,MIL,0,0,2.38,6,1,0,0,0,0,11.1,9,4,3,1,0,5,11,1.24,.214
187RyanR WeathersWeathersP187‌‌‌,MIA,1,0,0.79,4,4,0,0,0,0,11.1,3,2,1,0,0,8,11,0.97,.091
187GregG WeissertWeissertP187‌‌‌,BOS,0,1,6.23,8,0,0,0,0,1,8.2,6,6,6,0,2,6,11,1.38,.214
187GarrettG WhitlockWhitlockP187‌‌‌,BOS,0,0,4.76,4,0,0,0,0,0,5.2,7,4,3,0,0,0,11,1.24,.280
187NathanN WilesWilesP187‌‌‌,TB,0,1,7.11,8,0,0,0,2,3,6.1,10,5,5,0,0,2,11,1.89,.345
187BryseB WilsonWilsonP187‌‌‌,CWS,0,0,3.75,5,2,0,0,0,0,12.0,13,5,5,0,0,6,11,1.58,.283
228SandyS AlcantaraAlcantaraP228‌‌‌,MIA,0,0,0.00,5,5,0,0,0,0,12.1,9,2,0,0,0,3,10,0.97,.220
228JasonJ AlexanderAlexanderP228‌‌‌,ATH,0,0,5.59,5,0,0,0,0,1,9.2,13,7,6,1,1,0,10,1.34,.310
228GrantG AndersonAndersonP228‌‌‌,MIL,0,0,8.10,7,0,0,0,0,0,6.2,7,6,6,2,1,7,10,2.10,.259
228IanI AndersonAndersonP228‌‌‌,ATL,2,2,2.25,6,4,0,0,0,0,20.0,8,5,5,0,1,20,10,1.40,.119
228DavidD BednarBednarP228‌‌‌,PIT,0,0,10.13,9,0,0,0,0,1,8.0,11,10,9,1,0,3,10,1.75,.324
228AnthonyA BenderBenderP228‌‌‌,MIA,1,1,5.19,8,0,0,0,0,2,8.2,6,5,5,2,0,2,10,0.92,.194
228CooperC CriswellCriswellP228‌‌‌,BOS,1,3,4.66,5,2,0,0,0,0,9.2,13,7,5,3,2,3,10,1.66,.317
228JohnJ CurtissCurtissP228‌‌‌,AZ,0,2,6.52,9,2,0,0,0,0,9.2,12,7,7,2,1,3,10,1.55,.300
228DietrichD EnnsEnnsP228‌‌‌,DET,0,1,3.00,4,0,0,0,1,2,9.0,5,3,3,1,1,3,10,0.89,.161
228JoeyJ EstesEstesP228‌‌‌,ATH,3,1,7.56,5,5,0,0,0,0,16.2,24,14,14,3,1,3,10,1.62,.338
228TylerT FergusonFergusonP228‌‌‌,ATH,0,1,3.72,9,0,0,0,0,0,9.2,11,5,4,1,1,3,10,1.45,.275
228JacksonJ FerrisFerrisP228‌‌‌,LAD,0,0,4.05,3,1,0,0,0,0,6.2,5,3,3,2,0,3,10,1.20,.200
228JasonJ FoleyFoleyP228‌‌‌,DET,0,1,6.14,8,0,0,0,0,0,7.1,10,5,5,1,1,0,10,1.36,.313
228ZacZ GallenGallenP228‌‌‌,AZ,2,0,2.89,4,4,0,0,0,0,9.1,8,3,3,1,0,5,10,1.39,.229
228GersonG GarabitoGarabitoP228‌‌‌,TEX,1,0,5.56,7,0,0,0,0,1,11.1,14,8,7,2,0,4,10,1.59,.304
228YimiY GarcíaGarcíaP228‌‌‌,TOR,1,0,2.57,7,0,0,0,0,0,7.0,4,2,2,1,1,0,10,0.57,.160
228LuisL GuerreroGuerreroP228‌‌‌,BOS,0,0,9.53,7,0,0,0,0,0,5.2,4,6,6,0,3,9,10,2.29,.200
228SethS HalvorsenHalvorsenP228‌‌‌,COL,1,2,6.75,10,0,0,0,0,1,9.1,9,7,7,1,0,5,10,1.50,.250
228HunterH HarveyHarveyP228‌‌‌,KC,2,2,4.00,9,0,0,0,0,0,9.0,8,4,4,1,0,1,10,1.00,.235
228LoganL HendersonHendersonP228‌‌‌,MIL,0,0,4.15,4,1,0,0,1,1,8.2,7,4,4,1,0,5,10,1.38,.212
228PorterP HodgeHodgeP228‌‌‌,CHC,0,1,5.14,7,0,0,0,0,0,7.0,6,4,4,0,1,5,10,1.57,.231
228GriffinG JaxJaxP228‌‌‌,MIN,1,0,0.00,6,0,0,0,0,0,5.1,5,0,0,0,0,1,10,1.13,.250
228RyanR JohnsonJohnsonP228‌‌‌,LAA,1,0,3.97,6,1,0,0,0,0,11.1,11,5,5,2,1,1,10,1.06,.256
