PLAYER,TEAM,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Jamal Bey,NYK,3,15.0,2.7,0.7,4.7,0.143,0.0,2.7,0.0,1.3,1.7,0.8,0.0,0.3,0.3,2.0,1.0,0.0,0.7,1.0
Kylor Kelley,ORL,5,15.8,2.6,1.2,2.6,0.462,0.0,0.0,0.0,0.2,0.6,0.333,2.0,3.4,5.4,0.4,0.2,1.2,1.4,2.4
Colin Castleton,TOR,5,11.5,2.6,1.2,3.6,0.333,0.2,0.6,0.333,0.0,0.6,0.0,2.0,2.0,4.0,0.2,0.6,0.4,1.8,2.2
Jalen Slawson,PHL,4,18.7,2.5,0.3,2.8,0.091,0.0,1.3,0.0,2.0,2.5,0.8,1.0,4.5,5.5,2.0,1.5,2.0,2.8,2.0
Isaiah Mobley,GOS,4,16.8,2.5,0.5,5.0,0.1,0.0,2.0,0.0,1.5,2.3,0.667,1.3,3.3,4.5,2.3,0.0,0.3,2.8,2.5
Dylan Cardwell,SAC,6,10.9,2.3,1.0,1.5,0.667,0.0,0.0,0.0,0.3,0.7,0.5,1.3,2.0,3.3,0.5,0.5,0.7,0.8,2.0
Keyontae Johnson,DEN,4,11.4,2.3,0.8,2.5,0.3,0.0,0.5,0.0,0.8,1.0,0.75,0.5,1.8,2.3,1.0,0.5,0.0,0.5,1.8
Jamarion Sharp,DAL,5,16.1,2.2,1.0,1.4,0.714,0.0,0.0,0.0,0.2,0.8,0.25,1.4,2.6,4.0,0.0,0.2,1.8,0.8,1.4
Liam Robbins,WAS,5,12.4,2.2,0.8,3.6,0.222,0.6,2.6,0.231,0.0,0.0,0.0,0.4,1.8,2.2,1.0,0.0,0.6,1.0,3.2
Marcus Williams,MIA,4,14.8,2.0,0.8,4.3,0.176,0.0,2.0,0.0,0.5,1.0,0.5,0.8,2.0,2.8,3.0,0.8,0.8,2.3,1.5
Steve Settle,MIA,3,17.8,2.0,0.7,3.0,0.222,0.3,1.0,0.333,0.3,1.0,0.333,0.0,2.3,2.3,0.7,2.0,1.3,1.3,2.0
Bez Mbeng,GOS,1,21.2,2.0,1.0,2.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,0.0,2.0,3.0
Kadary Richmond,WAS,2,18.4,2.0,1.0,3.5,0.286,0.0,0.5,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.5,0.5,0.0,2.0,2.0
Landers Nolley II,PHL,1,5.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Quincy Guerrier,TOR,2,3.5,2.0,0.5,0.5,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
Jon Elmore,SAC,1,11.5,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Lance Terry,ORL,2,4.0,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5
Ante Brzovic,MEM,1,7.5,2.0,1.0,3.0,0.333,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
Chibuzo Agbo,SAS,4,8.8,2.0,0.8,3.0,0.25,0.5,2.3,0.222,0.0,0.0,0.0,0.3,0.8,1.0,0.0,0.0,0.0,0.0,1.3
Jabri Abdur-Rahim,SAC,1,7.1,2.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,3.0,0.667,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
A.J. Hoggard,NOP,3,10.0,2.0,0.7,2.3,0.286,0.0,1.0,0.0,0.7,1.0,0.667,0.3,1.3,1.7,0.3,0.0,0.0,1.3,1.7
"Ace Baldwin, Jr.",MEM,1,15.7,2.0,1.0,9.0,0.111,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,3.0,2.0
Mitch Mascari,PHX,3,10.9,1.7,0.3,2.0,0.167,0.3,2.0,0.167,0.7,0.7,1.0,0.3,1.7,2.0,2.0,0.7,0.0,1.3,1.0
Ty Johnson,LAL,3,11.4,1.7,0.7,4.3,0.154,0.3,1.7,0.2,0.0,0.0,0.0,0.3,2.3,2.7,1.3,0.0,0.7,0.0,1.3
Jarkel Joiner,TOR,3,3.1,1.7,0.7,1.3,0.5,0.0,0.0,0.0,0.3,1.0,0.333,0.0,0.7,0.7,0.7,0.0,0.0,0.0,0.7
Aaron Scott,BOS,2,11.8,1.5,0.5,3.5,0.143,0.5,3.5,0.143,0.0,0.0,0.0,3.5,1.0,4.5,1.5,1.0,0.5,1.5,0.5
John Butler,MIL,2,10.4,1.5,0.5,1.5,0.333,0.5,0.5,1.0,0.0,0.0,0.0,0.5,2.0,2.5,0.0,0.0,0.5,0.5,2.0
Andrew Funk,PHL,4,10.7,1.5,0.5,2.0,0.25,0.5,2.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.3
Ibrahima Diallo,SAS,5,9.8,1.4,0.2,1.8,0.111,0.0,0.0,0.0,1.0,1.6,0.625,1.2,2.6,3.8,0.6,0.0,1.2,1.4,1.6
John Poulakidas,LAC,5,12.1,1.4,0.6,4.6,0.13,0.2,3.0,0.067,0.0,0.2,0.0,0.8,1.4,2.2,0.8,0.4,0.2,0.4,1.2
Cliff Omoruyi,TOR,3,3.6,1.3,0.3,0.7,0.5,0.0,0.0,0.0,0.7,2.0,0.333,0.0,1.0,1.0,0.3,0.3,0.7,0.0,0.3
Nate Santos,ORL,4,10.4,1.3,0.5,3.3,0.154,0.3,1.5,0.167,0.0,0.0,0.0,0.3,1.3,1.5,0.3,0.8,0.3,0.8,1.0
Warren Kidd,ORL,2,4.0,1.0,0.5,1.5,0.333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,2.5,0.5,0.0,0.0,0.0,0.0
Steven Crowl,UTA,2,10.0,1.0,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.5,2.0,2.5,0.5,0.5,0.0,0.5,0.5
Lazar Stefanovic,ORL,2,4.4,1.0,0.5,2.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.5,1.5,0.0,1.0,0.0,0.0,0.0
Kerwin Walton,OKC,5,3.7,1.0,0.4,0.8,0.5,0.2,0.6,0.333,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2
Izaiah Brockington,LAC,2,9.8,1.0,0.5,2.5,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0.5
C.J. Fulton,MIN,2,10.3,1.0,0.5,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.0,2.0,0.0
Mady Sissoko,OKC,3,5.1,1.0,0.3,1.0,0.333,0.0,0.0,0.0,0.3,0.7,0.5,1.0,0.7,1.7,0.0,0.3,0.0,0.7,1.7
Sincere Carry,DET,2,10.8,1.0,0.5,1.5,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.5,1.0,0.0,2.5,0.0
Tyreke Key,TOR,3,3.5,1.0,0.3,1.0,0.333,0.3,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,1.0
Efton Reid III,MEM,2,5.9,1.0,0.0,1.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0
Des Watson,MIN,1,5.9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0
Lance Ware,NYK,4,9.7,0.8,0.3,1.5,0.167,0.0,0.0,0.0,0.3,2.0,0.125,1.3,1.5,2.8,1.0,0.3,0.3,0.3,1.8
Trey Jemison,LAL,3,12.1,0.7,0.3,1.0,0.333,0.0,0.0,0.0,0.0,0.7,0.0,1.3,1.7,3.0,1.0,0.3,0.7,1.3,2.7
Tyson Degenhart,TOR,3,1.9,0.7,0.3,0.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,1.0
James Banks,CHA,3,4.5,0.7,0.3,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,1.0,0.0,0.0,0.0,1.0,0.7
Samuel Mennenga,LAL,1,25.7,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,0.0,0.0,1.0,3.0
Cesare Edwards,OKC,4,4.1,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3,1.0,1.3,0.3,0.0,0.5,0.0,0.3
"Dajuan Harris, Jr.",CHA,2,3.7,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.5,0.0,0.0
Isaac Nogues,SAC,1,10.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
Zeke Mayo,WAS,2,8.5,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0
Patrick McCaffery,SAC,1,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
J'Wan Roberts,UTA,2,4.9,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Jaden Springer,UTA,1,16.8,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0
Aniwaniwa Tait-Jones,TOR,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Kino Lilly, Jr.",SAS,1,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Jamiya Neal,CHA,1,4.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Alex Reese,MEM,1,7.1,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Nate Mensah,SAS,1,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,4.0
Keeshawn Barthelemy,POR,2,4.6,0.0,0.0,1.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
David Joplin,MIL,1,15.7,0.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0
Noah Farrakhan,SAS,2,5.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Jalen Hood-Schifino,PHL,2,14.8,0.0,0.0,2.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.5,0.0,2.0,3.5
