PLAYER,TEAM,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
Hason Ward,OKC,4,11.8,5.0,2.5,3.5,0.714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,2.8,1.5,0.8,0.8,0.8,2.0
Jaylan Gainey,UTA,2,20.2,5.0,1.5,3.5,0.429,0.0,0.0,0.0,2.0,3.0,0.667,4.0,3.5,7.5,0.5,1.0,1.5,1.0,1.5
Josiah James,IND,3,17.1,5.0,1.7,6.0,0.278,0.7,2.7,0.25,1.0,2.0,0.5,1.0,1.3,2.3,2.3,1.7,0.3,1.0,0.7
Ibou Badji,DEN,2,15.2,5.0,2.5,4.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.5,4.0,1.0,0.5,0.0,0.0,0.5
Marques Bolden,GOS,3,11.5,5.0,1.7,3.7,0.455,0.0,1.0,0.0,1.7,1.7,1.0,1.3,1.7,3.0,0.0,0.0,1.3,1.0,1.3
Sean Pedulla,POR,5,12.3,5.0,1.8,5.6,0.321,1.2,3.0,0.4,0.2,0.4,0.5,0.0,1.8,1.8,2.0,1.0,0.0,1.8,2.8
Deivon Smith,ATL,2,14.2,5.0,1.5,2.5,0.6,0.0,0.0,0.0,2.0,2.0,1.0,0.0,2.5,2.5,2.5,0.0,0.0,1.5,2.0
L.J. Cryer,GOS,1,17.1,5.0,2.0,6.0,0.333,1.0,4.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,1.0,3.0
Reyne Smith,WAS,1,18.0,5.0,1.0,6.0,0.167,1.0,5.0,0.2,2.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Martez Brown,MIN,1,8.7,5.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,3.0,3.0
Trey Townsend,NOP,1,15.7,5.0,1.0,4.0,0.25,1.0,2.0,0.5,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
Keisei Tominaga,IND,3,11.1,5.0,1.7,5.7,0.294,0.7,3.7,0.182,1.0,1.3,0.75,0.0,0.3,0.3,0.0,0.0,0.3,0.0,1.0
Terry Roberts,BRK,1,18.0,5.0,2.0,3.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,2.0
Markquis Nowell,MIL,5,19.7,4.8,1.6,5.8,0.276,0.8,4.0,0.2,0.8,1.4,0.571,0.4,1.6,2.0,5.8,0.8,0.6,2.6,2.2
Kyle Mangas,SAS,5,16.9,4.8,1.6,4.8,0.333,1.0,3.4,0.294,0.6,0.8,0.75,0.2,2.0,2.2,1.4,0.4,0.0,1.0,1.2
Hunter Maldonado,IND,4,16.0,4.8,1.8,4.3,0.412,0.8,2.8,0.273,0.5,0.8,0.667,0.8,1.0,1.8,0.8,1.8,0.3,0.5,1.5
Gabe McGlothan,DAL,4,18.7,4.8,1.8,5.5,0.318,1.0,4.0,0.25,0.3,0.5,0.5,1.0,3.8,4.8,0.3,0.5,0.0,1.0,1.0
