PLAYERPLAYER,TEAMTEAM,WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.WWinsCredited to the pitcher whose team assumes a lead while such pitcher is in the game and does not relinquish such lead unless otherwise assigned by the official scorer.,LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.LLossesCredited to the pitcher in the game when his team relinquishes — and never regains — the lead.,ERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IPERAEarned Run AverageThe average number of earned runs a pitcher allows per 9 innings.(ERx9)/IP,GGamesGames in which the pitcher threw at least one pitch.GGamesGames in which the pitcher threw at least one pitch.,"GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.GSGames StartedGames started by the pitcher, as defined by who threw the first pitch for their team.",CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.CGComplete GamesWhen a pitcher starts and finishes the entire game without relief.,SHOShutoutsWhen a pitcher throws a complete game and allows no runs.SHOShutoutsWhen a pitcher throws a complete game and allows no runs.,"SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.SVSavesAwarded to the relief pitcher who finishes a game for the winning team, under certain circumstances.",SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.SVOSave OpportunitiesAppearances in which a pitcher enters the game with a chance to earn a save.,"IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.IPInnings PitchedNumber of putouts recorded while the pitcher was on the mound, divided by three, with .1 representing 1/3 of an inning and .2 representing 2/3.",HHitsHits allowed by a pitcher.HHitsHits allowed by a pitcher.,RRunsRuns allowed by a pitcher.RRunsRuns allowed by a pitcher.,EREarned RunsEarned runs allowed by a pitcher.EREarned RunsEarned runs allowed by a pitcher.,HRHome RunsHome runs allowed by a pitcher.HRHome RunsHome runs allowed by a pitcher.,HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.HBHit BatsmenWhen a batter is struck by a pitched ball which he is not attempting to hit.,BBWalksWalks allowed by a pitcher.BBWalksWalks allowed by a pitcher.,caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.caret-upcaret-downSOStrikeoutsWhen a pitcher throws any combination of three swinging or looking strikes to a hitter.,WHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IPWHIPWalks and Hits Per Inning PitchedThe ratio of walks plus hits to innings pitched.(W+H)/IP,AVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/ABAVGBatting Average AgainstThe rate of hits per at bat against a pitcher.H/AB
22LandonL KnackKnackP22‌‌‌,LAD,1,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,0,3,0.50,.143
22BenB LivelyLivelyP22‌‌‌,CLE,0,0,5.40,1,1,0,0,0,0,5.0,4,3,3,1,0,0,3,0.80,.211
22PabloP LópezLópezP22‌‌‌,MIN,0,1,3.60,1,1,0,0,0,0,5.0,8,4,2,1,0,0,3,1.60,.364
22PennP MurfeeMurfeeP22‌‌‌,CWS,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,3,0.00,.000
22ColeC RagansRagansP22‌‌‌,KC,0,0,5.40,1,1,0,0,0,0,5.0,5,3,3,0,0,2,3,1.40,.294
22RokiR SasakiSasakiP22‌‌‌,LAD,0,0,3.00,1,1,0,0,0,0,3.0,1,1,1,0,0,5,3,2.00,.111
33JoséJ AlvaradoAlvaradoP33‌‌‌,PHI,1,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
33LakeL BacharBacharP33‌‌‌,MIA,0,0,13.50,1,0,0,0,0,0,1.1,1,2,2,1,1,0,2,0.75,.200
33ScottS BarlowBarlowP33‌‌‌,CIN,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
33HuascarH BrazobánBrazobánP33‌‌‌,NYM,0,0,0.00,1,0,0,0,0,0,2.1,1,0,0,0,0,1,2,0.86,.125
33JohnJ BrebbiaBrebbiaP33‌‌‌,DET,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
33BenB CaspariusCaspariusP33‌‌‌,LAD,0,0,0.00,2,0,0,0,0,0,2.0,1,0,0,0,0,1,2,1.00,.143
33ZachZ EflinEflinP33‌‌‌,BAL,1,0,3.00,1,1,0,0,0,0,6.0,2,2,2,1,0,1,2,0.50,.100
33LuisL GarcíaGarcíaP33‌‌‌,LAD,0,0,9.00,1,0,0,0,0,0,1.0,2,1,1,0,0,1,2,3.00,.400
33IanI GibautGibautP33‌‌‌,CIN,0,1,54.00,1,0,0,0,0,1,0.2,3,4,4,1,0,1,2,6.00,.600
33JoshJ HaderHaderP33‌‌‌,HOU,0,0,9.00,1,0,0,0,1,1,1.0,2,1,1,0,0,1,2,3.00,.500
33TimT HerrinHerrinP33‌‌‌,CLE,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
33GrantG HolmesHolmesP33‌‌‌,ATL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
33ShotaS ImanagaImanagaP33‌‌‌,CHC,0,0,0.00,1,1,0,0,0,0,4.0,0,0,0,0,0,4,2,1.00,.000
33MarkM Leiter Jr.LeiterP33‌‌‌,NYY,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
33ChrisC MartinMartinP33‌‌‌,TEX,0,0,0.00,1,0,0,0,0,0,1.1,1,0,0,0,0,0,2,0.75,.200
33YukiY MatsuiMatsuiP33‌‌‌,SD,0,0,0.00,1,0,0,0,0,0,1.2,0,0,0,0,0,0,2,0.00,.000
33EmilioE PagánPagánP33‌‌‌,CIN,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
33NateN PearsonPearsonP33‌‌‌,CHC,0,0,9.00,1,0,0,0,0,0,1.0,1,1,1,1,0,0,2,1.00,.250
33RandyR RodríguezRodríguezP33‌‌‌,SF,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
33TonyT SantillanSantillanP33‌‌‌,CIN,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
33TannerTan ScottScottP33‌‌‌,LAD,0,0,4.50,2,0,0,0,1,1,2.0,1,1,1,0,0,0,2,0.50,.167
33TarikT SkubalSkubalP33‌‌‌,DET,0,1,7.20,1,1,0,0,0,0,5.0,6,4,4,2,0,1,2,1.40,.286
33CadeC SmithSmithP33‌‌‌,CLE,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,2,0.00,.000
33BlakeB SnellSnellP33‌‌‌,LAD,1,0,3.60,1,1,0,0,0,0,5.0,5,2,2,0,0,4,2,1.80,.263
33RobertR SuarezSuarezP33‌‌‌,SD,0,0,0.00,1,0,0,0,1,1,1.0,0,0,0,0,0,1,2,1.00,.000
33LukeL WeaverWeaverP33‌‌‌,NYY,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,2,1.00,.000
33DevinD WilliamsWilliamsP33‌‌‌,NYY,0,0,9.00,1,0,0,0,1,1,1.0,2,1,1,0,0,1,2,3.00,.500
33KirbyK YatesYatesP33‌‌‌,LAD,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,2,1.00,.250
61BryanB AbreuAbreuP61‌‌‌,HOU,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,3,1,3.00,.000
61JasonJ AdamAdamP61‌‌‌,SD,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
61TylerT AlexanderAlexanderP61‌‌‌,MIL,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,1.00,.333
61ShawnS ArmstrongArmstrongP61‌‌‌,TEX,0,0,0.00,1,0,0,0,0,0,0.2,0,0,0,0,0,0,1,0.00,.000
61BryanB BakerBakerP61‌‌‌,BAL,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,1.00,.333
61AnthonyA BandaBandaP61‌‌‌,LAD,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
61RyanR BoruckiBoruckiP61‌‌‌,PIT,0,0,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0.00,.000
61RyanR BrasierBrasierP61‌‌‌,CHC,0,0,9.00,1,0,0,0,0,0,1.0,2,1,1,0,0,1,1,3.00,.400
61BeauB BrieskeBrieskeP61‌‌‌,DET,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
61AroldisA ChapmanChapmanP61‌‌‌,BOS,1,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,1.00,.250
61EmmanuelE ClaseClaseP61‌‌‌,CLE,1,0,9.00,1,0,0,0,0,1,1.0,3,1,1,0,0,0,1,3.00,.600
61MikeM ClevingerClevingerP61‌‌‌,CWS,0,0,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,1,1,3.00,.000
61JackJ DreyerDreyerP61‌‌‌,LAD,0,0,9.00,1,0,0,0,0,0,1.0,2,1,1,0,0,0,1,2.00,.400
61JeremiahJ EstradaEstradaP61‌‌‌,SD,0,0,0.00,1,0,0,0,0,0,1.1,0,0,0,0,0,1,1,0.75,.000
61CarlosC EstévezEstévezP61‌‌‌,KC,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
61CalebC FergusonFergusonP61‌‌‌,PIT,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,1,0,1,0.00,.000
61KyleK FinneganFinneganP61‌‌‌,WSH,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,2,1,3.00,.250
61HunterH GaddisGaddisP61‌‌‌,CLE,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,1.00,.000
61ZacZ GallenGallenP61‌‌‌,AZ,0,0,0.00,1,1,0,0,0,0,0.1,0,0,0,0,0,0,1,0.00,.000
61ChadC GreenGreenP61‌‌‌,TOR,0,0,27.00,1,0,0,0,0,0,0.1,1,1,1,1,0,0,1,3.00,.500
61BrenanB HanifeeHanifeeP61‌‌‌,DET,0,0,9.00,1,0,0,0,0,0,1.0,1,1,1,1,0,0,1,1.00,.250
61HunterH HarveyHarveyP61‌‌‌,KC,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
61PorterP HodgeHodgeP61‌‌‌,CHC,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,1,1,1.00,.000
61ColinC HoldermanHoldermanP61‌‌‌,PIT,0,0,18.00,1,0,0,0,0,1,1.0,2,2,2,0,0,2,1,4.00,.400
61BryanB HudsonHudsonP61‌‌‌,MIL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,2,1,2.00,.000
61LukeL JacksonJacksonP61‌‌‌,TEX,0,1,81.00,1,0,0,0,0,0,0.1,2,3,3,1,0,1,1,9.00,.667
61AlekA JacobJacobP61‌‌‌,SD,0,0,9.00,1,0,0,0,0,0,1.0,3,1,1,1,0,0,1,3.00,.500
61GriffinG JaxJaxP61‌‌‌,MIN,0,0,13.50,1,0,0,0,0,0,0.2,1,1,1,1,0,1,1,3.00,.333
61RyanR JohnsonJohnsonP61‌‌‌,LAA,0,0,27.00,1,0,0,0,0,0,1.2,4,5,5,2,0,1,1,3.00,.444
61OrionO KerkeringKerkeringP61‌‌‌,PHI,0,0,0.00,1,0,0,0,0,0,1.0,2,0,0,0,0,0,1,2.00,.400
61RichardR LoveladyLoveladyP61‌‌‌,TOR,0,0,0.00,1,0,0,0,0,0,0.2,0,0,0,0,1,1,1,1.50,.000
61PhilP MatonMatonP61‌‌‌,STL,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,1.00,.250
61ErikE MillerMillerP61‌‌‌,SF,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
61SamS MollMollP61‌‌‌,CIN,0,0,0.00,1,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0.00,.000
61EliE MorganMorganP61‌‌‌,CHC,0,0,0.00,1,0,0,0,0,0,1.1,1,0,0,0,0,0,1,0.75,.200
61ColinC PochePocheP61‌‌‌,WSH,0,1,40.50,1,0,0,0,0,0,0.2,1,4,3,0,0,2,1,4.50,.333
61YarielY RodríguezRodriguezP61‌‌‌,TOR,0,0,27.00,1,0,0,0,0,0,1.0,3,3,3,2,0,1,1,4.00,.500
61JordanJ RomanoRomanoP61‌‌‌,PHI,0,0,18.00,1,0,0,0,0,1,1.0,1,2,2,0,1,1,1,2.00,.250
61ChrisC RoycroftRoycroftP61‌‌‌,STL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
61ColeC SandsSandsP61‌‌‌,MIN,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
61PaulP SewaldSewaldP61‌‌‌,CLE,0,0,0.00,1,0,0,0,1,1,1.0,0,0,0,0,0,0,1,0.00,.000
61LucasL SimsSimsP61‌‌‌,WSH,0,0,13.50,1,0,0,0,0,1,0.2,1,1,1,1,0,0,1,1.50,.333
61JustinJ SlatenSlatenP61‌‌‌,BOS,0,0,0.00,1,0,0,0,1,1,1.0,0,0,0,0,0,0,1,0.00,.000
61GeorgeG SorianoSorianoP61‌‌‌,MIA,0,0,0.00,1,0,0,0,0,0,2.0,0,0,0,0,1,2,1,1.00,.000
61MattM StrahmStrahmP61‌‌‌,PHI,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
61CalebC ThielbarThielbarP61‌‌‌,CHC,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,0,1,0.00,.000
61JesusJ TinocoTinocoP61‌‌‌,MIA,1,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,1,1,2.00,.250
61GarrettG WhitlockWhitlockP61‌‌‌,BOS,0,0,0.00,1,0,0,0,0,0,2.0,1,0,0,0,0,0,1,0.50,.143
61DannyD YoungYoungP61‌‌‌,NYM,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,0,1,1.00,.333
110KeeganK AkinAkinP110‌‌‌,BAL,0,0,0.00,1,0,0,0,0,0,1.0,0,0,0,0,0,2,0,2.00,.000
110JacobJ BarnesBarnesP110‌‌‌,TOR,0,0,18.00,1,0,0,0,0,0,1.0,1,2,2,0,0,1,0,2.00,.250
110DavidD BednarBednarP110‌‌‌,PIT,0,1,-.--,1,0,0,0,0,0,0.0,2,1,1,0,0,1,0,-.--,1.000
110AaronA BummerBummerP110‌‌‌,ATL,0,0,9.00,1,0,0,0,0,0,1.0,1,1,1,0,0,1,0,2.00,.500
110SeranthonyS DomínguezDomínguezP110‌‌‌,BAL,0,0,0.00,1,0,0,0,0,0,1.0,1,0,0,0,0,2,0,3.00,.333
110LucasL ErcegErcegP110‌‌‌,KC,0,0,0.00,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.00,.000
110RobertR GarciaGarciaP110‌‌‌,TEX,0,0,0.00,1,0,0,0,0,0,0.2,0,0,0,0,0,2,0,3.00,.000
110TimT HillHillP110‌‌‌,NYY,0,0,0.00,1,0,0,0,0,0,0.2,1,0,0,0,0,0,0,1.50,.333
110JohnJ KingKingP110‌‌‌,STL,0,0,0.00,1,0,0,0,0,0,0.1,1,0,0,0,0,0,0,3.00,.500
110JaredJ KoenigKoenigP110‌‌‌,MIL,0,0,27.00,1,0,0,0,0,0,0.2,2,2,2,0,0,1,0,4.50,.667
