PLAYERPLAYER,TEAMTEAM,GGames PlayedGames in which a player has appeared.GGames PlayedGames in which a player has appeared.,"ABAt BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.ABAt BatsTrips to the plate that do not result in a walk, hit by pitch, sacrifice, or reach on interference.",RRunsWhen a baserunner safely reaches home plate and scores.RRunsWhen a baserunner safely reaches home plate and scores.,HHitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.HHitsWhen a batter reaches base safely on a fair ball unless the batter is deemed by the official scorer to have reached on an error or a fielder's choice.,2BDoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.2BDoublesWhen a batter reaches on a hit and stops at second base or only advances farther than second base on an error or a fielder's attempt to put out another baserunner.,3BTriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.3BTriplesWhen a batter reaches on a hit and stops at third base or only advances farther than third base on an error or a fielder's attempt to put out another baserunner.,"HRHome RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.HRHome RunsWhen a batter reaches on a hit, touches all bases, and scores a run without a putout recorded or the benefit of error.","caret-upcaret-downRBIRuns Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.caret-upcaret-downRBIRuns Batted InRuns which score because of the batter's safe hit, sac bunt, sac fly, infield out or fielder's choice or is forced to score by a bases loaded walk, hit batter, or interference.",BBWalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.BBWalksWhen a batter is awarded first base after four balls have been called by the umpire or the opposing team opts to intentionally award the batter first base.,SOStrikeoutsWhen the umpire calls three strikes on the batter.SOStrikeoutsWhen the umpire calls three strikes on the batter.,"SBStolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.SBStolen BasesWhen the runner advances one base unaided by a hit, a putout, an error, a force-out, a fielder's choice, a passed ball, a wild pitch, or a balk.",CSCaught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.CSCaught StealingWhen a runner attempts to steal but is tagged out before safely attaining the next base.,AVGBatting AverageThe rate of hits per at bat.H/ABAVGBatting AverageThe rate of hits per at bat.H/AB,OBPOn-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF)OBPOn-Base PercentageThe rate at which a batter reached base in his plate appearances.(H+BB+HBP)/(AB+BB+HBP+SF),SLGSlugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/ABSLGSlugging PercentageThe rate of total bases per at bat.(1B+2Bx2+3Bx3+HRx4)/AB,OPSOn-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLGOPSOn-Base Plus SluggingThe sum of on-base percentage and slugging percentage.OBP+SLG
81FreddieF FreemanFreeman1B81‌‌‌,LAD,7,19,2,5,2,0,2,5,1,7,0,0,.263,.300,.684,.984
81MaikelM GarciaGarcia3B81‌‌‌,KC,8,24,6,6,0,0,0,5,3,6,1,2,.250,.333,.250,.583
81AdolisA GarcíaGarcíaRF81‌‌‌,TEX,6,16,4,4,2,0,2,5,1,3,0,0,.250,.316,.750,1.066
81LuisL García Jr.García2B81‌‌‌,WSH,7,21,3,8,1,0,2,5,2,4,0,1,.381,.435,.714,1.149
81StoneS GarrettGarrettRF81‌‌‌,WSH,6,13,3,4,1,0,1,5,1,8,1,0,.308,.357,.615,.972
81MitchM GarverGarverDH81‌‌‌,SEA,6,14,3,4,0,0,2,5,1,4,0,0,.286,.353,.714,1.067
81RicardoR GenovésGenovésC81‌‌‌,TB,7,9,3,3,1,0,1,5,3,3,0,0,.333,.500,.778,1.278
81AndrésA GimenezGiménez2B81‌‌‌,TOR,9,23,3,5,1,2,1,5,3,3,0,0,.217,.308,.565,.873
81TristanT GrayGray3B81‌‌‌,CWS,4,9,3,4,1,0,2,5,0,3,0,0,.444,.444,1.222,1.666
81DarickD HallHall1B81‌‌‌,PIT,9,15,3,4,0,0,3,5,0,4,0,0,.267,.267,.867,1.134
81DavidD HamiltonHamiltonSS81‌‌‌,BOS,11,28,6,7,2,0,1,5,4,6,3,0,.250,.344,.429,.773
81GarrettG HampsonHampsonCF81‌‌‌,AZ,7,16,3,4,0,1,0,5,2,2,1,0,.250,.368,.375,.743
81IvánI HerreraHerreraC81‌‌‌,STL,8,18,2,8,4,1,1,5,4,3,0,1,.444,.545,.944,1.489
81NathanN HickeyHickeyC81‌‌‌,BOS,10,15,4,3,1,0,1,5,5,4,0,0,.200,.364,.467,.831
81RhysR HoskinsHoskins1B81‌‌‌,MIL,7,21,4,5,0,0,3,5,1,4,0,0,.238,.273,.667,.940
81AndyA IbáñezIbáñez2B81‌‌‌,DET,9,21,4,8,3,0,1,5,1,1,1,0,.381,.417,.667,1.084
81BuddyB KennedyKennedy2B81‌‌‌,PHI,10,15,5,3,1,0,2,5,6,3,0,0,.200,.435,.667,1.102
81MattM KoperniakKoperniakLF81‌‌‌,STL,10,19,2,7,3,0,2,5,1,6,0,1,.368,.400,.842,1.242
81DaylenD LileLileCF81‌‌‌,WSH,11,16,3,5,1,1,0,5,5,2,2,0,.313,.500,.500,1.000
81KyleK ManzardoManzardo1B81‌‌‌,CLE,9,27,3,11,1,0,2,5,1,7,0,0,.407,.448,.667,1.115
81ManuelM MargotMargotLF81‌‌‌,MIL,8,24,3,5,3,0,0,5,2,3,0,1,.208,.269,.333,.602
81MilesM MastrobuoniMastrobuoniSS81‌‌‌,SEA,9,13,4,8,1,0,0,5,1,1,1,0,.615,.600,.692,1.292
81MJM MelendezMelendezLF81‌‌‌,KC,10,33,4,8,1,2,1,5,1,8,0,1,.242,.265,.485,.750
81JacksonJ MerrillMerrillCF81‌‌‌,SD,9,23,3,7,0,1,3,5,0,6,0,0,.304,.304,.783,1.087
81JakeJ MeyersMeyersCF81‌‌‌,HOU,8,19,3,8,1,0,2,5,0,2,1,0,.421,.421,.789,1.210
81MickeyM MoniakMoniakCF81‌‌‌,LAA,9,24,5,6,0,1,2,5,1,8,2,0,.250,.269,.583,.852
81GabrielG MorenoMorenoC81‌‌‌,AZ,6,19,3,5,0,0,2,5,1,3,0,1,.263,.300,.579,.879
81AlejandroA OsunaOsunaRF81‌‌‌,TEX,11,15,2,8,3,1,1,5,3,3,0,1,.533,.632,1.067,1.699
81JamesJ OutmanOutmanCF81‌‌‌,LAD,6,15,3,4,0,2,1,5,3,6,0,0,.267,.389,.733,1.122
81VinnieV PasquantinoPasquantino1B81‌‌‌,KC,8,22,4,7,3,0,2,5,1,2,0,0,.318,.333,.727,1.060
81JhonnyJ PeredaPeredaC81‌‌‌,ATH,10,21,3,7,2,0,1,5,4,1,0,0,.333,.440,.571,1.011
81MicahM PriesPries1B81‌‌‌,CLE,8,14,3,6,1,1,1,5,0,2,0,0,.429,.429,.857,1.286
81RobR RefsnyderRefsnyderLF81‌‌‌,BOS,6,16,3,5,2,0,1,5,1,4,1,0,.313,.353,.625,.978
81AdleyA RutschmanRutschmanC81‌‌‌,BAL,9,24,5,9,0,0,2,5,3,4,0,0,.375,.444,.625,1.069
81AnthonyA SantanderSantanderRF81‌‌‌,TOR,10,27,4,8,1,0,1,5,5,4,0,0,.296,.424,.444,.868
81EdmundoE SosaSosaSS81‌‌‌,PHI,7,18,3,7,2,0,1,5,1,2,1,0,.389,.476,.667,1.143
81TrevorT StoryStorySS81‌‌‌,BOS,6,18,6,9,3,0,2,5,0,4,0,0,.500,.526,1.000,1.526
81TreaT TurnerTurnerSS81‌‌‌,PHI,8,19,3,4,0,0,1,5,6,6,0,0,.211,.370,.368,.738
81LuisL UríasUrías3B81‌‌‌,ATH,9,23,2,9,3,0,1,5,2,5,0,1,.391,.440,.652,1.092
81MiguelM VargasVargas3B81‌‌‌,CWS,7,20,5,9,2,0,1,5,2,1,0,0,.450,.478,.700,1.178
81LuisL VazquezVazquezSS81‌‌‌,BAL,11,23,2,4,2,0,0,5,2,6,1,0,.174,.222,.261,.483
81CaydenC WallaceWallace3B81‌‌‌,WSH,9,8,3,3,1,0,1,5,2,1,0,0,.375,.545,.875,1.420
81MikeM YastrzemskiYastrzemskiRF81‌‌‌,SF,8,20,4,5,0,0,2,5,3,5,0,0,.250,.375,.550,.925
81MasatakaM YoshidaYoshidaLF81‌‌‌,BOS,8,25,4,8,1,0,0,5,0,4,0,0,.320,.320,.360,.680
143GregG AllenAllenCF143‌‌‌,CHC,4,8,1,5,1,0,0,4,0,1,0,0,.625,.625,.750,1.375
143RomanR AnthonyAnthonyCF143‌‌‌,BOS,5,10,1,2,0,0,1,4,2,4,0,0,.200,.333,.500,.833
143LuisL ArraezArraez1B143‌‌‌,SD,9,24,4,11,1,1,1,4,0,2,1,0,.458,.458,.708,1.166
143LukenL BakerBaker1B143‌‌‌,STL,10,21,4,7,0,0,3,4,6,4,0,0,.333,.481,.762,1.243
143JoseJ BarreroBarreroSS143‌‌‌,STL,12,21,2,5,1,0,1,4,2,5,3,0,.238,.304,.429,.733
143JakeJ BauersBauers1B143‌‌‌,MIL,6,15,2,4,2,0,1,4,3,2,1,0,.267,.389,.600,.989
143ChristianC BethancourtBethancourtC143‌‌‌,TOR,5,7,2,3,1,0,0,4,0,1,0,0,.429,.375,.571,.946
143SeanS BouchardBouchardRF143‌‌‌,COL,9,23,6,10,2,0,2,4,0,6,0,0,.435,.458,.783,1.241
143RobR BrantlyBrantlyC143‌‌‌,MIA,7,9,1,2,0,0,1,4,1,3,0,0,.222,.300,.556,.856
143AlexA BregmanBregman3B143‌‌‌,BOS,9,23,7,7,1,1,2,4,4,5,1,0,.304,.448,.696,1.144
143JuanJ BritoBritoSS143‌‌‌,CLE,8,21,2,3,0,0,2,4,2,4,0,0,.143,.217,.429,.646
143AlecA BurlesonBurlesonRF143‌‌‌,STL,9,27,4,6,1,0,2,4,2,4,0,0,.222,.276,.481,.757
143ByronB BuxtonBuxtonCF143‌‌‌,MIN,8,19,4,4,1,0,1,4,6,8,1,0,.211,.407,.421,.828
143JoséJ CaballeroCaballeroSS143‌‌‌,TB,8,20,4,6,0,0,0,4,3,3,3,0,.300,.375,.300,.675
143JuniorJ CamineroCaminero3B143‌‌‌,TB,7,22,2,3,0,0,2,4,0,5,0,0,.136,.136,.409,.545
143LuisL CampusanoCampusanoC143‌‌‌,SD,8,16,1,2,0,0,1,4,0,1,0,0,.125,.125,.313,.438
143ConnerC CapelCapelLF143‌‌‌,ATL,10,27,5,10,3,1,0,4,1,4,2,1,.370,.393,.556,.949
143TristonT CasasCasas1B143‌‌‌,BOS,6,15,3,3,0,0,2,4,3,8,0,0,.200,.333,.600,.933
143JacksonJ ChourioChourioLF143‌‌‌,MIL,7,22,5,9,5,0,0,4,1,3,5,0,.409,.435,.636,1.071
143LoganL DavidsonDavidson1B143‌‌‌,ATH,13,24,2,8,0,1,1,4,4,8,1,1,.333,.429,.542,.971
143ZachZ DezenzoDezenzo1B143‌‌‌,HOU,9,21,5,9,1,0,2,4,2,5,1,0,.429,.478,.762,1.240
143BrendanB DonovanDonovanLF143‌‌‌,STL,8,22,1,5,0,1,0,4,2,3,0,0,.227,.292,.318,.610
143BlakeB DunnDunnLF143‌‌‌,CIN,12,24,2,7,1,0,1,4,3,7,0,0,.292,.370,.458,.828
143YandyY DíazDíaz1B143‌‌‌,TB,7,19,6,6,1,0,0,4,3,3,0,0,.316,.391,.368,.759
143JoséJ FermínFermín2B143‌‌‌,STL,9,20,1,5,2,0,0,4,4,2,0,0,.250,.360,.350,.710
143WilmerW FloresFlores1B143‌‌‌,SF,9,25,3,7,2,0,1,4,2,7,0,0,.280,.321,.480,.801
143AdamA FrazierFrazier2B143‌‌‌,PIT,6,16,2,3,2,0,0,4,2,3,0,0,.188,.278,.313,.591
143MickeyM GasperGasper2B143‌‌‌,MIN,9,19,4,6,1,0,1,4,7,2,1,0,.316,.481,.526,1.007
143TrentT GrishamGrishamCF143‌‌‌,NYY,8,17,4,5,0,0,3,4,5,7,1,0,.294,.435,.824,1.259
143BryceB HarperHarper1B143‌‌‌,PHI,7,22,2,9,2,0,0,4,1,5,0,0,.409,.435,.500,.935
143DustinD HarrisHarrisCF143‌‌‌,TEX,11,23,5,7,1,0,1,4,0,7,1,1,.304,.304,.478,.782
143MichaelM Harris IIHarrisCF143‌‌‌,ATL,8,22,3,6,1,0,2,4,0,3,1,0,.273,.273,.591,.864
143DarellD HernaizHernaiz3B143‌‌‌,ATH,13,23,2,4,0,0,0,4,5,6,0,0,.174,.310,.174,.484
143EnriqueK HernándezHernández3B143‌‌‌,LAD,5,13,5,7,3,0,0,4,2,3,0,0,.538,.600,.769,1.369
143BlakeB HuntHuntC143‌‌‌,SEA,7,8,1,5,0,0,1,4,0,1,0,0,.625,.625,1.000,1.625
143KyleK IsbelIsbelCF143‌‌‌,KC,7,19,4,5,1,1,0,4,2,4,2,0,.263,.318,.421,.739
143JeremiahJ JacksonJackson2B143‌‌‌,BAL,4,7,1,2,0,0,1,4,0,1,0,0,.286,.286,.714,1.000
143RyanR JeffersJeffersC143‌‌‌,MIN,8,23,2,8,1,0,0,4,2,5,0,0,.348,.407,.391,.798
143EloyE JiménezJiménezDH143‌‌‌,TB,8,24,1,7,1,0,1,4,1,5,0,0,.292,.320,.458,.778
143ConnorC JoeJoe1B143‌‌‌,SD,11,21,2,8,4,0,0,4,3,2,0,1,.381,.480,.571,1.051
143NolanN JonesJonesLF143‌‌‌,COL,10,28,4,9,2,0,0,4,1,8,0,0,.321,.345,.393,.738
143SpencerS JonesJonesCF143‌‌‌,NYY,8,13,2,3,1,0,1,4,2,7,0,0,.231,.333,.538,.871
143EdouardE JulienJulien2B143‌‌‌,MIN,9,27,7,7,2,0,1,4,5,8,0,0,.259,.375,.444,.819
143DaShawnD Keirsey Jr.KeirseyCF143‌‌‌,MIN,8,22,3,6,1,0,0,4,2,4,1,1,.273,.333,.318,.651
143AlejandroA KirkKirkC143‌‌‌,TOR,9,24,3,8,1,0,1,4,1,3,0,0,.333,.360,.500,.860
143WyattW LangfordLangfordLF143‌‌‌,TEX,6,17,3,7,0,0,1,4,2,4,0,0,.412,.474,.588,1.062
143VimaelV MachínMachínSS143‌‌‌,BAL,12,22,3,8,2,0,0,4,3,5,0,0,.364,.440,.455,.895
143AustinA MartinMartinCF143‌‌‌,MIN,8,21,3,6,1,0,0,4,1,4,2,0,.286,.333,.333,.666
143NickN MatonMatonLF143‌‌‌,CWS,9,18,7,9,1,0,3,4,3,3,0,0,.500,.571,1.056,1.627
143MasonM McCoyMcCoySS143‌‌‌,SD,10,17,3,7,1,0,1,4,1,3,1,0,.412,.444,.647,1.091
143MattM MervisMervis1B143‌‌‌,MIA,7,27,4,6,2,0,2,4,1,11,0,0,.222,.250,.519,.769
143GarrettG MitchellMitchellCF143‌‌‌,MIL,7,21,2,7,1,0,0,4,2,9,1,0,.333,.391,.381,.772
143CocoC MontesMontes2B143‌‌‌,TB,9,23,3,5,0,0,1,4,3,7,1,0,.217,.308,.348,.656
143MaxM MuncyMuncySS143‌‌‌,ATH,13,22,5,8,1,0,1,4,3,8,1,0,.364,.423,.545,.968
143AndrewA NavigatoNavigatoSS143‌‌‌,DET,11,16,5,7,0,0,1,4,3,3,0,1,.438,.526,.625,1.151
143TomásT NidoNidoC143‌‌‌,DET,9,10,3,2,0,0,2,4,1,2,0,0,.200,.273,.800,1.073
143ArjunA NimmalaNimmalaSS143‌‌‌,TOR,4,5,1,1,0,0,1,4,0,2,0,0,.200,.167,.800,.967
143JhonkensyJ NoelNoelRF143‌‌‌,CLE,9,27,6,9,0,0,2,4,0,10,1,0,.333,.333,.556,.889
143NasimN NuñezNuñezSS143‌‌‌,WSH,12,20,8,11,2,0,0,4,2,1,6,2,.550,.591,.650,1.241
143RyanR O'HearnO'Hearn1B143‌‌‌,BAL,8,21,1,5,1,0,0,4,2,4,0,0,.238,.304,.286,.590
143JoeyJ OrtizOrtiz3B143‌‌‌,MIL,7,17,5,8,2,2,1,4,3,2,3,0,.471,.591,1.000,1.591
143MarcellM OzunaOzunaDH143‌‌‌,ATL,8,18,2,4,2,0,1,4,1,2,0,0,.222,.263,.500,.763
143KyrenK ParisParis2B143‌‌‌,LAA,12,21,6,5,3,0,1,4,3,6,2,1,.238,.333,.524,.857
143CollinC PricePriceC143‌‌‌,HOU,10,16,4,4,0,0,2,4,0,5,0,0,.250,.294,.625,.919
143CalC RaleighRaleighC143‌‌‌,SEA,8,24,1,3,1,0,1,4,2,8,0,1,.125,.192,.292,.484
143HeliotH RamosRamosCF143‌‌‌,SF,9,26,2,8,2,0,1,4,2,8,2,0,.308,.379,.500,.879
143J.T.J RealmutoRealmutoC143‌‌‌,PHI,7,16,2,3,0,1,0,4,6,7,0,0,.188,.409,.313,.722
143JaksonJ ReetzReetzC143‌‌‌,NYM,7,9,1,1,0,0,1,4,0,6,0,0,.111,.111,.444,.555
143BenB RiceRice1B143‌‌‌,NYY,9,27,4,7,0,0,2,4,4,7,1,0,.259,.355,.481,.836
143CalebC RobertsRobertsC143‌‌‌,AZ,3,4,2,2,0,0,1,4,0,0,0,0,.500,.500,1.250,1.750
143AlanA RodenRodenRF143‌‌‌,TOR,9,11,5,5,0,0,2,4,3,2,0,0,.455,.588,1.000,1.588
143JohnathanJ RodriguezRodriguezRF143‌‌‌,CLE,7,13,3,2,0,0,1,4,4,2,0,0,.154,.316,.385,.701
143EndyE RodríguezRodríguezC143‌‌‌,PIT,8,15,5,7,1,0,1,4,5,2,0,0,.467,.600,.733,1.333
143JohanJ RojasRojasCF143‌‌‌,PHI,7,21,3,7,1,0,1,4,1,5,0,0,.333,.391,.524,.915
143KyleK SchwarberSchwarberDH143‌‌‌,PHI,8,25,1,3,0,0,1,4,3,14,0,0,.120,.214,.240,.454
143MattM ShawShaw2B143‌‌‌,CHC,6,16,4,5,1,0,0,4,3,1,1,0,.313,.421,.375,.796
143JoseJ SiriSiriCF143‌‌‌,NYM,8,19,1,2,0,0,1,4,2,7,1,1,.105,.217,.263,.480
143JorgeJ SolerSolerRF143‌‌‌,LAA,10,27,4,7,1,0,2,4,3,14,0,0,.259,.333,.519,.852
143JuanJ SotoSotoRF143‌‌‌,NYM,7,18,4,7,2,0,2,4,2,3,0,0,.389,.450,.833,1.283
143LivanL SotoSotoSS143‌‌‌,BAL,10,26,3,11,1,0,0,4,1,4,2,2,.423,.444,.462,.906
143CalC StevensonStevensonCF143‌‌‌,PHI,10,21,5,3,0,0,1,4,4,10,0,1,.143,.269,.286,.555
143BrysonB StottStott2B143‌‌‌,PHI,9,22,6,7,0,0,1,4,7,3,0,0,.318,.483,.455,.938
143GarrettG StubbsStubbsC143‌‌‌,PHI,4,8,2,4,2,0,0,4,2,1,0,0,.500,.636,.750,1.386
143LuisL SuisbelSuisbel1B143‌‌‌,SEA,3,5,2,3,1,0,1,4,0,1,0,0,.600,.600,1.400,2.000
143JackJ SuwinskiSuwinskiCF143‌‌‌,PIT,6,19,1,5,3,0,0,4,1,3,1,1,.263,.300,.421,.721
143JesúsJ SánchezSánchezRF143‌‌‌,MIA,7,21,3,5,2,0,1,4,2,5,0,0,.238,.280,.476,.756
143JoséJ TenaTena3B143‌‌‌,WSH,6,17,2,2,2,0,0,4,2,5,0,0,.118,.211,.235,.446
143MarkM VientosVientos3B143‌‌‌,NYM,8,21,2,6,0,0,2,4,2,5,0,0,.286,.375,.571,.946
143DonovanD WaltonWalton2B143‌‌‌,NYM,9,17,3,4,0,0,1,4,4,4,0,0,.235,.381,.412,.793
143JacobJ WilsonWilsonSS143‌‌‌,ATH,10,29,2,6,0,0,2,4,0,1,0,0,.207,.207,.414,.621
143WillW WilsonWilsonSS143‌‌‌,CLE,9,15,4,5,2,0,1,4,0,7,0,0,.333,.333,.667,1.000
234CJC AbramsAbramsSS234‌‌‌,WSH,9,26,4,10,2,1,2,3,1,2,0,0,.385,.429,.769,1.198
234JorgeJ AlfaroAlfaroC234‌‌‌,MIL,6,13,2,4,2,0,0,3,2,3,0,0,.308,.471,.462,.933
234AlbertA AlmoraAlmoraOF234‌‌‌,MIA,7,24,6,9,3,0,0,3,2,3,3,0,.375,.423,.500,.923
234YordanY AlvarezAlvarezLF234‌‌‌,HOU,9,25,1,5,0,0,1,3,1,9,0,0,.200,.231,.320,.551
234MiguelM AndujarAndujarLF234‌‌‌,ATH,8,24,5,11,4,0,1,3,4,3,0,0,.458,.536,.750,1.286
234NolanN ArenadoArenado3B234‌‌‌,STL,8,21,2,3,1,0,0,3,1,1,0,0,.143,.182,.190,.372
234RandyR ArozarenaArozarenaLF234‌‌‌,SEA,8,24,4,8,1,0,1,3,2,6,2,0,.333,.385,.500,.885
234ChristianC ArroyoArroyo2B234‌‌‌,PHI,10,22,5,7,0,0,1,3,2,4,2,0,.318,.375,.455,.830
234HarrisonH BaderBaderCF234‌‌‌,MIN,8,19,2,4,0,0,0,3,5,5,2,2,.211,.375,.211,.586
234Ji HwanJ BaeBaeCF234‌‌‌,PIT,10,22,8,10,3,0,1,3,0,4,3,1,.455,.455,.727,1.182
234MatthewM BattenBatten2B234‌‌‌,ATL,7,9,2,6,2,0,0,3,0,1,0,0,.667,.667,.889,1.556
234WillW BensonBensonLF234‌‌‌,CIN,9,18,3,4,0,0,2,3,3,7,1,0,.222,.333,.556,.889
234VictorV BericotoBericotoRF234‌‌‌,SF,3,3,1,2,1,0,0,3,0,0,0,0,.667,.667,1.000,1.667
234JonJ BertiBerti3B234‌‌‌,CHC,6,12,4,5,1,0,0,3,3,4,0,0,.417,.500,.500,1.000
234DavidD BoteBote3B234‌‌‌,LAD,7,13,2,4,1,0,1,3,3,2,0,0,.308,.438,.615,1.053
234CooperC BowmanBowman2B234‌‌‌,ATH,7,16,1,2,0,0,0,3,2,4,3,0,.125,.222,.125,.347
234JonahJ BrideBride1B234‌‌‌,MIA,9,27,5,6,1,1,1,3,5,4,0,0,.222,.333,.444,.777
234JakeJ BurgerBurger3B234‌‌‌,TEX,10,29,2,3,1,0,1,3,3,12,0,0,.103,.188,.241,.429
234JorgeJ BurgosBurgosRF234‌‌‌,CLE,4,6,2,3,0,0,2,3,0,1,0,0,.500,.500,1.500,2.000
234MichaelM BuschBusch1B234‌‌‌,CHC,5,13,3,5,0,0,0,3,1,2,1,0,.385,.467,.385,.852
234ChristianC CairoCairoSS234‌‌‌,ATL,11,19,3,3,2,0,0,3,3,5,1,0,.158,.292,.263,.555
234DazD CameronCameronLF234‌‌‌,BAL,13,18,2,3,0,0,0,3,2,4,0,1,.167,.273,.167,.440
234KerryK CarpenterCarpenterRF234‌‌‌,DET,10,27,2,6,0,0,0,3,2,10,0,0,.222,.267,.222,.489
234WilliW CastroCastroSS234‌‌‌,MIN,8,21,4,6,2,0,1,3,4,4,1,0,.286,.464,.524,.988
234CameronC CauleyCauleySS234‌‌‌,TEX,3,4,1,2,0,0,1,3,0,0,0,0,.500,.500,1.250,1.750
234SabinS CeballosCeballos3B234‌‌‌,SF,5,3,2,1,0,0,1,3,3,1,0,0,.333,.714,1.333,2.047
234JazzJ Chisholm Jr.Chisholm3B234‌‌‌,NYY,8,23,2,3,1,0,1,3,1,9,0,0,.130,.167,.304,.471
234MaxM ClarkClarkCF234‌‌‌,DET,5,7,2,2,1,0,0,3,0,2,0,0,.286,.250,.429,.679
234MichaelM ConfortoConfortoLF234‌‌‌,LAD,5,14,5,6,3,0,1,3,1,4,0,0,.429,.467,.857,1.324
234EllyE De La CruzDe La CruzSS234‌‌‌,CIN,9,21,5,8,1,0,0,3,6,6,5,2,.381,.519,.429,.948
234JasonJ DelayDelayC234‌‌‌,PIT,8,10,1,1,0,0,0,3,2,5,0,0,.100,.308,.100,.408
234BrentonB DoyleDoyleCF234‌‌‌,COL,8,25,2,8,1,0,1,3,1,7,1,0,.320,.346,.480,.826
234CalebC DurbinDurbin2B234‌‌‌,MIL,8,24,7,6,0,0,1,3,1,4,4,0,.250,.333,.375,.708
234ChristianC Encarnacion-StrandEncarnacion-Strand1B234‌‌‌,CIN,9,23,2,7,1,0,1,3,1,6,0,0,.304,.360,.478,.838
234MatthewM EtzelEtzelLF234‌‌‌,TB,3,8,3,2,1,0,1,3,1,3,0,0,.250,.333,.750,1.083
234AramisA GarciaGarciaC234‌‌‌,AZ,6,7,1,2,1,0,0,3,0,1,0,0,.286,.286,.429,.715
234ZackZ GelofGelof2B234‌‌‌,ATH,9,23,3,5,0,0,1,3,2,9,0,1,.217,.280,.348,.628
234RomyR GonzalezGonzalez2B234‌‌‌,BOS,7,20,3,5,1,2,0,3,0,5,1,0,.250,.250,.500,.750
234MattM GorskiGorskiCF234‌‌‌,PIT,11,11,3,5,1,0,1,3,1,3,2,0,.455,.500,.818,1.318
234RileyR GreeneGreeneLF234‌‌‌,DET,9,24,4,7,2,0,0,3,4,9,0,0,.292,.393,.375,.768
234VaughnV GrissomGrissom2B234‌‌‌,BOS,8,22,5,5,2,0,0,3,4,2,0,1,.227,.346,.318,.664
234JordanJ GroshansGroshans3B234‌‌‌,KC,8,6,1,2,2,0,0,3,2,2,0,0,.333,.500,.667,1.167
234LourdesL Gurriel Jr.GurrielLF234‌‌‌,AZ,7,20,3,6,1,0,0,3,0,2,1,0,.300,.333,.350,.683
234SamS HaggertyHaggertyLF234‌‌‌,TEX,7,19,3,4,2,1,0,3,2,6,0,0,.211,.286,.421,.707
234QuincyQ HamiltonHamiltonCF234‌‌‌,HOU,8,16,2,5,2,0,0,3,2,7,0,1,.313,.389,.438,.827
234AustinA HaysHaysLF234‌‌‌,CIN,8,21,1,5,0,2,0,3,1,6,1,0,.238,.304,.429,.733
234MichaelM HelmanHelmanCF234‌‌‌,STL,10,11,1,2,1,0,0,3,1,3,0,0,.182,.267,.273,.540
234JasonJ HeywardHeywardRF234‌‌‌,SD,9,20,3,3,1,0,0,3,0,3,0,0,.150,.150,.200,.350
234KyleK HigashiokaHigashiokaC234‌‌‌,TEX,6,15,1,5,1,0,1,3,1,3,0,0,.333,.375,.600,.975
234JackJ HurleyHurleyCF234‌‌‌,AZ,6,10,3,4,0,0,1,3,0,3,0,0,.400,.400,.700,1.100
234BrockB JonesJonesCF234‌‌‌,TB,2,3,2,2,0,0,2,3,0,1,0,0,.667,.667,2.667,3.334
234KyleK KarrosKarros3B234‌‌‌,COL,8,17,2,2,1,0,0,3,2,4,0,0,.118,.211,.176,.387
234ColtC KeithKeith2B234‌‌‌,DET,9,25,3,7,3,0,0,3,1,5,0,0,.280,.308,.400,.708
234OttoO KempKemp3B234‌‌‌,PHI,7,11,1,3,1,1,0,3,1,6,0,0,.273,.385,.545,.930
234HestonH KjerstadKjerstadLF234‌‌‌,BAL,10,24,5,7,2,0,0,3,6,4,1,0,.292,.452,.375,.827
234TrevorT LarnachLarnachLF234‌‌‌,MIN,9,26,3,7,0,0,1,3,3,4,0,0,.269,.367,.385,.752
234CharlesC LeblancLeblanc3B234‌‌‌,ATL,4,8,1,3,0,0,1,3,1,2,0,0,.375,.444,.750,1.194
234BrooksB LeeLeeSS234‌‌‌,MIN,9,29,6,8,0,0,2,3,0,6,0,0,.276,.276,.483,.759
234Jung HooJ LeeLeeCF234‌‌‌,SF,7,18,6,5,1,0,1,3,2,3,0,1,.278,.350,.500,.850
234KoreyK LeeLeeC234‌‌‌,CWS,6,13,1,6,2,1,0,3,1,0,0,1,.462,.500,.769,1.269
234RoyceR LewisLewis3B234‌‌‌,MIN,8,19,3,9,2,0,0,3,2,1,0,0,.474,.565,.579,1.144
234SandyS LeónLeónC234‌‌‌,ATL,8,18,1,4,0,0,1,3,0,10,0,0,.222,.222,.389,.611
