teamName,playerName,position,updated,injury,injuryStatus
Seattle,J. KowarJackson Kowar,RP,"Sun, Mar 2",Elbow,Expected to be out until at least Jun 3
St. Louis,V. SantosVictor Santos,SP,"Thu, Mar 27",Undisclosed,Expected to be out until at least Jun 1
St. Louis,Z. ThompsonZack Thompson,RP,"Sun, Mar 23",Lat,Expected to be out until at least Apr 11
Tampa Bay,A. FaedoAlex Faedo,SP,"Thu, Mar 27",Shoulder,Expected to be out until at least May 1
Tampa Bay,A. WantzAndrew Wantz,RP,"Thu, Mar 27",Elbow,Expected to be out until at least Sep 1
Tampa Bay,H. KimHa-seong Kim,2B,"Thu, Mar 27",Shoulder,Expected to be out until at least May 23
Tampa Bay,A. CookAlex Cook,SP,"Thu, Mar 27",Undisclosed,Expected to be out until at least Jun 1
Tampa Bay,R. PalaciosRichard Palacios,LF,"Wed, Mar 26",Finger,Expected to be out until at least Apr 4
Tampa Bay,S. McClanahanShane McClanahan,SP,"Wed, Mar 26",Triceps,Expected to be out until at least May 2
Tampa Bay,D. JansenDanny Jansen,C,"Mon, Mar 24",Ribs,Probable for Mar 28
Tampa Bay,N. LavenderNathan Lavender,RP,"Wed, Feb 12",Elbow,Expected to be out until at least Jul 1
Texas,C. BradfordCody Bradford,SP,"Thu, Mar 27",Elbow,Expected to be out until at least May 15
Texas,J. GrayJon Gray,SP,"Thu, Mar 20",Wrist,Expected to be out until at least May 30
Texas,J. SborzJosh Sborz,RP,"Mon, Feb 17",Shoulder,Expected to be out until at least Jun 1
Toronto,E. SwansonErik Swanson,RP,"Thu, Mar 27",Forearm,Expected to be out until at least May 1
Toronto,D. VarshoDaulton Varsho,LF,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 4
Toronto,P. ClarkePhilip Clarke,C,"Thu, Mar 27",Undisclosed,Expected to be out until at least Apr 18
Toronto,A. KloffensteinAdam Kloffenstein,SP,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 18
Toronto,R. BurrRyan Burr,RP,"Thu, Mar 27",Shoulder,Expected to be out until at least Apr 14
Toronto,A. GarrettAmir Garrett,RP,"Thu, Mar 27",Undisclosed,Expected to be out until at least Jun 1
Toronto,J. KasevichJosh Kasevich,SS,"Thu, Mar 27",Back,Expected to be out until at least Jun 1
Toronto,A. ManoahAlek Manoah,SP,"Mon, Mar 17",Elbow,Expected to be out until at least Aug 1
Toronto,A. BastardoAngel Bastardo,SP,"Thu, Mar 13",Elbow,Expected to be out until at least Sep 1
Washington,A. ChaparroAndres Chaparro,1B,"Thu, Mar 27",Oblique,Expected to be out until at least Apr 4
Washington,Z. BrzykcyZach Brzykcy,RP,"Thu, Mar 27",Quadriceps,Expected to be out until at least Apr 8
Washington,D. HerzDavidjohn Herz,SP,"Wed, Mar 26",Elbow,Expected to be out until at least Jun 1
Washington,C. CavalliCade Cavalli,SP,"Wed, Mar 26",Elbow,Expected to be out until at least May 1
Washington,D. LawDerek Law,RP,"Wed, Mar 26",Forearm,Expected to be out until at least Apr 11
Washington,M. ThompsonMason Thompson,RP,"Wed, Feb 19",Elbow,Expected to be out until at least May 26
Washington,J. GrayJosiah Gray,SP,"Sun, Feb 16",Elbow,Expected to be out until at least Sep 1
