teamName,playerName,position,updated,injury,injuryStatus
San Jose,Jan Rutta,D,"Tue, Feb 18",Lower Body,IR. Expected to be out until at least Mar 8
Seattle,Yanni Gourde,LW,"Fri, Feb 21",Abdomen,IR. Expected to be out until at least Mar 8
St. Louis,Torey Krug,D,"Mon, Jan 27",Ankle,IR. Expected to be out until at least Sep 15
Toronto,Steven Lorentz,C,"Mon, Mar 3",Undisclosed,Expected to be out until at least Mar 5
Toronto,Max Pacioretty,LW,"Sun, Mar 2",Undisclosed,IR. Expected to be out until at least Mar 5
Toronto,Christopher Tanev,D,"Sun, Mar 2",Upper Body,IR. Expected to be out until at least Mar 5
Toronto,Jani Hakanpaa,D,"Sat, Feb 22",Knee,IR. Expected to be out until at least Mar 8
Utah,Michael Carcone,LW,"Sun, Mar 2",Lower Body,Day-to-Day
Utah,Robert Bortuzzo,D,"Thu, Feb 27",Lower Body,IR. Expected to be out until at least Mar 6
Vancouver,Quinn Hughes,D,"Sun, Mar 2",Undisclosed,Day-to-Day
Vancouver,Noah Juulsen,D,"Thu, Feb 27",Groin,IR. Expected to be out until at least Sep 15
Vancouver,Thatcher Demko,G,"Sun, Feb 23",Lower Body,IR. Expected to be out until at least Mar 5
Vegas,Shea Theodore,D,"Sun, Mar 2",Arm,Expected to be out until at least Mar 23
Vegas,William Karlsson,C,"Sun, Mar 2",Lower Body,IR. Expected to be out until at least Mar 16
Vegas,Cole Schwindt,RW,"Thu, Feb 27",Lower Body,IR. Expected to be out until at least Mar 7
Vegas,Robin Lehner,G,"Mon, Jan 27",Hip,IR. Expected to be out until at least Sep 15
Washington,Sonny Milano,LW,"Sat, Feb 22",Upper Body,IR. Expected to be out until at least Mar 9
Washington,Nicklas Backstrom,C,"Mon, Jan 27",Hip,IR. Expected to be out until at least Jul 1
Washington,T.J. Oshie,RW,"Mon, Jan 27",Back,IR. Expected to be out until at least Sep 15
