Player,Team,PPG,APG,RPG,3PM,Games
Spivey Word,CORB,32.0,0.0,2.0,2.0,1
Walter Peggs Jr.,SPRHILL,30.0,1.0,3.0,7.0,1
Marcus Tomashek,MTU,30.0,2.0,8.0,4.0,1
Jonathan Grimsley,MDEV,27.0,1.0,6.0,1.0,1
Peyton Dulin,TEXAS,25.0,2.0,6.0,5.0,1
Eric Dixon,VILL,23.0,2.0,5.2,2.9,1
Trent McLaughlin,NAU,22.3,3.4,3.5,3.0,1
Jaylin McCants,DUB,22.0,0.0,2.0,5.0,1
Ja'Maris Blackmon,JES,22.0,1.0,0.0,4.0,1
Jaden Gray,MOR,22.0,3.0,3.0,4.0,1
Jordan Bell,OAKWO,22.0,3.5,8.0,2.5,1
Jeremy Arnum,FLORI,22.0,2.0,10.0,6.0,1
Sherman Brashear,HAWAIIPAC,22.0,0.0,7.0,5.0,1
Ray Cuevas,BOW,22.0,2.0,2.0,5.0,1
Donavan Brown,FIT,21.8,3.4,4.8,1.8,1
PJ Haggerty,MEM,21.8,3.8,5.8,1.1,1
Jaron Pierre Jr.,JVST,21.5,3.7,5.4,2.9,1
Deondre Dunn,SWCHRISTU,21.5,1.0,5.0,3.5,1
Markus Burton,ND,21.3,3.0,3.6,1.8,1
TY Johnson,UCD,21.1,3.0,4.1,1.2,1
Drew Zalescik,MERCHMAR,21.0,2.0,6.0,2.0,1
Jovan Germain,SUNYMAR,21.0,1.0,5.0,4.0,1
Tate Ivanyo,AND,21.0,3.0,6.0,4.0,1
Brayden Koch,MTTECH,21.0,3.0,3.0,4.0,1
Ethan Robertson,MERCY,21.0,1.0,3.0,4.0,1
Malachi Howard,LZX,21.0,4.0,2.0,4.0,1
Bryan Bayonne,SPA,21.0,2.0,4.0,5.0,1
Damian Garcia,BRESC,20.7,0.7,3.7,2.7,1
Jacksen Moni,NDSU,20.6,3.7,5.6,2.4,1
Donovan Dent,UNM,20.6,6.4,2.3,0.8,1
Barrington Hargress,UCR,20.6,4.0,2.3,2.2,1
Terrence Brown,FDU,20.6,3.2,5.6,1.2,1
Taje' Kelly,CHSO,20.5,2.1,8.9,0.6,1
Nick Martinelli,NU,20.5,1.7,6.2,1.0,1
Lamar Wilkerson,SHSU,20.5,2.1,4.0,3.4,1
Issac Lane,PSUS,20.3,0.0,5.3,0.7,1
Trey Kaufman-Renn,PUR,20.2,2.2,6.2,0.1,1
Maxime Raynaud,STAN,20.1,1.7,10.6,1.9,1
Abdi Bashir Jr.,MONM,20.1,2.2,2.6,3.8,1
Jacob Ognacevic,LIP,20.1,1.4,8.1,1.4,1
Blaise Threatt,WEB,20.0,4.4,5.8,0.7,1
Brice Williams,NEB,20.0,2.8,4.1,1.8,1
Tyrone Woods Jr.,TXCL,20.0,0.0,1.0,3.0,1
William Becker,COLOCS,20.0,1.0,6.0,1.0,1
Paul McMillan IV,CAN,20.0,2.8,3.5,1.2,1
Tre Johnson,TEX,19.8,2.8,3.0,2.7,1
Adam Clark,MRMK,19.8,6.0,4.5,0.6,1
Dylan Darling,IDST,19.8,5.7,3.4,1.9,1
Primo Spears,UTSA,19.8,4.0,1.8,2.1,1
Dominique Daniels Jr.,CBU,19.6,3.1,2.3,1.7,1
Quimari Peterson,ETSU,19.5,3.7,4.5,2.7,1
Blake Harper,HOW,19.5,3.4,6.2,1.3,1
Aniwaniwa Tait-Jones,UCSD,19.5,3.7,5.5,0.4,1
Orlando Gooden,SOUTH,19.5,1.0,2.5,4.5,1
Dre Burroughs,BREWT,19.5,2.5,3.0,3.5,1
Jackie Johnson III,FOR,19.5,2.5,2.9,2.8,1
Dylan Harper,RUTG,19.4,4.0,4.6,1.7,1
Ryan Kalkbrenner,CREI,19.4,1.5,8.8,0.6,1
Malik Thomas,SF,19.3,2.1,3.6,2.0,1
Kam Jones,MARQ,19.3,5.9,4.5,1.9,1
Ray'Sean Taylor,SIUE,19.3,3.8,4.5,2.8,1
John Poulakidas,YALE,19.2,1.3,3.3,3.2,1
Jalen Jackson,PFW,19.2,3.1,4.4,0.9,1
Tariq Francis,NJIT,19.2,3.6,4.3,2.6,1
John Tonje,WISC,19.2,1.8,5.3,2.3,1
Dawson Garcia,MINN,19.2,2.0,7.5,1.6,1
Marquel Sutton,OMA,19.1,1.2,8.0,0.8,1
Bennett Stirtz,DRKE,19.1,5.7,4.4,1.8,1
Nique Clifford,CSU,19.0,4.4,9.7,1.9,1
Brandon Noel,WRST,19.0,1.7,7.7,1.2,1
Jahlen Jack,FTVALLEY,19.0,2.0,2.0,2.0,1
Tyjean Burrell,SFSU,19.0,0.0,3.0,4.0,1
Lavar Miller Jr.,KYSTATE,19.0,2.0,2.0,3.0,1
Cameron Jones,ASBUR,19.0,0.0,7.0,5.0,1
Seth Chargois,HARRI,19.0,1.0,5.0,3.0,1
Josh Talton,HNB,19.0,3.0,0.0,3.0,1
Josiah Fulcher,MIDACU,19.0,3.0,6.0,3.0,1
Cam Clardy,SUL,19.0,1.0,3.0,2.0,1
Justin Reaves,ECCLE,19.0,0.7,4.7,3.3,1
Issac McBride,ORU,19.0,2.5,2.8,2.5,1
Jemel Jones,CSUB,18.9,2.1,3.6,1.1,1
Treysen Eaglestaff,UND,18.9,2.4,2.8,2.5,1
Devin Askew,LBSU,18.9,4.5,4.6,2.1,1
Cooper Flagg,DUKE,18.9,4.1,7.5,1.3,1
Johni Broome,AUB,18.9,3.1,10.6,0.7,1
Reed Bailey,DAV,18.8,3.8,6.1,0.5,1
Jordan Marsh,UNCA,18.8,3.7,4.2,1.4,1
RJ Felton,ECU,18.8,2.5,6.4,2.6,1
Keyshawn Hall,UCF,18.8,2.4,7.1,1.4,1
Austin Benigni,NAVY,18.8,4.3,3.3,1.0,1
Adrian Wooley,KENN,18.8,3.6,5.2,2.2,1
Mark Sears,ALA,18.7,4.9,3.0,2.4,1
Josh Hubbard,MSST,18.7,3.2,2.2,3.2,1
Javon Small,WVU,18.6,5.6,4.1,2.6,1
Rashad King,NE,18.5,3.3,6.1,1.4,1
Rafael Pinzon,BRY,18.5,2.2,3.0,2.7,1
Blaize Darling Jr.,UNKNOWN,18.5,2.5,3.0,0.5,1
Brian Moore Jr.,NORF,18.4,3.1,3.8,0.8,1
Jamir Watkins,FSU,18.4,2.4,5.7,1.7,1
Ante Brzovic,COFC,18.4,2.8,8.1,0.6,1
RJ Luis Jr.,SJU,18.4,2.1,7.2,1.2,1
Stefan Todorovic,PEPP,18.3,2.1,5.5,1.9,1
Hunter Sallis,WAKE,18.3,2.8,5.1,1.3,1
JT Toppin,TTU,18.1,1.2,9.2,0.6,1
Amarri Monroe,QUIN,18.1,1.6,9.1,1.6,1
George Kimble III,EKU,18.0,3.2,3.7,2.6,1
Robert Smith,DSU,18.0,2.9,3.0,2.6,1
Gibson Jimerson,SLU,18.0,0.9,4.7,3.3,1
Eric Panning,HEI,18.0,2.0,7.0,0.0,1
Simeon Cottle,KENN,18.0,3.0,2.4,2.7,1
Tarrence Gaines,MIDACU,18.0,0.0,7.0,4.0,1
DJ Nunnery,TRINI,18.0,2.0,7.0,3.0,1
Cha'Mar Martin,COL,18.0,0.0,3.0,2.0,1
Kalep Crane,TABOR,18.0,1.0,4.0,1.0,1
Ketron Shaw,UMES,18.0,3.1,5.9,0.4,1
Dario Domingos,TXPBAS,18.0,0.0,12.0,0.0,1
James Shoenfelt,TABOR,18.0,1.0,3.0,4.0,1
Elijah Kinney,END,18.0,2.0,2.0,4.0,1
Isaiah Payne,TXA,18.0,4.0,2.0,2.0,1
George Bellevue,JUD,18.0,0.0,8.0,0.0,1
Shaun Williams,OUA,18.0,2.0,1.0,4.0,1
Derek Pranger,COLOCS,18.0,1.0,5.0,4.0,1
Dasilas Jones,PEN,18.0,3.0,2.0,2.0,1
PJay Smith Jr.,FUR,18.0,3.9,4.2,3.4,1
Paul Zilinskas,IUIN,18.0,1.8,2.8,3.0,1
Tyson Degenhart,BOIS,17.9,1.4,6.1,1.3,1
Andrej Stojakovic,CAL,17.9,1.8,4.7,1.4,1
Chase Forte,SDAK,17.9,3.2,4.4,0.9,1
Jalen Rucker,ARMY,17.8,3.1,4.2,2.1,1
J.J. Starling,SYR,17.8,2.8,3.8,1.5,1
Yaxel Lendeborg,UAB,17.7,4.2,11.0,0.6,1
Bruce Thornton,OSU,17.7,4.6,3.4,1.8,1
Chaz Lanier,TENN,17.7,1.0,3.8,3.2,1
Malachi Davis,LIU,17.7,3.2,3.0,1.4,1
Matthew Cleveland,MIA,17.6,1.7,4.4,1.2,1
Shelton Williams-Dryden,WGA,17.6,1.5,7.5,0.2,1
Hunter Dickinson,KU,17.6,2.0,10.0,0.5,1
Oscar Cluff,SDST,17.6,2.8,12.3,0.1,1
Obi Agbim,WYO,17.6,3.4,3.2,2.8,1
Ace Bailey,RUTG,17.6,1.3,7.2,1.6,1
Noah Williamson,BUCK,17.6,1.6,7.6,0.9,1
Walter Clayton Jr.,FLA,17.5,4.3,3.8,2.9,1
Dylan Brumfield,WLCA,17.5,4.0,2.5,0.5,1
Josiah Hardy,CAIRN,17.5,0.0,4.5,2.0,1
Nik Graves,CLT,17.5,2.7,4.3,1.8,1
Xzayvier Brown,JOES,17.5,4.4,5.3,1.9,1
Kino Lilly Jr.,BRWN,17.5,4.4,2.3,3.3,1
Isaiah Hawthorne,UNCO,17.4,1.2,5.3,2.0,1
Jacari Lane,UNA,17.4,4.1,3.1,2.1,1
Darryl Simmons II,GWEB,17.4,1.9,3.2,2.6,1
Zach Freemantle,XAV,17.3,2.1,7.1,1.0,1
Dejour Reaves,IONA,17.3,1.9,5.5,1.7,1
Ali Dibba,SIU,17.2,2.0,4.8,1.0,1
Sebastian Thomas,URI,17.2,6.0,4.0,1.4,1
Micah Peavy,GTWN,17.2,3.6,5.8,1.6,1
Curtis Jones,ISU,17.1,2.3,4.3,2.6,1
Graham Ike,GONZ,17.1,1.4,7.5,0.3,1
Ryan Cornish,DART,17.1,3.3,4.9,2.0,1
Robbie Avila,SLU,17.1,4.0,6.9,1.7,1
Jacari White,NDSU,17.1,2.3,4.3,2.8,1
Isaiah Swope,SLU,17.1,4.3,3.2,3.2,1
Tanahj Pettway,PV,17.0,1.2,3.4,1.7,1
Jamar Brown,KC,17.0,1.2,7.4,2.3,1
Matt Rogers,AMER,17.0,1.3,5.6,1.7,1
RJ Davis,UNC,17.0,3.7,3.5,2.2,1
Kashie Natt,LSUA,17.0,2.0,5.0,2.0,1
Jeremiah Fears,OU,17.0,4.1,4.1,1.1,1
Jason Edwards,VAN,17.0,1.3,1.9,2.0,1
Nakyel Shelton,EIU,17.0,2.0,4.6,1.7,1
Jason McCoy Jr.,TRINI,17.0,0.0,3.0,5.0,1
Ty Hurst,TNWESL,17.0,0.0,3.0,1.0,1
Cedric Taylor III,MOR,17.0,2.0,7.0,4.0,1
Ken Walker,EARLHAM,17.0,1.0,3.0,2.0,1
Donte Pope,FRA,17.0,1.0,0.0,1.0,1
Bradley Dean,VIRWISE,17.0,3.0,5.0,1.0,1
Don McHenry,WKU,17.0,1.7,3.3,2.0,1
Sterling Young,FAMU,17.0,1.7,2.0,2.1,1
Owen Koonce,CP,16.9,1.8,4.8,2.0,1
Adante' Holiman,GASO,16.9,2.3,2.2,3.2,1
Ahmad Robinson,MER,16.9,5.0,4.9,1.5,1
Michael Rataj,ORST,16.9,2.0,7.2,1.0,1
Xaivian Lee,PRIN,16.9,5.4,6.1,2.0,1
Devontae Blanton,EKU,16.9,4.6,6.2,0.5,1
Samage Teel,INST,16.9,5.2,4.1,1.9,1
Quinton Mincey,UML,16.8,2.8,6.3,1.8,1
Ryan Conwell,XAV,16.8,2.5,2.8,3.0,1
CJ Luster II,STBK,16.8,1.2,2.7,3.2,1
Ian Martinez,USU,16.8,2.7,3.5,2.4,1
Collin Murray-Boyles,SC,16.8,2.4,8.3,0.3,1
Chansey Willis Jr.,WMU,16.8,5.8,4.3,1.4,1
Rahsool Diggins,MASS,16.8,2.7,2.8,2.8,1
Jaland Lowe,PITT,16.8,5.5,4.2,1.3,1
Ethan Roberts,PENN,16.8,2.1,5.6,2.4,1
John Camden,DEL,16.8,2.1,5.5,2.7,1
Mateu Escamilla,ST. A,16.8,1.8,6.3,2.5,1
Darius Johnson,UCF,16.7,4.3,3.3,2.5,1
Payton Sandfort,IOWA,16.7,2.9,6.0,2.5,1
Vladislav Goldin,MICH,16.7,1.1,6.8,0.3,1
Tyler Tejada,TOW,16.7,0.8,3.9,1.8,1
Sam Hines Jr.,SELA,16.7,2.1,6.4,0.6,1
C.J. Walker,ECU,16.7,0.7,6.4,0.3,1
Bryce Johnson,UMBC,16.7,2.6,4.1,1.7,1
Brody Fox,CIT,16.7,2.3,5.1,0.3,1
Po'Boigh King,NCCU,16.7,1.6,2.9,2.2,1
Denijay Harris,USM,16.7,1.3,10.6,0.6,1
Daniel Batcho,LT,16.7,0.5,6.4,0.0,1
Jalen Terry,EMU,16.6,2.9,4.8,2.9,1
Robert McCray V,JAX,16.6,4.5,4.9,1.5,1
Quentin Jones,NIU,16.6,3.5,4.8,1.7,1
Marcus Banks Jr.,UMBC,16.6,2.0,4.2,3.3,1
Caleb Love,ARIZ,16.6,3.5,4.2,2.5,1
Terrence Edwards Jr.,LOU,16.6,2.6,4.1,1.9,1
Davion Bailey,UIW,16.5,1.1,2.9,3.5,1
Trevor Brunson,BOB,16.5,2.0,1.0,2.0,1
Landon Seaman,MENLO,16.5,2.5,4.0,0.0,1
Matthew Carter,VTSJ,16.5,2.0,5.0,2.5,1
Nasir Luna,OCCID,16.5,1.5,2.0,2.5,1
Ramar Pryor,CSO,16.5,1.0,4.0,1.0,1
Kameron Hobbs,MORG,16.5,2.4,3.6,1.8,1
TK Simpkins,ELON,16.4,2.6,3.1,2.1,1
Tylan Pope,TXST,16.4,0.6,6.4,0.4,1
Cam Carter,LSU,16.4,2.5,4.1,2.5,1
Tyler McGhie,UCSD,16.4,1.7,3.9,3.4,1
Marko Maletic,WIU,16.4,0.6,3.5,3.1,1
Orlando Lovejoy,DETM,16.4,3.8,4.6,0.1,1
Chase Hunter,CLEM,16.4,2.5,3.0,2.3,1
Jacob Holt,SAC,16.3,1.1,6.9,1.2,1
Josh Uduje,SJSU,16.3,1.4,4.5,1.3,1
Martaz Robinson,DSU,16.3,2.6,6.2,1.0,1
Steven Ashworth,CREI,16.3,6.8,4.1,3.1,1
Derik Queen,MD,16.3,1.9,9.0,0.1,1
Rickey Bradley Jr.,VMI,16.3,2.8,4.8,1.6,1
Kennard Davis Jr.,SIU,16.3,2.6,4.9,2.0,1
Tarence Guinyard,UTM,16.3,2.3,4.7,1.6,1
Desmond Claude,USC,16.3,4.3,3.5,0.7,1
Otega Oweh,UK,16.2,1.6,4.6,0.8,1
Sam Lewis,TOL,16.2,1.2,4.7,1.8,1
Erik Reynolds II,JOES,16.2,2.7,2.9,2.6,1
Ugnius Jarusevicius,CMU,16.2,0.6,7.3,0.8,1
Myles Tate,APP,16.2,5.2,5.1,2.0,1
Marcus Dockery,HOW,16.2,2.1,2.6,2.5,1
Marcus Johnson,BGSU,16.2,1.8,5.0,2.4,1
Chucky Hepburn,LOU,16.2,5.8,3.5,1.8,1
Tayshawn Comer,EVAN,16.2,4.1,3.7,1.5,1
Trey Thomas,BCU,16.2,2.2,3.6,1.9,1
Cesare Edwards,GAST,16.2,1.3,7.1,0.9,1
Justice Shoats,SIE,16.1,4.7,2.8,0.5,1
Da'Sean Nelson,EMU,16.1,2.5,5.7,0.3,1
Jamir Simpson,SUU,16.1,1.8,4.7,1.2,1
Marcus Adams Jr.,CSUN,16.1,1.5,4.9,1.9,1
Braden Smith,PUR,16.1,8.7,4.6,2.4,1
Richie Saunders,BYU,16.0,1.6,4.4,2.3,1
Jahmyl Telfort,BUT,16.0,3.4,4.7,1.3,1
Jalon Moore,OU,16.0,0.6,5.8,1.3,1
Austin Brewer,HARDSIM,16.0,0.0,3.0,4.0,1
Reco Hallmon,SOWESL,16.0,0.0,9.0,2.0,1
Jacob Harvey,TRINTX,16.0,2.0,3.5,5.0,1
Francis Okwuosah,WWD,16.0,0.0,7.0,4.0,1
Langston Reynolds,UNCO,16.0,3.4,5.7,0.5,1
D.J. Alicea,KEAN,16.0,4.0,2.0,2.0,1
Domonique Wilkins,SOUTH,16.0,0.5,4.5,2.5,1
Preston Thomas,HOUGH,16.0,2.0,8.0,2.5,1
Anthony Walters,JAM,16.0,0.0,1.0,2.0,1
Zyeir Lawrence,SUNO,16.0,0.5,3.5,0.5,1
Ty'Quan Neal,TXCL,16.0,0.0,6.0,0.0,1
Gilbert Croley,AUBMONT,16.0,4.0,3.0,2.0,1
Mason Lockhart,JHSN,16.0,1.0,6.0,0.5,1
Allen Singleton,TXA,16.0,3.0,1.0,2.0,1
Collin Albert,PNW,16.0,2.0,1.0,2.0,1
Michael Batchelor,WEST,16.0,1.0,1.0,3.0,1
Gavin Davis,STTOMTX,16.0,2.0,7.0,3.0,1
Jaiden Wiggins,PSSC,16.0,1.0,5.0,2.0,1
Corey McKeithan,LAS,15.9,2.5,3.1,2.4,1
Rasheed Bello,PFW,15.9,4.2,2.4,2.3,1
Max Brooks,UML,15.9,1.5,7.9,0.0,1
Norchad Omier,BAY,15.9,1.5,10.9,0.6,1
Josh Pascarelli,MRST,15.9,2.3,3.6,2.7,1
Kobe Sanders,NEV,15.8,4.5,3.9,1.2,1
Josh Bascoe,BUCK,15.8,4.4,3.8,2.2,1
Jarvis Walker,IUIN,15.8,2.8,2.7,1.9,1
Sami Pissis,UNH,15.8,2.7,3.6,2.2,1
Nick Davidson,NEV,15.8,2.8,6.5,1.4,1
Andrew Cook,EWU,15.8,1.9,3.5,0.3,1
TJ Hurley,UVM,15.8,1.3,2.4,2.5,1
Jermahri Hill,BALL,15.8,3.2,5.1,0.7,1
Kelton Talford,WIN,15.8,0.9,7.9,0.0,1
Cooper Schwieger,VAL,15.8,1.1,7.8,0.9,1
Mark Freeman,JMU,15.8,3.1,2.5,2.1,1
Donald Hand Jr.,BC,15.7,1.3,6.1,2.3,1
Mister Dean,UPST,15.7,1.4,5.5,0.4,1
Elijah Fisher,PAC,15.7,1.5,4.8,0.6,1
Wade Taylor IV,TA&M,15.7,4.3,3.2,2.5,1
CJ Huntley,APP,15.7,1.1,8.1,1.4,1
Tyler Johnson,MER,15.7,1.5,3.7,2.8,1
Colby Duggan,CAM,15.7,1.3,3.3,1.7,1
Ishmael Leggett,PITT,15.7,2.5,5.9,1.5,1
Rowan Brumbaugh,TULN,15.7,4.8,3.9,1.8,1
Laolu Kalejaiye,LINCOLNCA,15.7,1.0,1.7,4.3,1
Sean Durugordon,ODU,15.7,0.9,9.1,0.9,1
Toyaz Solomon,UNCA,15.7,1.7,7.2,0.1,1
Adou Thiero,ARK,15.6,2.0,6.0,0.4,1
Isaiah Coleman,HALL,15.6,1.7,5.3,1.3,1
Robert Davis Jr.,ODU,15.6,1.8,2.4,3.4,1
Dedan Thomas Jr.,UNLV,15.6,4.7,2.0,0.9,1
Jeff Planutis,MERC,15.5,1.7,2.5,2.0,1
Kaseem Watson,DSU,15.5,1.7,5.8,0.4,1
Trey Robinson,NKU,15.5,1.9,5.9,0.8,1
John Blackwell,WISC,15.5,2.1,5.1,1.6,1
Earl Timberlake,BRY,15.5,4.7,8.2,0.3,1
Tytan Anderson,UNI,15.5,2.5,6.5,0.3,1
EJ Smith,TRMC,15.5,1.0,3.0,1.5,1
Hudson Johnson,HOWPAY,15.5,3.0,1.0,1.5,1
Elijah Bredwood,MILLI,15.5,2.0,3.5,3.0,1
All Wright,VAL,15.5,2.4,2.2,2.0,1
Nick Townsend,YALE,15.4,3.6,7.2,0.9,1
Bent Leuchten,UCI,15.4,1.6,9.0,0.5,1
Jaden Seymour,ETSU,15.4,2.1,6.6,1.2,1
Josh Scovens,ARMY,15.4,1.8,4.3,0.9,1
Jalen Sullinger,KENT,15.4,1.7,2.0,2.3,1
Jack Karasinski,BELL,15.4,1.1,2.8,1.5,1
Jasai Miles,UNF,15.4,1.9,6.8,2.4,1
Johnathan Lawson,LR,15.4,3.6,5.2,2.4,1
Kobe Stewart,PRES,15.3,2.5,5.1,1.6,1
Sonny Wilson,TOL,15.3,3.2,4.8,0.7,1
Kenyon Giles,UNCG,15.3,1.8,2.9,2.7,1
Asa Newell,UGA,15.3,0.9,6.8,0.8,1
Nate Calmese,WSU,15.2,4.4,3.0,1.2,1
Nick Dorn,ELON,15.2,0.8,3.8,3.0,1
Matthew-Alexander Moncrieffe,SEA,15.2,1.1,9.6,0.0,1
L.J. Cryer,HOU,15.2,1.8,2.2,2.9,1
Augustinas Kiudulas,VMI,15.2,1.6,6.3,1.0,1
Pierre Brooks II,BUT,15.2,1.9,5.0,1.6,1
Atin Wright,UNT,15.2,0.7,2.4,2.8,1
Kam Woods,RMU,15.1,5.1,4.6,1.4,1
Marcus Williams,SF,15.1,4.3,3.6,2.2,1
Gabe Madsen,UTAH,15.1,2.5,2.6,3.0,1
Barry Dunning Jr.,USA,15.1,2.2,7.2,1.2,1
Jeremiah Wilkinson,CAL,15.1,1.5,1.9,1.9,1
Honor Huff,UTC,15.1,2.2,2.0,3.4,1
Max Shulga,VCU,15.1,4.0,5.9,2.0,1
AJ Dancler,LEM,15.1,3.4,3.8,2.2,1
Tae Davis,ND,15.1,1.8,5.3,0.5,1
Joe Bamisile,VCU,15.1,1.9,5.1,1.8,1
Jakobi Heady,CMU,15.0,1.5,6.5,0.8,1
Lance Williams,XAVL,15.0,1.0,4.0,0.0,1
Parker Desjardins,THOMA,15.0,2.0,2.0,5.0,1
Jalen Cary,BRYN,15.0,0.0,1.0,3.0,1
Armonie Ramey,HOWPAY,15.0,2.0,6.5,0.5,1
Jarden Maze,MONTR,15.0,1.0,3.5,2.0,1
Isaac Marshall,BRYN,15.0,1.0,6.0,3.0,1
VJ Edgecombe,BAY,15.0,3.3,5.6,1.6,1
Alfredo Abel-Rivera,FER,15.0,0.0,7.0,0.0,1
Chapman Faulkner,OC,15.0,2.0,2.0,2.0,1
Cobe Penny,CMPBVIL,15.0,2.0,4.0,2.0,1
Taj Chiles,MERCY,15.0,8.0,2.0,1.0,1
Kasparas Jakucionis,ILL,15.0,4.6,5.6,1.6,1
Lureon Walker,MO,15.0,0.7,2.3,0.3,1
Juwan White,MIDACU,15.0,4.0,1.0,2.0,1
Desmond Ward,SUNY,15.0,0.0,7.0,3.0,1
Nate Houston Iii,SH,15.0,0.0,2.0,2.0,1
Justin Savage,GWY,15.0,1.0,8.0,1.0,1
Prince Davies Iii,EDW,15.0,0.0,4.0,0.0,1
D'Montez Owens,PEN,15.0,2.0,3.0,1.0,1
Brandon Barrett,YKNY,15.0,0.0,12.0,1.0,1
Thomas Whitley,CLSC,15.0,1.0,2.0,3.0,1
Handje Tamba,MILLI,15.0,1.0,11.5,1.0,1
Zy Wright,CHADRONST,15.0,1.0,8.0,0.0,1
Manny Hill,HEI,15.0,1.0,7.0,1.0,1
Elijah Harden,HEI,15.0,1.0,0.0,3.0,1
Jaylen Jackson,FTVALLEY,15.0,0.0,4.0,1.0,1
Nolan Swan,AND,15.0,1.0,2.0,3.0,1
Justin Morton,KEAN,15.0,2.0,2.0,3.0,1
Sincere Key,MOR,15.0,1.0,4.0,5.0,1
Emanuel Hylton,WASHADV,15.0,1.0,5.0,3.0,1
Julian Mackey,HCU,15.0,1.5,2.6,2.2,1
Josh Banks,UNCA,15.0,1.5,3.8,2.4,1
Dallion Johnson,FGCU,14.9,1.3,2.4,3.1,1
Nazir Williams,COR,14.9,3.6,4.4,1.5,1
Gabriel Pozzato,EVAN,14.9,1.3,4.4,1.8,1
Rasheer Fleming,JOES,14.9,1.3,8.7,1.8,1
Xavier Bell,WICH,14.9,1.2,2.9,0.9,1
Mason Falslev,USU,14.9,3.7,6.2,1.6,1
Javontae Campbell,BGSU,14.9,3.1,4.1,0.4,1
Max Green,HC,14.9,3.5,5.6,2.3,1
Garry Clark,AMCC,14.9,1.2,7.7,0.5,1
Sean Pedulla,MISS,14.9,3.6,3.5,2.4,1
Jestin Porter,MTSU,14.9,1.3,2.8,2.5,1
Trey Fort,SAM,14.9,1.4,3.8,2.5,1
Marcus Millender,UTSA,14.9,3.3,3.0,2.3,1
Kezza Giffa,HPU,14.8,2.5,2.5,1.2,1
Elias Ralph,PAC,14.8,1.8,7.3,0.9,1
Kory Mincy,PRES,14.8,4.5,2.7,1.9,1
Johnny Kinziger,ILST,14.8,3.0,3.8,2.3,1
Rob Martin,SEMO,14.8,4.5,2.5,1.4,1
Melvin Council Jr.,SBU,14.8,4.1,5.5,1.2,1
Milton Matthews,FAMU,14.8,1.7,3.3,3.2,1
Great Osobor,WASH,14.8,3.4,8.0,0.4,1
JaKobe Coles,GCU,14.8,2.2,5.7,0.8,1
Chase Walker,ILST,14.8,2.1,6.1,0.3,1
AJ Lopez,ME,14.7,1.1,2.3,1.6,1
Miles Barnstable,STMN,14.7,1.1,3.3,2.0,1
Byron Joshua,ALB,14.7,2.9,3.4,1.6,1
Christian Henry,EMU,14.7,3.4,3.2,1.9,1
Cameron Hildreth,WAKE,14.7,2.7,3.8,0.9,1
Jalin Anderson,UIW,14.7,5.1,3.3,1.6,1
Nick Anderson,FUR,14.7,2.4,2.2,2.7,1
Dylan Hayman,UIW,14.7,1.6,5.0,1.3,1
Brandon Walker,MTST,14.7,1.6,4.9,0.6,1
Kaleb Banks,TULN,14.7,1.0,6.7,1.5,1
Connor Kochera,DAV,14.7,2.8,4.2,1.1,1
Ja'Kobi Gillespie,MD,14.7,5.0,2.8,2.4,1
Dominick Nelson,UVU,14.7,1.7,5.2,0.7,1
Janus Shepherd,MATYKL,14.7,0.7,2.0,1.7,1
Claude Mckesey,LINCOLNCA,14.7,4.0,3.7,0.0,1
Bryson Dawkins,HCU,14.7,1.3,4.8,1.8,1
Taryn Todd,ARST,14.6,3.1,4.5,1.6,1
Solo Ball,CONN,14.6,1.6,3.5,2.9,1
Dylan Williamson,TOW,14.6,2.6,2.3,2.7,1
VonCameron Davis,KENT,14.6,2.0,3.7,1.3,1
Mehki Ellison,STET,14.6,2.5,2.7,1.5,1
Isaac Bruns,SDAK,14.6,0.6,4.3,1.4,1
Donovan Newby,UNCW,14.6,3.5,2.7,2.2,1
Allen Mukeba,OAK,14.6,2.3,7.5,0.0,1
Themus Fulks,MILW,14.6,5.9,3.0,0.4,1
Zuby Ejiofor,SJU,14.6,1.6,8.0,0.3,1
Robert Hinton,HARV,14.6,1.8,4.1,0.6,1
TJ Simpkins,ELON,14.6,2.9,3.8,0.9,1
Jordan Riley,ECU,14.5,1.9,6.0,0.5,1
Alexis Marmolejos,LAM,14.5,2.1,3.3,2.4,1
Elias Cato,CARK,14.5,1.0,5.3,1.3,1
Lance Terry,GT,14.5,1.6,3.2,2.2,1
Tyon Grant-Foster,GCU,14.5,2.0,6.0,0.8,1
Sam Sherry,ELON,14.5,1.6,7.2,1.0,1
Jayden Brewer,FIU,14.5,1.7,5.2,0.5,1
Scotty Washington,CSUN,14.5,1.4,3.2,1.6,1
Tanner Thomas,SHU,14.5,1.4,6.1,1.5,1
Thomas Sorber,GTWN,14.5,2.4,8.5,0.3,1
Jakevion Buckley,SELA,14.5,4.1,4.6,0.5,1
Malik Davis,PEN,14.5,0.0,5.0,2.0,1
Jarred Hyder,CP,14.5,3.2,3.5,3.0,1
Dominique Ford,SUU,14.5,1.4,2.8,2.0,1
Liam McNeeley,CONN,14.5,2.3,6.1,1.7,1
Alijah Martin,FLA,14.5,2.3,4.6,2.2,1
Max Mackinnon,PORT,14.5,3.2,4.8,1.2,1
Zeke Mayo,KU,14.5,3.0,4.8,2.6,1
Wooga Poplar,VILL,14.5,1.4,6.9,1.9,1
